ITEM   	 LEN_S 	
amah	   -  	
amalgam	   3	
amandine	   -  	
amanita	   -  	
amant	   -  	
amanuensis	   -  	
amaranth	   -  	
amaretto	   -  	
amaryllis	   -  	
amassment	   -  	
amateurism	   5	
amateurs	   3	
amazement	   3	
amazons	   3	
ambergris	   -  	
ambers	   -  	
ambiance	   -  	
ambience	   2	
ambients	   -  	
ambiguity	   5	
ambition	   3	
ambitions	   3	
amblyopia	   -  	
ambulance	   3	
ambulances	   4	
ambulation	   -  	
ambushes	   3	
amebas	   -  	
amendment	   3	
amendments	   3	
amends	   2	
amenities	   4	
amethysts	   -  	
amiability	   5	
amice	   -  	
amicus	   -  	
amidship	   -  	
amination	   -  	
amino	   -  	
amiral	   -  	
ammeter	   -  	
ammonia	   3	
ammos	   -  	
ammunition	   4	
amnesia	   3	
amnesiacs	   -  	
amnesias	   -  	
amnesty	   3	
amorality	   -  	
amp	   1	
amperage	   -  	
amperes	   2	
ampersand	   -  	
amphibians	   3	
amphipods	   -  	
amphora	   -  	
ampicillin	   -  	
amplifier	   4	
amplifiers	   4	
amplitude	   3	
ampoules	   -  	
amps	   1	
ampule	   -  	
amputation	   4	
amputator	   -  	
amputee	   -  	
amputees	   -  	
amtracs	   -  	
amulet	   3	
amulets	   3	
amusement	   3	
amusements	   3	
amusers	   -  	
amygdala	   -  	
amyl	   -  	
amyls	   -  	
anabaptist	   -  	
anacondas	   -  	
anaglypta	   -  	
anagram	   -  	
anagrams	   -  	
analgesia	   -  	
analgesic	   -  	
analgesics	   -  	
analogies	   4	
analogues	   3	
analogy	   4	
analyser	   -  	
analysis	   4	
analyst	   3	
analysts	   3	
analyzer	   -  	
analyzers	   -  	
ananias	   -  	
anarchism	   4	
anarchist	   3	
anarchists	   3	
anarchy	   3	
anathema	   4	
anatomies	   -  	
anatomist	   4	
anatomy	   4	
ancestor	   3	
ancestors	   3	
ancestry	   3	
anchorage	   3	
anchorites	   -  	
anchormen	   -  	
anchovies	   3	
anchovy	   3	
ancients	   2	
ancora	   -  	
andiron	   -  	
andirons	   -  	
andouille	   -  	
androgyny	   -  	
android	   -  	
androids	   -  	
anecdote	   3	
anecdotes	   3	
anemias	   -  	
anemone	   4	
anemones	   4	
aneurism	   -  	
aneurysm	   -  	
aneurysms	   -  	
angelfish	   -  	
angioma	   -  	
angiomas	   -  	
angler	   2	
anglers	   2	
angleworm	   -  	
