"","Word","FREQcount","CDcount","FREQlow","Cdlow","SUBTLWF","Lg10WF","SUBTLCD","Lg10CD","Dom_PoS_SUBTLEX","Freq_dom_PoS_SUBTLEX","Percentage_dom_PoS","All_PoS_SUBTLEX","All_freqs_SUBTLEX","Zipfvalue"
"133","abolition",10,8,10,8,0.196078431372549,1.04139268515823,0.0953743443013829,0.954242509439325,"Noun",10,1,"Noun","10",2.33322682730268
"137","abomasum",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"152","abortion",369,155,354,149,7.23529411764706,2.56820172406699,1.84787792083929,2.19312459835446,"Noun",370,1,"Noun","370",3.86003586621145
"155","abortions",35,28,34,27,0.686274509803922,1.55630250076729,0.33381020505484,1.46239799789896,"Noun",35,1,"Noun","35",2.84813664291175
"166","aboveboard",14,13,14,13,0.274509803921569,1.17609125905568,0.154983309489747,1.14612803567824,"Noun",14,1,"Noun","14",2.46792540120014
"174","abrasion",18,15,15,13,0.352941176470588,1.27875360095283,0.178826895565093,1.20411998265592,"Noun",18,1,"Noun","18",2.57058774309729
"175","abrasions",56,50,52,47,1.09803921568627,1.75587485567249,0.596089651883643,1.70757017609794,"Noun",56,1,"Noun","56",3.04770899781695
"180","abreaction",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"182","abridge",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"191","abruption",6,5,5,5,0.117647058823529,0.845098040014257,0.0596089651883643,0.778151250383644,"Noun",6,1,"Noun","6",2.13693218215872
"193","abruptness",4,4,4,4,0.0784313725490196,0.698970004336019,0.0476871721506915,0.698970004336019,"Noun",4,1,"Noun","4",1.99080414648048
"196","abscess",25,21,23,20,0.490196078431373,1.41497334797082,0.25035765379113,1.34242268082221,"Noun",25,1,"Noun","25",2.70680749011528
"198","abscesses",7,6,6,5,0.137254901960784,0.903089986991944,0.0715307582260372,0.845098040014257,"Noun",7,1,"Noun","7",2.1949241291364
"201","absconder",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"205","absence",322,285,314,281,6.31372549019608,2.5092025223311,3.39771101573677,2.45636603312904,"Noun",321,1,"Noun","321",3.80103666447556
"206","absences",14,12,14,12,0.274509803921569,1.17609125905568,0.143061516452074,1.11394335230684,"Noun",14,1,"Noun","14",2.46792540120014
"208","absentee",18,18,18,18,0.352941176470588,1.27875360095283,0.214592274678112,1.27875360095283,"Noun",18,1,"Noun","18",2.57058774309729
"210","absentees",4,4,4,4,0.0784313725490196,0.698970004336019,0.0476871721506915,0.698970004336019,"Noun",4,1,"Noun","4",1.99080414648048
"216","absinthes",3,1,3,1,0.0588235294117647,0.602059991327962,0.0119217930376729,0.301029995663981,"Noun",3,1,"Noun","3",1.89389413347242
"217","absinthium",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"222","absolutes",21,16,20,15,0.411764705882353,1.34242268082221,0.190748688602766,1.23044892137827,"Noun",22,1,"Noun","22",2.63425682296667
"223","absolution",48,43,47,43,0.941176470588235,1.69019608002851,0.512637100619933,1.64345267648619,"Noun",48,1,"Noun","48",2.98203022217297
"227","absolver",4,1,0,0,0.0784313725490196,0.698970004336019,0.0119217930376729,0.301029995663981,"Noun",4,1,"Noun","4",1.99080414648048
"233","absorber",3,3,3,3,0.0588235294117647,0.602059991327962,0.0357653791130186,0.602059991327962,"Noun",3,1,"Noun","3",1.89389413347242
"234","absorbers",8,6,8,6,0.156862745098039,0.954242509439325,0.0715307582260372,0.845098040014257,"Noun",8,1,"Noun","8",2.24607665158378
"237","absorbtion",3,1,1,1,0.0588235294117647,0.602059991327962,0.0119217930376729,0.301029995663981,"Noun",3,1,"Noun","3",1.89389413347242
"238","absorption",18,17,16,15,0.352941176470588,1.27875360095283,0.202670481640439,1.25527250510331,"Noun",18,1,"Noun","18",2.57058774309729
"242","abstainers",1,1,0,0,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"245","abstention",6,5,6,5,0.117647058823529,0.845098040014257,0.0596089651883643,0.778151250383644,"Noun",6,1,"Noun","6",2.13693218215872
"247","abstinence",45,28,34,25,0.882352941176471,1.66275783168157,0.33381020505484,1.46239799789896,"Noun",45,1,"Noun","45",2.95459197382603
"256","abstracts",7,7,5,5,0.137254901960784,0.903089986991944,0.0834525512637101,0.903089986991944,"Noun",7,1,"Noun","7",2.1949241291364
"259","absurdist",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"261","absurdity",32,31,32,31,0.627450980392157,1.51851393987789,0.369575584167859,1.50514997831991,"Noun",32,1,"Noun","32",2.81034808202235
"265","abulia",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"266","abundance",45,41,45,41,0.882352941176471,1.66275783168157,0.488793514544588,1.6232492903979,"Noun",45,1,"Noun","45",2.95459197382603
"271","abuser",16,16,16,16,0.313725490196078,1.23044892137827,0.190748688602766,1.23044892137827,"Noun",16,1,"Noun","16",2.52228306352273
"272","abusers",11,10,11,10,0.215686274509804,1.07918124604762,0.119217930376729,1.04139268515823,"Noun",11,1,"Noun","11",2.37101538819208
"278","abutment",6,5,6,5,0.117647058823529,0.845098040014257,0.0596089651883643,0.778151250383644,"Noun",6,1,"Noun","6",2.13693218215872
"279","abutments",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"282","abuzz",2,2,2,2,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",1,1,"Noun","1",1.76895539686412
"285","abyss",90,67,77,62,1.76470588235294,1.95904139232109,0.798760133524082,1.83250891270624,"Noun",91,1,"Noun","91",3.25087553446555
"286","abyssal",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"287","abysses",2,2,2,2,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412
"290","abyssus",4,4,4,4,0.0784313725490196,0.698970004336019,0.0476871721506915,0.698970004336019,"Noun",4,1,"Noun","4",1.99080414648048
"293","academe",2,2,2,2,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412
"294","academes",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"295","academia",12,12,10,10,0.235294117647059,1.11394335230684,0.143061516452074,1.11394335230684,"Noun",12,1,"Noun","12",2.4057774944513
"299","academics",35,31,33,30,0.686274509803922,1.55630250076729,0.369575584167859,1.50514997831991,"Noun",34,1,"Noun","34",2.84813664291175
"300","academies",7,7,7,7,0.137254901960784,0.903089986991944,0.0834525512637101,0.903089986991944,"Noun",7,1,"Noun","7",2.1949241291364
"301","academy",633,345,284,156,12.4117647058824,2.80208925788173,4.11301859799714,2.53907609879278,"Noun",633,1,"Noun","633",4.09392340002619
"306","accademia",1,1,0,0,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"310","accelerant",28,13,25,13,0.549019607843137,1.46239799789896,0.154983309489747,1.14612803567824,"Noun",28,1,"Noun","28",2.75423214004342
"320","accents",58,56,57,55,1.13725490196078,1.77085201164214,0.667620410109681,1.75587485567249,"Noun",58,1,"Noun","58",3.0626861537866
"327","acceptance",161,140,150,134,3.15686274509804,2.20951501454263,1.6690510252742,2.14921911265538,"Noun",162,1,"Noun","162",3.50134915668709
"329","acceptant",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"339","accession",6,3,6,3,0.117647058823529,0.845098040014257,0.0357653791130186,0.602059991327962,"Noun",6,1,"Noun","6",2.13693218215872
"346","accident",4146,2180,4061,2166,81.2941176470588,3.61773403536402,25.9895088221269,3.3386556655787,"Noun",4138,1,"Noun","4138",4.90956817750848
"351","accidents",340,281,289,244,6.66666666666667,2.5327543789925,3.35002384358608,2.45024910831936,"Noun",340,1,"Noun","340",3.82458852113696
"363","accolade",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"364","accolades",9,9,9,9,0.176470588235294,1,0.107296137339056,1,"Noun",9,1,"Noun","9",2.29183414214446
"381","accompli",8,8,8,8,0.156862745098039,0.954242509439325,0.0953743443013829,0.954242509439325,"Noun",8,1,"Noun","8",2.24607665158378
"382","accomplice",216,147,210,145,4.23529411764706,2.33645973384853,1.75250357653791,2.17026171539496,"Noun",216,1,"Noun","216",3.62829387599299
"396","accordion",67,46,63,44,1.31372549019608,1.83250891270624,0.548402479732952,1.67209785793572,"Noun",66,1,"Noun","66",3.1243430548507
"397","accordions",3,2,2,2,0.0588235294117647,0.602059991327962,0.0238435860753457,0.477121254719662,"Noun",3,1,"Noun","3",1.89389413347242
"407","accountant",315,191,303,185,6.17647058823529,2.4996870826184,2.27706247019552,2.28330122870355,"Noun",315,1,"Noun","315",3.79152122476286
"413","accoutre",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"422","accrual",2,2,2,2,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412
"435","accuracy",76,65,73,63,1.49019607843137,1.88649072517248,0.774916547448736,1.81954393554187,"Noun",76,1,"Noun","76",3.17832486731694
"439","accusation",143,128,142,128,2.80392156862745,2.15836249209525,1.52598950882213,2.11058971029925,"Noun",143,1,"Noun","143",3.45019663423971
"444","accuser",15,12,15,12,0.294117647058824,1.20411998265592,0.143061516452074,1.11394335230684,"Noun",15,1,"Noun","15",2.49595412480038
"445","accusers",8,8,8,8,0.156862745098039,0.954242509439325,0.0953743443013829,0.954242509439325,"Noun",8,1,"Noun","8",2.24607665158378
"454","aces",202,136,132,96,3.96078431372549,2.30749603791321,1.62136385312351,2.13672056715641,"Noun",202,1,"Noun","202",3.59933018005767
"455","acetabulum",2,1,2,1,0.0392156862745098,0.477121254719662,0.0119217930376729,0.301029995663981,"Noun",2,1,"Noun","2",1.76895539686412
"457","acetate",6,5,5,4,0.117647058823529,0.845098040014257,0.0596089651883643,0.778151250383644,"Noun",6,1,"Noun","6",2.13693218215872
"458","acetates",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"461","acetyl",2,2,0,0,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412
"463","acetylene",23,14,22,13,0.450980392156863,1.38021124171161,0.16690510252742,1.17609125905568,"Noun",23,1,"Noun","23",2.67204538385607
"466","achar",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"478","achievers",9,5,4,3,0.176470588235294,1,0.0596089651883643,0.778151250383644,"Noun",9,1,"Noun","9",2.29183414214446
"482","achiness",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"486","achoo",5,4,1,1,0.0980392156862745,0.778151250383644,0.0476871721506915,0.698970004336019,"Noun",5,1,"Noun","5",2.0699853925281
"489","acidemia",2,1,2,1,0.0392156862745098,0.477121254719662,0.0119217930376729,0.301029995663981,"Noun",2,1,"Noun","2",1.76895539686412
"491","acidity",10,8,9,7,0.196078431372549,1.04139268515823,0.0953743443013829,0.954242509439325,"Noun",10,1,"Noun","10",2.33322682730268
"496","acids",42,33,41,33,0.823529411764706,1.63346845557959,0.393419170243205,1.53147891704226,"Noun",41,1,"Noun","41",2.92530259772405
"499","ackee",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"511","acne",46,37,45,36,0.901960784313726,1.67209785793572,0.441106342393896,1.57978359661681,"Noun",46,1,"Noun","46",2.96393200008018
"512","acnes",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"513","acolyte",7,7,7,7,0.137254901960784,0.903089986991944,0.0834525512637101,0.903089986991944,"Noun",7,1,"Noun","7",2.1949241291364
"514","acolytes",6,4,6,4,0.117647058823529,0.845098040014257,0.0476871721506915,0.698970004336019,"Noun",6,1,"Noun","6",2.13693218215872
"516","aconitum",4,2,4,2,0.0784313725490196,0.698970004336019,0.0238435860753457,0.477121254719662,"Noun",4,1,"Noun","4",1.99080414648048
"517","acorn",37,16,29,14,0.725490196078431,1.57978359661681,0.190748688602766,1.23044892137827,"Noun",37,1,"Noun","37",2.87161773876127
"518","acorns",19,11,9,9,0.372549019607843,1.30102999566398,0.131139723414402,1.07918124604762,"Noun",19,1,"Noun","19",2.59286413780844
"522","acoustics",22,22,22,22,0.431372549019608,1.36172783601759,0.262279446828803,1.36172783601759,"Noun",22,1,"Noun","22",2.65356197816205
"536","acquirer",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"544","acquittal",37,33,36,32,0.725490196078431,1.57978359661681,0.393419170243205,1.53147891704226,"Noun",37,1,"Noun","37",2.87161773876127
"545","acquittals",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"548","acre",93,55,67,50,1.82352941176471,1.9731278535997,0.655698617072008,1.7481880270062,"Noun",93,1,"Noun","93",3.26496199574416
"549","acreage",22,19,22,19,0.431372549019608,1.36172783601759,0.226514067715784,1.30102999566398,"Noun",22,1,"Noun","22",2.65356197816205
"550","acres",234,159,185,139,4.58823529411765,2.37106786227174,1.89556509298999,2.20411998265592,"Noun",234,1,"Noun","234",3.6629020044162
"553","acrimony",11,6,11,6,0.215686274509804,1.07918124604762,0.0715307582260372,0.845098040014257,"Noun",11,1,"Noun","11",2.37101538819208
