numid|f	X1|f	X|f	Word|s	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	numDom_PoS_SUBTLEX|f	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	Zipfvalue_cat|s	Zipfvalue_ncat|f	cmu_sylls|f	BF_TK|f	BF_TP|f	LEN_L|f	N|f	
3143	21447	73966	yew	2	2	2	2	0.039216	0.47712	0.023844	0.47712	Noun	1	2	1	Noun	2	1.769	low	1	1	1453.95	6	3	10	
2778	18653	63546	suddenness	9	9	8	8	0.17647	1	0.1073	1	Noun	1	9	1	Noun	9	2.2918	low	1	3	169.74	51.33	10	0	
3617	26958	49803	preen	3	3	3	3	0.058824	0.60206	0.035765	0.60206	Verb	2	3	1	Verb	3	1.8939	low	1	1	1413.93	38	5	1	
1309	8493	28486	gro	7	5	2	2	0.13725	0.90309	0.059609	0.77815	Noun	1	7	1	Noun	7	2.1949	low	1	1	6.37	1	3	3	
1776	11759	39483	matinee	58	51	53	47	1.1373	1.7709	0.60801	1.716	Noun	1	58	1	Noun	58	3.0627	high	2	3	624.58	64.5	7	0	
3132	21364	73672	wretch	83	68	81	67	1.6275	1.9243	0.81068	1.8388	Noun	1	83	1	Noun	83	3.2161	high	2	1	283.54	29	6	1	
1315	8529	28614	growth	329	243	320	238	6.451	2.5185	2.897	2.3874	Noun	1	327	1	Noun	327	3.8103	high	2	1	659.03	37.8	6	0	
2077	13786	46153	pap	66	39	44	27	1.2941	1.8261	0.46495	1.6021	Noun	1	77	1	Noun	77	3.1179	high	2	1	206.2	10	3	22	
2237	14960	49623	prance	39	25	36	24	0.76471	1.6021	0.29804	1.415	Noun	1	39	1	Noun	39	2.8939	high	2	1	744.12	56.6	6	2	
2827	18989	64719	tact	56	54	50	48	1.098	1.7559	0.64378	1.7404	Noun	1	55	1	Noun	55	3.0477	high	2	1	1677.54	17	4	5	
2546	16580	56231	saleswoman	15	15	15	15	0.29412	1.2041	0.17883	1.2041	Noun	1	15	1	Noun	15	2.496	low	1	3	64.04	16.44	10	0	
