ITEM   	 BF_TK 	 BF_TP 	 SLBF  	 MLBF  	 LEN_L 	   N   	   PN   	  AOA  	  AOA2  	  IMG  	  IMG2  	
saltpetre	 141.41	  25.25	  14.52	   1.82	   9	   0	   0	 656	-1	 283	-1	
salts	 489.92	  55.75	   9.80	   2.45	   5	   3	   5	-1	-1	-1	-1	
salvation	 922.71	 106.88	  19.46	   2.43	   9	   0	   0	 558	-1	 408	-1	
samovar	 168.65	  25.67	  12.72	   2.12	   7	   0	   0	-1	-1	-1	-1	
samurai	 278.86	  24.67	  10.42	   1.74	   7	   0	   0	-1	-1	-1	-1	
sanctity	 772.74	  98.71	  18.85	   2.69	   8	   0	   0	-1	-1	 330	-1	
sandalwood	  89.37	  20.56	  13.74	   1.53	  10	   0	   0	-1	-1	-1	-1	
sandwiches	 285.85	  58.78	  18.45	   2.05	  10	   1	   0	-1	-1	-1	-1	
sanity	 617.47	  59.40	  13.53	   2.71	   6	   1	   1	-1	-1	-1	-1	
sarcasm	 403.13	  49.33	  12.79	   2.13	   7	   0	   0	-1	-1	-1	-1	
satellite	 457.12	  82.75	  20.60	   2.58	   9	   0	   1	-1	-1	-1	-1	
satire	1176.03	  47.40	  14.81	   2.96	   6	   0	   1	-1	-1	 370	-1	
sauce	 744.03	  25.00	  10.57	   2.64	   5	   1	   9	 258	-1	 569	-1	
sauerkraut	 232.63	  26.89	  13.16	   1.46	  10	   0	   0	-1	-1	 585	-1	
sausages	 442.24	  90.43	  15.99	   2.28	   8	   0	   0	-1	-1	-1	-1	
saxophone	 180.78	  29.75	  13.66	   1.71	   9	   0	   0	 519	-1	 602	-1	
scabs	 134.40	  18.25	   7.67	   1.92	   5	   4	   5	-1	-1	-1	-1	
scalps	 364.62	  21.60	   9.52	   1.90	   6	   1	   1	-1	-1	-1	-1	
scarcity	 444.55	  61.14	  17.77	   2.54	   8	   0	   0	-1	-1	-1	-1	
scarf	 768.79	  27.00	   9.18	   2.30	   5	   3	   7	 269	-1	 610	-1	
scarves	 874.94	 115.83	  14.85	   2.48	   7	   0	   3	-1	-1	-1	-1	
scavenger	 212.67	  48.88	  17.22	   2.15	   9	   1	   1	-1	-1	 501	-1	
scavengers	 211.90	  46.00	  18.76	   2.08	  10	   0	   1	-1	-1	-1	-1	
scene	 383.40	  20.25	  10.07	   2.52	   5	   2	  14	 425	-1	 432	-1	
scenery	 760.07	  88.83	  15.22	   2.54	   7	   0	   1	-1	-1	-1	-1	
scenes	1133.41	 100.60	  13.72	   2.74	   6	   2	  11	-1	-1	-1	-1	
