ITEM   	  CELEX  	 BF_TK 	 BF_TP 	 LEN_L 	   N   	
excrement	   3.18	 799.44	  65.00	   9	   0	
excretion	   0.00	1087.02	 109.88	   9	   0	
excursion	   4.08	 738.30	  75.25	   9	   0	
exemption	   4.80	 937.13	  96.13	   9	   0	
exertion	   3.07	1014.58	  93.29	   8	   0	
exhaustion	  11.96	 922.37	 110.78	  10	   0	
existence	  67.49	 458.23	  57.38	   9	   0	
exodus	  10.45	 197.40	  16.80	   6	   0	
exotics	   0.00	 795.13	  57.17	   7	   0	
expansion	  31.45	 817.61	  78.50	   9	   0	
expertise	  10.84	 806.17	 103.25	   9	   0	
expiry	   0.45	 343.46	  28.20	   6	   1	
explorer	   1.84	 853.77	  83.43	   8	   2	
explosion	  19.78	 808.99	  80.50	   9	   0	
exponent	   1.62	 547.58	  63.14	   8	   0	
exporter	   1.06	 815.43	  89.29	   8	   1	
exposure	  15.70	 328.36	  29.71	   8	   0	
expression	  79.61	1002.27	  98.67	  10	   0	
expresso	   0.00	 210.41	  21.43	   8	   1	
expressway	   0.61	 366.27	  39.00	  10	   0	
expulsion	   4.08	 743.57	  73.50	   9	   0	
extenders	   0.00	 631.00	  80.50	   9	   0	
extension	  24.08	 947.92	  89.38	   9	   0	
extinction	   6.09	 971.52	 122.00	  10	   0	
extortion	   0.61	1071.67	 108.38	   9	   0	
extrovert	   2.35	 316.48	  49.50	   9	   0	
extrusion	   0.00	 746.08	  78.38	   9	   0	
eyedropper	   0.00	  48.93	  15.56	  10	   0	
eyeliner	   0.00	 708.09	  74.29	   8	   0	
fac	   0.00	 311.81	   4.50	   3	   9	
factory	  39.22	 677.07	  53.50	   7	   1	
faculty	  23.58	 416.34	  34.83	   7	   0	
fad	   3.13	3620.25	   8.50	   3	  16	
faire	   0.00	1551.94	  33.75	   5	   2	
fairyland	   0.73	 136.16	  25.50	   9	   0	
fajitas	   0.00	 202.31	  21.50	   7	   0	
falconry	   0.00	 273.23	  33.71	   8	   0	
fallacy	   2.40	 530.33	  56.50	   7	   0	
falsity	   1.01	 643.32	  58.67	   7	   1	
family	 328.44	1324.84	  58.40	   6	   0	
fandango	   0.00	 302.09	  50.86	   8	   0	
farce	   3.97	1221.18	  35.75	   5	   1	
farrier	   0.00	1537.66	 143.67	   7	   3	
fascism	   6.09	 354.83	  45.83	   7	   1	
fastener	   0.00	 919.13	  96.29	   8	   1	
fatalist	   0.00	 482.43	  89.00	   8	   1	
fatherhood	   0.84	 168.29	  30.33	  10	   0	
fatherland	   0.73	 207.45	  34.67	  10	   0	
fave	   0.00	4486.13	  17.00	   4	  15	
fealty	   0.00	 851.20	  45.00	   6	   0	
feat	   5.42	7049.28	  31.67	   4	  12	
featherbed	   0.00	 297.33	  74.11	  10	   0	
fedora	   0.56	 435.67	  23.80	   6	   0	
fee	  13.18	 934.41	   7.50	   3	  15	
feist	   0.00	 905.69	  23.75	   5	   2	
fellowship	   5.20	 137.13	  22.44	  10	   0	
fen	   1.40	 808.10	   8.50	   3	  18	
fent	   0.00	1640.82	  21.67	   4	  16	
feria	   0.00	 191.01	  20.50	   5	   0	
fermium	   0.00	 481.62	  41.00	   7	   0	
ferryman	   0.00	 286.43	  35.86	   8	   0	
fest	   0.00	3023.55	  21.67	   4	  15	
fests	   0.00	 448.32	  51.00	   5	   9	
fete	   1.45	 776.59	  17.33	   4	   1	
fetishist	   0.78	 326.59	  52.25	   9	   1	
fiance	   1.84	 625.90	  37.60	   6	   0	
fiasco	   2.29	 208.29	  23.00	   6	   0	
fides	   0.00	1773.58	  80.25	   5	  11	
fief	   0.00	 712.71	  12.67	   4	   1	
fig	   5.36	 235.72	   7.00	   3	  15	
figura	   0.00	 510.29	  26.80	   6	   1	
figurehead	   0.61	  84.01	  17.33	  10	   0	
figurine	   0.39	1105.83	 167.14	   8	   1	
filament	   0.67	 437.62	  53.00	   8	   0	
filigree	   1.34	 552.68	  58.71	   8	   0	
filtration	   0.45	 972.10	 137.56	  10	   0	
finale	   1.96	1219.52	  73.20	   6	   1	
finalist	   0.00	 392.29	  87.57	   8	   0	
financier	   1.40	 321.16	  52.50	   9	   0	
finery	   1.34	 674.27	  64.60	   6	   1	
fingernail	   1.23	 127.65	  23.78	  10	   0	
finisher	   0.00	 692.79	  76.14	   8	   2	
firearm	   0.45	 566.73	  40.50	   7	   1	
firebrand	   0.50	 242.70	  38.50	   9	   0	
fireplace	   8.27	 242.45	  36.63	   9	   0	
firepower	   1.12	 199.69	  36.00	   9	   0	
fireside	   1.34	 329.20	  51.57	   8	   0	
fireweed	   0.00	1186.41	 151.71	   8	   0	
firewood	   4.41	 207.18	  35.14	   8	   0	
firth	   0.89	1641.90	  29.50	   5	   6	
fisherman	   3.58	 300.27	  51.63	   9	   1	
fishery	   0.67	 934.67	  95.00	   7	   1	
fishmonger	   1.23	 125.82	  35.78	  10	   0	
fixation	   0.84	 913.08	  83.29	   8	   0	
fjord	   0.00	 343.46	  11.00	   5	   0	
flageolet	   0.00	 113.20	  29.63	   9	   0	
flair	   3.02	1690.79	  35.25	   5	   1	
flak	   2.57	 332.13	  16.67	   4	   6	
flan	   0.78	1064.61	  20.67	   4	   8	
flask	   4.25	 891.28	  37.50	   5	   2	
flattery	   2.91	 410.27	  85.14	   8	   1	
flaw	   3.63	 325.41	  16.00	   4	   9	
fleck	   0.61	 627.57	  31.50	   5	   2	
fleer	   0.00	2389.20	  60.00	   5	   4	
flesh	  51.96	 817.55	  28.25	   5	   3	
flirtation	   1.96	 946.23	 130.56	  10	   0	
floodwater	   0.00	 171.60	  55.89	  10	   0	
flotation	   1.28	 987.95	 110.25	   9	   0	
flotilla	   0.73	 223.14	  41.57	   8	   0	
flue	   0.45	 234.87	  14.00	   4	   6	
fluke	   2.51	 274.56	  25.25	   5	   2	
flume	   0.00	 264.10	  27.75	   5	   4	
flute	   2.51	 796.67	  32.75	   5	   1	
flycatcher	   0.00	  90.10	  24.44	  10	   0	
foe	  13.91	4179.33	   5.50	   3	  11	
foist	   0.00	1348.96	  26.25	   5	   2	
follicle	   0.00	 465.24	  58.43	   8	   0	
follower	   1.90	 598.20	  65.71	   8	   1	
font	   1.34	1686.57	  25.33	   4	   4	
foolery	   0.34	 904.71	 104.50	   7	   0	
fop	   0.00	4301.67	   7.00	   3	  14	
foramen	   0.00	 702.03	  60.33	   7	   1	
foreboding	   1.96	 484.78	 133.33	  10	   0	
forefather	   0.00	 224.15	  55.22	  10	   0	
foreigner	   7.09	 301.47	  58.38	   9	   0	
forerunner	   1.23	 314.88	  51.00	  10	   0	
forester	   0.84	 879.95	 111.00	   8	   0	
forestry	  18.44	 489.00	  66.00	   8	   0	
foret	   0.00	1202.42	  42.25	   5	   0	
forfeiture	   0.00	 169.68	  29.00	  10	   0	
forgery	   2.79	1063.71	 105.33	   7	   0	
fork	  13.63	2377.90	  24.67	   4	   8	
formation	  21.90	1028.43	 124.50	   9	   0	
formica	   0.00	 504.11	  49.67	   7	   0	
formula	  25.25	 418.77	  36.33	   7	   0	
fortitude	   1.62	 376.79	  58.00	   9	   0	
forwarder	   0.00	 235.08	  52.50	   9	   1	
franc	   2.01	 729.60	  38.00	   5	   1	
franchisee	   0.00	 110.56	  29.11	  10	   1	
fraud	   6.70	 456.04	  27.75	   5	   0	
freight	   5.53	 679.00	  30.33	   7	   0	
fremitus	   0.00	 308.57	  44.00	   8	   0	
frenulum	   0.00	 244.98	  39.86	   8	   0	
frequency	  12.63	 316.36	  43.00	   9	   0	
freres	   0.00	1023.58	 109.80	   6	   0	
freshener	   0.00	 392.42	  61.00	   9	   1	
fridge	   3.91	 467.16	  41.80	   6	   2	
frieze	   1.84	 348.55	  32.00	   6	   1	
fright	   8.77	 647.58	  38.80	   6	   4	
frill	   0.56	1631.04	  41.25	   5	   3	
fringe	  13.52	 878.35	  52.00	   6	   2	
frist	   0.00	1143.90	  38.25	   5	   4	
frond	   0.39	1339.02	  37.00	   5	   1	
fruit	  57.32	 375.67	  19.50	   5	   0	
fruition	   0.45	 965.84	  90.43	   8	   0	
fugitive	   2.23	 587.52	  64.71	   8	   0	
fugue	   0.50	 202.11	  11.50	   5	   0	
fundraiser	   0.00	 156.34	  37.00	  10	   0	
fungicide	   0.00	 146.41	  24.75	   9	   0	
furniture	  38.88	 329.85	  35.13	   9	   0	
futurist	   1.06	 436.47	  70.43	   8	   1	
fuzz	   2.46	 141.73	   6.00	   4	   2	
gadgetry	   0.56	 191.03	  32.57	   8	   0	
gaffe	   0.89	  59.63	   9.75	   5	   0	
gait	   2.63	1681.83	  25.00	   4	   4	
gal	   0.95	  64.71	   4.50	   3	   8	
gallantry	   1.45	 262.04	  49.00	   9	   1	
galleon	   0.34	 598.48	  66.83	   7	   0	
gallery	  27.71	1015.53	 118.67	   7	   0	
gangbuster	   0.00	 157.50	  44.78	  10	   0	
gange	   0.00	 556.45	  41.00	   5	   3	
gap	  34.13	 136.20	   9.00	   3	  16	
garb	   1.79	 895.17	  29.33	   4	   1	
gardener	   6.65	 908.80	  91.14	   8	   0	
gardening	   5.92	1208.89	 223.75	   9	   1	
gasoline	   3.91	1049.87	 178.86	   8	   0	
gast	   0.00	3078.92	  31.33	   4	  14	
gastritis	   0.00	 205.67	  43.13	   9	   0	
gatherer	   0.00	 967.23	  93.00	   8	   1	
gelatine	   2.01	1386.34	 191.43	   8	   0	
gem	   0.95	 590.08	   3.50	   3	   7	
generale	   0.00	 505.54	  65.86	   8	   2	
genetics	   3.02	 586.35	  67.29	   8	   0	
genitals	   5.75	 354.09	  46.86	   8	   0	
gent	   0.95	1231.11	  19.67	   4	  10	
gentleman	  24.64	 233.40	  28.38	   9	   1	
gentleness	   2.68	 186.48	  56.56	  10	   0	
geordie	   0.00	 163.19	  12.67	   7	   0	
gestation	   0.78	1137.32	 126.63	   9	   0	
getaway	   1.01	 461.89	  27.83	   7	   0	
ghee	   0.00	4045.39	   5.33	   4	   2	
gibe	   0.00	 283.54	   5.67	   4	   1	
gift	  31.28	 853.66	  10.00	   4	   5	
gigabyte	   0.00	 168.07	  27.29	   8	   0	
gilt	   6.70	1475.29	  22.67	   4	   9	
girth	   1.28	1322.29	  24.00	   5	   3	
gish	   0.00	 766.55	  17.33	   4	   7	
gist	   1.73	2655.75	  21.67	   4	   6	
giveaway	   0.67	 174.11	  24.29	   8	   0	
glace	   0.00	1463.35	  36.50	   5	   5	
gland	   2.29	1200.64	  37.75	   5	   3	
glee	   3.63	 170.69	   9.33	   4	   3	
glint	   3.30	1859.72	  42.25	   5	   1	
globe	  10.28	 466.79	  22.75	   5	   1	
globulin	   0.67	 158.98	  23.57	   8	   0	
gloom	  10.95	 614.39	  29.25	   5	   2	
glop	   0.00	 235.92	  14.33	   4	   4	
glossary	   0.50	 270.22	  41.29	   8	   0	
glove	   4.58	 768.68	  30.00	   5	   3	
glutamate	   0.00	 214.39	  44.75	   9	   0	
gluttony	   0.56	 142.99	  36.43	   8	   0	
glycerol	   0.00	 167.55	  28.71	   8	   0	
glycogen	   2.35	 202.34	  23.43	   8	   0	
glycoside	   0.00	 136.04	  27.75	   9	   0	
gnome	   0.78	 198.43	  10.25	   5	   0	
gnu	   0.00	   0.00	   0.00	   3	   0	
goal	  29.66	 921.90	  20.00	   4	   4	
goalkeeper	   1.40	  85.93	  17.11	  10	   0	
godmother	   1.56	 115.02	  30.38	   9	   0	
golf	  30.50	1137.41	  19.00	   4	   3	
gooseberry	   1.17	 137.39	  21.44	  10	   0	
gorge	   7.71	1187.48	  33.25	   5	   3	
gorilla	   1.90	 532.83	  41.33	   7	   0	
gossamer	   0.67	 549.44	  45.86	   8	   0	
gov	   0.00	 561.09	   2.00	   3	   5	
governance	   0.00	 644.60	  50.89	  10	   0	
governess	   3.52	 364.58	  84.13	   9	   0	
gown	   9.39	1544.82	  14.33	   4	   4	
gradation	   0.50	 995.45	 114.38	   9	   0	
gradient	   1.12	 439.23	  62.57	   8	   0	
graffiti	   2.46	 279.22	  48.00	   8	   0	
grain	  26.03	1349.25	  44.25	   5	   5	
gram	   1.90	 222.88	  19.33	   4	   7	
gran	   1.40	 938.15	  20.00	   4	   4	
grandbaby	   0.00	 132.34	  25.38	   9	   0	
grape	   2.07	 764.32	  39.75	   5	   8	
gravitas	   0.00	 228.64	  32.57	   8	   0	
gravity	  18.44	 644.45	  62.50	   7	   0	
greenery	   2.35	 647.39	 106.57	   8	   0	
grid	   4.53	1176.60	  14.67	   4	   5	
gridiron	   0.00	 428.66	  44.29	   8	   0	
grief	  15.53	1005.76	  38.00	   5	   1	
grille	   2.35	1423.59	  80.80	   6	   1	
grime	   0.95	 905.22	  36.25	   5	   3	
gro	   0.00	   6.37	   1.00	   3	   3	
groat	   0.00	1075.33	  33.50	   5	   3	
grocery	   5.42	1180.65	 108.00	   7	   1	
groin	   3.46	1203.79	  35.00	   5	   3	
groove	   4.53	 560.87	  41.60	   6	   1	
grouse	   2.07	1350.75	  48.60	   6	   1	
growth	 118.44	 659.03	  37.80	   6	   0	
grum	   0.00	 123.42	   8.67	   4	   5	
guarantor	   0.61	 223.28	  43.00	   9	   0	
guardian	  18.44	 256.51	  40.14	   8	   0	
guarneri	   0.00	 306.29	  61.71	   8	   0	
guerrilla	   7.93	 233.72	  31.75	   9	   0	
guile	   1.45	1414.74	  31.00	   5	   4	
guilt	  36.48	1049.78	  25.25	   5	   4	
guise	   3.52	1474.24	  30.00	   5	   2	
guitarist	   0.56	 374.73	  67.88	   9	   0	
guncotton	   0.00	 359.64	  40.38	   9	   0	
gunfighter	   0.00	 175.25	  41.33	  10	   0	
gunfire	   2.01	 327.62	  34.67	   7	   0	
gunnery	   0.45	 796.01	  95.83	   7	   2	
gunnysack	   0.00	  62.60	  13.13	   9	   0	
gunpowder	   1.84	 165.40	  34.50	   9	   0	
gunrunner	   0.00	 190.83	  34.63	   9	   0	
gurr	   0.00	 324.31	  13.67	   4	   3	
gust	   2.29	2975.49	  24.67	   4	   9	
guttering	   0.45	1321.26	 241.13	   9	   2	
gym	   4.08	   4.08	   1.00	   3	   2	
gymnastics	   1.51	 342.08	  57.22	  10	   0	
gyration	   0.00	 935.11	  86.71	   8	   0	
gyroscope	   0.00	  28.34	  11.25	   9	   0	
habitat	   8.44	 192.45	  28.50	   7	   0	
hackberry	   0.00	 157.06	  39.25	   9	   0	
hafnium	   0.00	 316.78	  35.50	   7	   0	
hake	   0.34	4050.65	  21.33	   4	  15	
halibut	   0.78	 368.16	  39.67	   7	   0	
halloween	   0.00	 178.04	  39.75	   9	   0	
halogen	   0.00	 566.27	  52.33	   7	   0	
hammerlock	   0.00	 159.55	  24.56	  10	   0	
handedness	   0.00	 132.57	  46.78	  10	   0	
handicap	   8.99	 305.18	  49.00	   8	   0	
handicraft	   0.67	 161.21	  31.44	  10	   0	
handiwork	   1.90	 206.88	  40.00	   9	   0	
handlebar	   0.34	 151.81	  28.88	   9	   0	
handover	   0.00	 658.01	  69.57	   8	   1	
hangover	   3.69	 637.08	  66.86	   8	   0	
harasser	   0.00	 644.45	  82.86	   8	   1	
harassment	   3.80	 526.33	  48.44	  10	   0	
hardcover	   0.00	 156.15	  44.63	   9	   0	
hardliner	   0.00	 310.66	  70.38	   9	   0	
harlequin	   0.95	 102.61	  31.75	   9	   0	
harn	   0.00	2976.45	  36.00	   4	  13	
harp	   2.40	2813.71	  31.67	   4	   7	
harvester	   0.73	 489.64	  91.25	   9	   1	
hatchery	   0.00	 552.30	  78.00	   8	   0	
hattery	   0.00	1199.12	 122.83	   7	   1	
haymaker	   0.00	 409.04	  42.00	   8	   0	
hazelnut	   0.00	  96.52	  20.29	   8	   0	
headhunter	   0.00	 186.57	  49.11	  10	   0	
headliner	   0.00	 310.75	  62.13	   9	   2	
headmaster	   7.77	 187.50	  49.89	  10	   0	
headwater	   0.00	 426.95	  84.00	   9	   0	
hearth	   4.47	 851.47	  52.60	   6	   4	
height	  34.41	 494.53	  24.60	   6	   1	
heir	   6.76	 916.09	  11.67	   4	   3	
helium	   5.14	 390.69	  34.40	   6	   0	
hematite	   0.00	 823.62	  96.71	   8	   0	
hemisphere	   4.02	 170.35	  27.78	  10	   0	
hemp	   1.90	 862.07	  15.00	   4	   4	
heraldry	   0.00	 310.62	  47.86	   8	   0	
heresy	   3.02	 677.04	  45.80	   6	   1	
heretic	   0.78	 680.87	  48.83	   7	   0	
heritage	  10.50	 446.18	  55.86	   8	   0	
herl	   0.00	2955.11	  15.33	   4	   9	
hermitage	   2.57	 407.02	  43.63	   9	   0	
hernia	   1.96	 395.85	  28.80	   6	   0	
heroine	   5.31	2191.13	 166.33	   7	   0	
hertz	   2.01	 602.07	  23.75	   5	   0	
hiatus	   0.95	 250.41	  23.00	   6	   0	
hibachi	   0.00	 181.37	  10.67	   7	   0	
hideaway	   0.45	 114.07	  22.00	   8	   0	
hieroglyph	   0.00	  99.59	  14.56	  10	   0	
highflier	   0.00	 279.50	  61.00	   9	   0	
highlander	   0.00	 103.65	  32.33	  10	   0	
hijacker	   0.00	 358.29	  37.14	   8	   1	
hilt	   1.06	1387.00	  24.00	   4	   9	
hinge	   1.96	 600.38	  39.50	   5	   2	
hinterland	   0.95	 235.21	  37.00	  10	   0	
hive	   3.41	2779.24	  13.67	   4	  10	
hob	   0.39	 821.36	   8.00	   3	  15	
hobbyist	   0.00	 212.91	  43.14	   8	   0	
hoch	   0.00	1427.59	  15.67	   4	   2	
holmium	   0.00	 325.55	  33.67	   7	   0	
hominid	   0.00	 492.91	  34.83	   7	   0	
hominy	   0.00	1293.12	  70.20	   6	   2	
homonym	   0.00	 338.88	  23.33	   7	   0	
honoree	   0.00	 550.77	  49.17	   7	   0	
hoolihan	   0.00	 173.91	  32.14	   8	   1	
hooperman	   0.00	 271.65	  47.25	   9	   0	
horde	   1.51	1151.90	  34.00	   5	   1	
horizon	  18.27	 719.79	  47.33	   7	   0	
horoscope	   0.39	  95.91	  28.50	   9	   0	
hote	   0.00	 937.00	  22.67	   4	  13	
hotelier	   0.00	 691.96	 101.00	   8	   0	
hots	   0.00	 873.83	  28.67	   4	  12	
hovercraft	   0.73	 328.35	  30.44	  10	   0	
huguenot	   0.00	 261.43	  23.57	   8	   0	
humanist	   2.40	 355.49	  62.71	   8	   1	
humanness	   0.00	 219.33	  61.25	   9	   0	
humerus	   0.00	 528.31	  40.33	   7	   0	
humidor	   0.00	 273.50	  25.33	   7	   0	
humorist	   0.00	 440.70	  73.00	   8	   0	
hurdler	   0.00	1116.34	 130.67	   7	   1	
hurricane	   3.58	 290.86	  48.38	   9	   0	
husbandry	   2.91	 169.21	  28.00	   9	   0	
hut	  22.57	4449.19	   8.50	   3	  18	
hyacinth	   0.73	 348.65	  40.14	   8	   0	
hydration	   0.00	 941.10	 103.75	   9	   0	
hydraulics	   0.00	  94.12	  25.89	  10	   0	
hydrazine	   0.00	 559.14	 106.38	   9	   0	
hydrogen	  13.46	 233.27	  24.00	   8	   0	
hydroxide	   0.00	  39.75	  15.25	   9	   0	
hygienist	   0.00	 349.20	  50.50	   9	   0	
hymn	   6.37	  18.27	   1.33	   4	   0	
hype	   0.00	 197.53	   6.67	   4	   2	
hypnosis	   1.73	 108.50	   9.86	   8	   0	
hypnotist	   0.67	 451.11	  66.63	   9	   1	
icebreaker	   0.00	  72.55	  18.67	  10	   0	
idea	 272.57	 349.96	   3.00	   4	   0	
idiom	   2.63	 122.12	   6.75	   5	   1	
idleness	   2.79	 528.56	  83.00	   8	   0	
ifs	   0.00	   0.00	   0.00	   3	   1	
ignition	   3.24	 977.02	  81.71	   8	   0	
ignorance	  18.88	 390.80	  48.13	   9	   0	
iguana	   0.39	 104.52	  12.80	   6	   0	
ilk	   0.56	  32.51	   2.00	   3	   3	
illusion	  17.32	 600.15	  45.29	   8	   1	
imagery	   5.25	 782.38	  84.50	   7	   0	
imbalance	   3.35	 339.52	  48.13	   9	   0	
imbroglio	   0.00	 116.36	  20.88	   9	   0	
immersion	   1.84	 948.74	  89.88	   9	   0	
imminence	   0.73	 389.71	  50.50	   9	   0	
impairment	   1.01	 562.56	  45.67	  10	   0	
impala	   0.50	 119.64	  17.80	   6	   0	
impassion	   0.00	 767.08	  73.88	   9	   0	
impatience	   7.49	 516.42	  54.67	  10	   0	
impatiens	   0.00	 656.14	  57.75	   9	   1	
impetus	   5.03	 256.80	  28.33	   7	   0	
implosion	   0.00	 792.88	  78.00	   9	   0	
importance	  78.04	 453.78	  49.56	  10	   0	
importer	   0.84	 739.24	  88.14	   8	   1	
imposter	   0.00	 731.90	  85.29	   8	   2	
impostor	   0.73	 265.44	  37.00	   8	   0	
impression	  56.09	 980.29	  98.78	  10	   0	
imprudence	   0.00	 465.18	  47.00	  10	   0	
inaction	   1.17	1162.64	 100.29	   8	   0	
inbreeding	   0.00	 633.91	 145.89	  10	   0	
incentive	   9.05	 917.03	 107.13	   9	   1	
inception	   1.28	1106.04	 116.75	   9	   0	
incidence	   7.09	 530.02	  67.38	   9	   0	
incident	  27.88	 624.49	  62.43	   8	   0	
incision	   0.89	 924.51	  75.14	   8	   0	
incisor	   0.56	 310.74	  32.33	   7	   0	
incitement	   1.06	 702.32	  71.67	  10	   0	
inclement	   0.50	 806.36	  75.75	   9	   1	
inclusion	   3.69	 870.43	  89.00	   9	   0	
increment	   1.17	 892.51	  80.25	   9	   1	
incursion	   1.23	 831.37	  90.50	   9	   0	
indenture	   0.00	 544.38	  64.25	   9	   0	
indexer	   0.00	 788.87	  73.17	   7	   1	
indictment	   4.86	 774.72	  70.22	  10	   0	
indigents	   0.00	 449.52	  72.25	   9	   0	
inducement	   1.40	 727.31	  62.44	  10	   0	
inductee	   0.00	 596.33	  66.14	   8	   0	
induction	   3.91	1076.77	 117.75	   9	   0	
inductor	   0.61	 417.37	  40.00	   8	   0	
indulgence	   4.13	 586.81	  61.56	  10	   0	
industry	 146.31	 560.75	  50.14	   8	   0	
ineptness	   0.00	 319.91	  75.38	   9	   0	
inertia	   5.70	 289.20	  37.33	   7	   0	
inertness	   0.00	 408.67	  87.25	   9	   0	
infamy	   0.73	 270.87	  20.40	   6	   0	
infancy	   7.88	 340.21	  33.50	   7	   0	
infantry	   7.93	 495.50	  53.00	   8	   0	
infarction	   0.39	1048.14	 131.11	  10	   0	
infection	  17.77	1146.26	 121.75	   9	   1	
inference	   3.85	 642.60	  86.88	   9	   0	
inferno	   2.07	 419.92	  35.33	   7	   0	
infielder	   0.00	 348.90	  56.63	   9	   0	
infighting	   0.50	 871.23	 184.67	  10	   0	
inflation	  37.82	1137.74	 126.00	   9	   0	
inflection	   1.73	1082.16	 138.67	  10	   1	
infliction	   0.50	1087.93	 140.56	  10	   1	
informant	   2.07	 611.34	  65.63	   9	   0	
informer	   1.17	 692.34	  69.29	   8	   1	
infraction	   0.00	1042.80	 134.89	  10	   0	
infuses	   0.00	 817.69	 115.67	   7	   1	
infusion	   1.12	 818.06	  64.14	   8	   0	
ingenue	   0.00	 347.98	  31.50	   7	   0	
ingestion	   0.00	1043.57	 120.25	   9	   0	
inhaler	   0.00	1089.99	 121.50	   7	   1	
injection	   6.15	1105.00	 115.75	   9	   1	
injector	   0.00	 435.86	  38.71	   8	   0	
injunction	   3.13	1002.20	 125.78	  10	   0	
injury	  22.74	 458.47	  30.00	   6	   1	
injustice	  11.45	 638.48	  89.50	   9	   0	
innkeeper	   0.34	 281.30	  44.38	   9	   0	
innocence	  17.65	 473.27	  62.00	   9	   0	
inpatient	   0.00	 842.02	  74.13	   9	   1	
inquirer	   0.00	 936.42	  77.57	   8	   2	
inquiry	  23.97	 413.33	  37.17	   7	   1	
insertion	   0.89	1230.61	 138.88	   9	   0	
insider	   1.12	1032.46	  95.00	   7	   1	
insistence	   9.50	 575.88	  68.33	  10	   0	
insolence	   1.62	 504.39	  65.38	   9	   1	
inspection	  11.79	1077.17	 141.44	  10	   0	
inspector	  27.93	 419.99	  55.50	   9	   0	
installers	   0.00	 335.93	  65.78	  10	   0	
instructor	   4.36	 254.65	  49.11	  10	   0	
instrument	  21.17	 666.34	  70.56	  10	   0	
insulin	   1.51	 368.39	  33.00	   7	   0	
integer	   0.00	 968.92	  89.17	   7	   0	
intellect	   6.98	 434.85	  64.75	   9	   0	
intention	  34.75	1307.55	 137.25	   9	   1	
intercom	   1.40	 634.01	  59.00	   8	   0	
interfaith	   0.00	 488.47	  61.89	  10	   0	
interlude	   2.40	 503.58	  70.88	   9	   0	
internist	   0.00	 739.00	  98.38	   9	   0	
internment	   2.85	 953.13	  83.33	  10	   0	
internship	   0.00	 519.26	  60.22	  10	   0	
interplay	   1.51	 501.81	  66.00	   9	   0	
interval	  11.90	 909.89	  74.43	   8	   1	
intestine	   1.51	1239.83	 192.38	   9	   0	
introvert	   0.56	 406.44	  66.63	   9	   0	
intruder	   2.85	 780.54	  73.00	   8	   2	
intrusion	   4.19	 836.04	  95.50	   9	   0	
intuit	   0.39	 406.25	  24.20	   6	   0	
invader	   0.89	 905.26	  90.50	   7	   2	
invasion	  27.99	 853.14	  66.14	   8	   0	
invective	   0.95	 818.41	 100.88	   9	   1	
invention	  18.04	1201.91	 129.63	   9	   1	
inventor	   1.90	 552.20	  61.57	   8	   1	
inversion	   1.06	 944.16	 110.88	   9	   0	
investment	  65.08	 758.03	  65.00	  10	   0	
investor	   3.13	 527.72	  57.57	   8	   1	
invitee	   0.00	 653.18	  71.50	   7	   2	
iodide	   0.00	 320.76	  22.20	   6	   1	
iodine	   3.74	1100.79	  66.60	   6	   0	
iota	   0.73	 289.15	   7.67	   4	   1	
iou	   0.00	3595.83	   1.50	   3	   3	
ire	   1.68	2220.84	   2.50	   3	   4	
irishman	   0.00	 163.74	  33.71	   8	   0	
ironwood	   0.00	 296.51	  31.14	   8	   0	
irony	  12.79	 892.84	  34.25	   5	   1	
irritant	   1.28	 461.94	  54.00	   8	   0	
irs	   0.00	   0.84	   0.50	   3	   2	
islander	   0.00	 578.20	  58.71	   8	   0	
isle	   7.43	 322.27	  11.33	   4	   1	
isotope	   0.34	 280.13	  17.00	   7	   0	
issuance	   0.34	 429.31	  31.57	   8	   0	
ivory	  10.78	 544.57	  18.50	   5	   0	
jade	   1.73	 978.24	  13.67	   4	   4	
jain	   0.00	1646.63	  21.00	   4	   9	
jalopy	   0.45	 297.54	  29.40	   6	   0	
jamb	   0.00	 739.12	  12.33	   4	   2	
jaunt	   0.95	 930.20	  24.50	   5	   3	
javelin	   0.34	 242.91	  22.17	   7	   0	
jeep	   7.15	2102.41	  21.00	   4	   7	
jellyfish	   1.79	 210.10	  35.88	   9	   0	
jetliner	   0.00	 727.83	  77.14	   8	   0	
jeweler	   0.00	 939.25	 104.50	   7	   0	
jewishness	   0.00	  91.13	  34.56	  10	   0	
jib	   0.61	   7.85	   4.00	   3	   8	
joinery	   0.56	 760.92	  94.17	   7	   1	
joist	   0.00	1122.94	  21.25	   5	   3	
jojoba	   0.00	  29.42	   3.80	   6	   0	
joule	   0.39	3815.34	  29.25	   5	   0	
journeyman	   0.45	  46.96	  14.11	  10	   0	
jubilee	   1.73	 320.24	  61.33	   7	   0	
jug	   8.49	  32.97	   6.00	   3	  13	
juice	  20.39	1877.69	  20.75	   5	   1	
jujitsu	   0.00	  81.41	   8.17	   7	   0	
jure	   0.00	3385.77	  25.00	   4	   7	
kapp	   0.00	  36.56	   5.00	   4	   0	
kayaker	   0.00	 709.78	  72.50	   7	   0	
kayakers	   0.00	 295.77	  65.86	   8	   0	
keratin	   0.00	 594.74	  46.50	   7	   0	
kerb	   2.57	2279.29	  11.33	   4	   2	
kerfuffle	   0.00	 182.31	  25.00	   9	   0	
kerosene	   2.18	 339.29	  42.29	   8	   0	
kiln	   1.40	1252.18	  17.67	   4	   3	
kilobyte	   0.00	 179.58	  28.71	   8	   0	
