"","X.1","X","Word","FREQcount","CDcount","FREQlow","Cdlow","SUBTLWF","Lg10WF","SUBTLCD","Lg10CD","Dom_PoS_SUBTLEX","Freq_dom_PoS_SUBTLEX","Percentage_dom_PoS","All_PoS_SUBTLEX","All_freqs_SUBTLEX","Zipfvalue","cmu_sylls","BF_TK","BF_TP","LEN_L","N"
"1023",6450,21830,"entombment",3,2,3,2,0.058823529,0.602059991,0.023843586,0.477121255,"Noun",3,1,"Noun",3,1.893894133,3,528.51,47.11,10,0
"1024",6452,21835,"entourage",69,52,66,52,1.352941176,1.84509804,0.619933238,1.72427587,"Noun",70,1,"Noun",70,3.136932182,3,267.72,43.88,9,1
"1025",6458,21848,"entrapment",43,34,38,31,0.843137255,1.643452676,0.405340963,1.544068044,"Noun",42,1,"Noun",42,2.935286819,3,547.53,52.67,10,0
"1026",6460,21857,"entreaty",2,2,2,2,0.039215686,0.477121255,0.023843586,0.477121255,"Noun",2,1,"Noun",2,1.768955397,3,402.57,50.43,8,0
"1027",6466,21876,"entryway",8,8,8,8,0.156862745,0.954242509,0.095374344,0.954242509,"Noun",8,1,"Noun",8,2.246076652,3,229.88,26.57,8,0
"1028",6468,21894,"envelope",513,326,506,321,10.05882353,2.710963119,3.88650453,2.514547753,"Noun",512,1,"Noun",512,4.002797261,3,234.94,34.57,8,0
"1029",6470,21911,"environs",10,10,10,10,0.196078431,1.041392685,0.11921793,1.041392685,"Noun",10,1,"Noun",10,2.333226827,3,343.12,51.57,8,0
"1030",6489,21958,"epicure",2,2,1,1,0.039215686,0.477121255,0.023843586,0.477121255,"Noun",2,1,"Noun",2,1.768955397,3,407.05,30.83,7,0
"1031",6498,21983,"epilogue",6,6,6,6,0.117647059,0.84509804,0.071530758,0.84509804,"Noun",6,1,"Noun",6,2.136932182,3,214.7,17.71,8,0
"1032",6502,21998,"episode",627,462,446,316,12.29411765,2.797959644,5.507868383,2.665580991,"Noun",624,1,"Noun",624,4.089793786,3,231.8,23.17,7,0
"1033",6504,22003,"epistle",5,5,4,4,0.098039216,0.77815125,0.059608965,0.77815125,"Noun",5,1,"Noun",5,2.069985393,3,329.8,47,7,0
"1034",6506,22005,"epitaph",26,24,25,23,0.509803922,1.431363764,0.286123033,1.397940009,"Noun",26,1,"Noun",26,2.723197906,3,353.22,21.17,7,0
"1035",6518,22047,"equation",178,127,173,124,3.490196078,2.252853031,1.514067716,2.10720997,"Noun",177,1,"Noun",177,3.544687173,3,905.45,83.43,8,0
"1036",6520,22049,"equator",31,27,28,24,0.607843137,1.505149978,0.321888412,1.447158031,"Noun",31,1,"Noun",31,2.79698412,3,227.16,26,7,0
"1037",6522,22061,"equipment",1298,849,1270,831,25.45098039,3.113609151,10.12160229,2.929418926,"Noun",1296,1,"Noun",1296,4.405443293,3,545.28,42.25,9,0
"1038",6526,22070,"equity",67,47,53,38,1.31372549,1.832508913,0.560324273,1.681241237,"Noun",67,1,"Noun",67,3.124343055,3,245.91,28.8,6,0
"1039",6529,22090,"eraser",51,28,34,23,1,1.716003344,0.333810205,1.462397998,"Noun",51,1,"Noun",51,3.007837486,3,1820.61,132,6,1
"1040",6534,22106,"erection",111,70,109,69,2.176470588,2.049218023,0.834525513,1.851258349,"Noun",113,1,"Noun",113,3.341052165,3,1047.05,97,8,2
"1041",6536,22109,"erector",7,5,4,3,0.137254902,0.903089987,0.059608965,0.77815125,"Noun",7,1,"Noun",7,2.194924129,3,339.11,31.17,7,1
