,X,Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Zipfvalue,cmu_sylls
84,294,academes,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
85,295,academia,12,12,10,10,0.235294118,1.113943352,0.143061516,1.113943352,Noun,12,1,Noun,12,2.405777494,5
86,299,academics,35,31,33,30,0.68627451,1.556302501,0.369575584,1.505149978,Noun,34,1,Noun,34,2.848136643,4
87,300,academies,7,7,7,7,0.137254902,0.903089987,0.083452551,0.903089987,Noun,7,1,Noun,7,2.194924129,4
88,301,academy,633,345,284,156,12.41176471,2.802089258,4.113018598,2.539076099,Noun,633,1,Noun,633,4.0939234,4
89,306,accademia,1,1,0,0,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
90,310,accelerant,28,13,25,13,0.549019608,1.462397998,0.154983309,1.146128036,Noun,28,1,Noun,28,2.75423214,4
91,320,accents,58,56,57,55,1.137254902,1.770852012,0.66762041,1.755874856,Noun,58,1,Noun,58,3.062686154,2
92,327,acceptance,161,140,150,134,3.156862745,2.209515015,1.669051025,2.149219113,Noun,162,1,Noun,162,3.501349157,3
93,329,acceptant,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
94,339,accession,6,3,6,3,0.117647059,0.84509804,0.035765379,0.602059991,Noun,6,1,Noun,6,2.136932182,3
95,346,accident,4146,2180,4061,2166,81.29411765,3.617734035,25.98950882,3.338655666,Noun,4138,1,Noun,4138,4.909568178,3
96,351,accidents,340,281,289,244,6.666666667,2.532754379,3.350023844,2.450249108,Noun,340,1,Noun,340,3.824588521,3
97,363,accolade,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
98,364,accolades,9,9,9,9,0.176470588,1,0.107296137,1,Noun,9,1,Noun,9,2.291834142,3
99,381,accompli,8,8,8,8,0.156862745,0.954242509,0.095374344,0.954242509,Noun,8,1,Noun,8,2.246076652,3
100,382,accomplice,216,147,210,145,4.235294118,2.336459734,1.752503577,2.170261715,Noun,216,1,Noun,216,3.628293876,3
101,396,accordion,67,46,63,44,1.31372549,1.832508913,0.54840248,1.672097858,Noun,66,1,Noun,66,3.124343055,4
102,397,accordions,3,2,2,2,0.058823529,0.602059991,0.023843586,0.477121255,Noun,3,1,Noun,3,1.893894133,4
103,407,accountant,315,191,303,185,6.176470588,2.499687083,2.27706247,2.283301229,Noun,315,1,Noun,315,3.791521225,3
104,413,accoutre,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
105,422,accrual,2,2,2,2,0.039215686,0.477121255,0.023843586,0.477121255,Noun,2,1,Noun,2,1.768955397,3
106,435,accuracy,76,65,73,63,1.490196078,1.886490725,0.774916547,1.819543936,Noun,76,1,Noun,76,3.178324867,4
107,439,accusation,143,128,142,128,2.803921569,2.158362492,1.525989509,2.11058971,Noun,143,1,Noun,143,3.450196634,4
108,444,accuser,15,12,15,12,0.294117647,1.204119983,0.143061516,1.113943352,Noun,15,1,Noun,15,2.495954125,3
109,445,accusers,8,8,8,8,0.156862745,0.954242509,0.095374344,0.954242509,Noun,8,1,Noun,8,2.246076652,3
110,454,aces,202,136,132,96,3.960784314,2.307496038,1.621363853,2.136720567,Noun,202,1,Noun,202,3.59933018,2
111,455,acetabulum,2,1,2,1,0.039215686,0.477121255,0.011921793,0.301029996,Noun,2,1,Noun,2,1.768955397,NA
112,457,acetate,6,5,5,4,0.117647059,0.84509804,0.059608965,0.77815125,Noun,6,1,Noun,6,2.136932182,3
113,458,acetates,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
114,461,acetyl,2,2,0,0,0.039215686,0.477121255,0.023843586,0.477121255,Noun,2,1,Noun,2,1.768955397,NA
115,463,acetylene,23,14,22,13,0.450980392,1.380211242,0.166905103,1.176091259,Noun,23,1,Noun,23,2.672045384,4
116,466,achar,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
117,478,achievers,9,5,4,3,0.176470588,1,0.059608965,0.77815125,Noun,9,1,Noun,9,2.291834142,3
118,482,achiness,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
119,486,achoo,5,4,1,1,0.098039216,0.77815125,0.047687172,0.698970004,Noun,5,1,Noun,5,2.069985393,2
120,489,acidemia,2,1,2,1,0.039215686,0.477121255,0.011921793,0.301029996,Noun,2,1,Noun,2,1.768955397,NA
121,491,acidity,10,8,9,7,0.196078431,1.041392685,0.095374344,0.954242509,Noun,10,1,Noun,10,2.333226827,4
122,496,acids,42,33,41,33,0.823529412,1.633468456,0.39341917,1.531478917,Noun,41,1,Noun,41,2.925302598,2
