"","Word","FREQcount","CDcount","FREQlow","Cdlow","SUBTLWF","Lg10WF","SUBTLCD","Lg10CD","Dom_PoS_SUBTLEX","Freq_dom_PoS_SUBTLEX","Percentage_dom_PoS","All_PoS_SUBTLEX","All_freqs_SUBTLEX","Zipfvalue","syllables","cmu_syllss"
"8089","brooms",24,24,24,24,0.470588235294118,1.39794000867204,0.286123032904149,1.39794000867204,"Noun",24,1,"Noun","24",2.6897741508165,1,1
"8093","broth",45,39,43,37,0.882352941176471,1.66275783168157,0.464949928469242,1.60205999132796,"Noun",45,1,"Noun","45",2.95459197382603,1,1
"8102","broths",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,1
"8106","brouhaha",11,11,11,11,0.215686274509804,1.07918124604762,0.131139723414402,1.07918124604762,"Noun",11,1,"Noun","11",2.37101538819208,NA,3
"8107","brow",94,78,94,78,1.84313725490196,1.97772360528885,0.929899856938484,1.89762709129044,"Noun",94,1,"Noun","94",3.26955774743331,1,1
"8126","brows",12,11,12,11,0.235294117647059,1.11394335230684,0.131139723414402,1.07918124604762,"Noun",12,1,"Noun","12",2.4057774944513,1,1
"8187","brute",162,133,142,119,3.17647058823529,2.21218760440396,1.58559847401049,2.12710479836481,"Noun",162,1,"Noun","162",3.50402174654842,1,1
"8214","buccaneers",13,9,6,5,0.254901960784314,1.14612803567824,0.107296137339056,1,"Noun",13,1,"Noun","13",2.4379621778227,3,3
"8257","buddhism",33,27,0,0,0.647058823529412,1.53147891704226,0.321888412017167,1.44715803134222,"Noun",33,1,"Noun","33",2.82331305918672,NA,3
"8275","buds",90,80,80,73,1.76470588235294,1.95904139232109,0.953743443013829,1.90848501887865,"Noun",92,1,"Noun","92",3.25087553446555,1,1
"8283","buffalos",3,3,2,2,0.0588235294117647,0.602059991327962,0.0357653791130186,0.602059991327962,"Noun",3,1,"Noun","3",1.89389413347242,NA,3
"8303","bugaboo",7,7,7,7,0.137254901960784,0.903089986991944,0.0834525512637101,0.903089986991944,"Noun",7,1,"Noun","7",2.1949241291364,NA,3
"8336","bulb",200,148,193,142,3.92156862745098,2.30319605742049,1.76442536957558,2.17318626841227,"Noun",200,1,"Noun","200",3.59503019956495,1,1
"8340","bulbs",87,67,87,67,1.70588235294118,1.94448267215017,0.798760133524082,1.83250891270624,"Noun",87,1,"Noun","87",3.23631681429463,1,1
"8375","bulldozer",66,41,61,38,1.29411764705882,1.82607480270083,0.488793514544588,1.6232492903979,"Noun",66,1,"Noun","66",3.11790894484529,3,3
"8376","bulldozers",22,17,17,12,0.431372549019608,1.36172783601759,0.202670481640439,1.25527250510331,"Noun",22,1,"Noun","22",2.65356197816205,3,3
"8383","bulletin",183,148,163,137,3.58823529411765,2.26481782300954,1.76442536957558,2.17318626841227,"Noun",183,1,"Noun","183",3.556651965154,3,3
"8384","bulletins",17,14,17,14,0.333333333333333,1.25527250510331,0.16690510252742,1.17609125905568,"Noun",17,1,"Noun","17",2.54710664724777,3,3
"8414","bulls",264,138,132,90,5.17647058823529,2.42324587393681,1.64520743919886,2.14301480025409,"Noun",262,1,"Noun","262",3.71508001608127,1,1
"8441","bumblebees",2,2,1,1,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412,NA,3
"8471","bund",3,3,1,1,0.0588235294117647,0.602059991327962,0.0357653791130186,0.602059991327962,"Noun",3,1,"Noun","3",1.89389413347242,NA,1
"8481","bungalow",84,48,63,43,1.64705882352941,1.92941892571429,0.572246065808298,1.69019608002851,"Noun",84,1,"Noun","84",3.22125306785875,3,3
"8482","bungalows",13,11,9,9,0.254901960784314,1.14612803567824,0.131139723414402,1.07918124604762,"Noun",13,1,"Noun","13",2.4379621778227,3,3
"8509","bunks",55,35,55,35,1.07843137254902,1.7481880270062,0.41726275631855,1.55630250076729,"Noun",55,1,"Noun","55",3.04002216915066,1,1
"8514","buns",193,129,176,120,3.7843137254902,2.28780172993023,1.5379113018598,2.11394335230684,"Noun",191,1,"Noun","191",3.57963587207469,1,1
"8527","buoyancy",18,16,18,16,0.352941176470588,1.27875360095283,0.190748688602766,1.23044892137827,"Noun",18,1,"Noun","18",2.57058774309729,3,3
"8549","bureaucrat",29,26,28,25,0.568627450980392,1.47712125471966,0.309966618979495,1.43136376415899,"Noun",29,1,"Noun","29",2.76895539686412,3,3
"8564","burglaries",41,31,39,29,0.803921568627451,1.6232492903979,0.369575584167859,1.50514997831991,"Noun",40,1,"Noun","40",2.91508343254236,3,3
"8570","burglary",182,105,151,97,3.56862745098039,2.26245108973043,1.25178826895565,2.02530586526477,"Noun",175,1,"Noun","175",3.55428523187489,3,3
"8579","burial",242,197,229,187,4.74509803921569,2.38560627359831,2.34859322842155,2.29666519026153,"Noun",243,1,"Noun","243",3.67744041574277,2,3
"8580","burials",10,9,8,7,0.196078431372549,1.04139268515823,0.107296137339056,1,"Noun",10,1,"Noun","10",2.33322682730268,2,3
"8630","burrower",3,1,2,1,0.0588235294117647,0.602059991327962,0.0119217930376729,0.301029995663981,"Noun",3,1,"Noun","3",1.89389413347242,NA,3
"8638","burse",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,1
"8685","businesses",155,134,150,130,3.03921568627451,2.19312459835446,1.59752026704816,2.13033376849501,"Noun",155,1,"Noun","155",3.48495874049892,3,3
"8731","butchery",13,12,13,12,0.254901960784314,1.14612803567824,0.143061516452074,1.11394335230684,"Noun",13,1,"Noun","13",2.4379621778227,3,3
"8745","buttercups",5,4,5,4,0.0980392156862745,0.778151250383644,0.0476871721506915,0.698970004336019,"Noun",5,1,"Noun","5",2.0699853925281,3,3
"8747","butterfat",2,2,2,2,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412,NA,3
"8773","buttonhole",11,10,11,10,0.215686274509804,1.07918124604762,0.119217930376729,1.04139268515823,"Noun",11,1,"Noun","11",2.37101538819208,3,3
"8781","buttresses",2,2,2,2,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412,3,3
"8822","byproduct",13,13,13,13,0.254901960784314,1.14612803567824,0.154983309489747,1.14612803567824,"Noun",13,1,"Noun","13",2.4379621778227,NA,3
"8827","bystander",45,38,38,35,0.882352941176471,1.66275783168157,0.453028135431569,1.5910646070265,"Noun",44,1,"Noun","44",2.95459197382603,3,3
"8828","bystanders",23,23,20,20,0.450980392156863,1.38021124171161,0.274201239866476,1.38021124171161,"Noun",22,1,"Noun","22",2.67204538385607,3,3
"8829","byte",6,6,6,6,0.117647058823529,0.845098040014257,0.0715307582260372,0.845098040014257,"Noun",6,1,"Noun","6",2.13693218215872,NA,1
"8830","bytes",17,7,6,6,0.333333333333333,1.25527250510331,0.0834525512637101,0.903089986991944,"Noun",17,1,"Noun","17",2.54710664724777,NA,1
"8840","cab",1826,961,1709,926,35.8039215686275,3.26173854735254,11.4568431092036,2.98317507203781,"Noun",1822,1,"Noun","1822",4.553572689497,1,1
"8854","cabanas",2,2,2,2,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412,NA,3
"8855","cabaret",115,44,78,35,2.25490196078431,2.06445798922692,0.524558893657606,1.65321251377534,"Noun",115,1,"Noun","115",3.35629213137138,3,3
"8856","cabarets",13,11,10,9,0.254901960784314,1.14612803567824,0.131139723414402,1.07918124604762,"Noun",13,1,"Noun","13",2.4379621778227,3,3
"8858","cabbages",37,25,36,24,0.725490196078431,1.57978359661681,0.298044825941822,1.41497334797082,"Noun",37,1,"Noun","37",2.87161773876127,3,3
"8865","cabdrivers",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
"8868","cabernets",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
"8873","cabinets",61,55,61,55,1.19607843137255,1.79239168949825,0.655698617072008,1.7481880270062,"Noun",61,1,"Noun","61",3.08422583164271,3,3
"8885","cabooses",8,5,8,5,0.156862745098039,0.954242509439325,0.0596089651883643,0.778151250383644,"Noun",8,1,"Noun","8",2.24607665158378,NA,3
"8911","cad",53,46,46,41,1.03921568627451,1.73239375982297,0.548402479732952,1.67209785793572,"Noun",53,1,"Noun","53",3.02422790196743,1,1
"8925","cadences",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,3,3
"8933","cadmium",7,3,6,2,0.137254901960784,0.903089986991944,0.0357653791130186,0.602059991327962,"Noun",7,1,"Noun","7",2.1949241291364,2,3
"8936","cads",4,4,4,4,0.0784313725490196,0.698970004336019,0.0476871721506915,0.698970004336019,"Noun",4,1,"Noun","4",1.99080414648048,NA,1
"8943","caesarean",10,9,2,2,0.196078431372549,1.04139268515823,0.107296137339056,1,"Noun",10,1,"Noun","10",2.33322682730268,NA,3
"8944","caesareans",1,1,0,0,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
"8974","cairn",3,2,3,2,0.0588235294117647,0.602059991327962,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.89389413347242,1,1
"8975","cairns",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,1,1
"8989","cakes",291,192,268,182,5.70588235294118,2.46538285144842,2.28898426323319,2.28555730900777,"Noun",286,1,"Noun","286",3.75721699359288,1,1
"8992","cal",530,131,13,12,10.3921568627451,2.72509452108147,1.56175488793515,2.12057393120585,"Noun",525,1,"Noun","525",4.01692866322593,NA,1
"9016","calcium",90,58,77,55,1.76470588235294,1.95904139232109,0.691463996185026,1.77085201164214,"Noun",90,1,"Noun","90",3.25087553446555,2,3
"9029","calculus",47,39,38,32,0.92156862745098,1.68124123737559,0.464949928469242,1.60205999132796,"Noun",47,1,"Noun","47",2.97307537952005,3,3
"9035","calendar",363,229,351,223,7.11764705882353,2.56110138364906,2.73009060562709,2.36172783601759,"Noun",363,1,"Noun","363",3.85293552579352,3,3
"9037","calendars",34,28,32,26,0.666666666666667,1.54406804435028,0.33381020505484,1.46239799789896,"Noun",34,1,"Noun","34",2.83590218649474,3,3
"9045","caliber",139,110,138,109,2.72549019607843,2.14612803567824,1.31139723414402,2.04532297878666,"Noun",139,1,"Noun","139",3.4379621778227,NA,3
"9064","calipers",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
"9078","calles",2,2,2,2,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412,NA,1
"9114","calorie",12,12,12,12,0.235294117647059,1.11394335230684,0.143061516452074,1.11394335230684,"Noun",12,1,"Noun","12",2.4057774944513,3,3
"9115","calories",79,68,76,68,1.54901960784314,1.90308998699194,0.810681926561755,1.83884909073726,"Noun",79,1,"Noun","79",3.1949241291364,3,3
"9125","calves",82,54,81,53,1.6078431372549,1.91907809237607,0.643776824034335,1.74036268949424,"Noun",82,1,"Noun","82",3.21091223452053,1,1
"9131","calypsos",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
"9146","camcorder",32,27,31,26,0.627450980392157,1.51851393987789,0.321888412017167,1.44715803134222,"Noun",32,1,"Noun","32",2.81034808202235,NA,3
"9147","camcorders",3,2,3,2,0.0588235294117647,0.602059991327962,0.0238435860753457,0.477121254719662,"Noun",3,1,"Noun","3",1.89389413347242,NA,3
"9158","cameos",5,5,5,5,0.0980392156862745,0.778151250383644,0.0596089651883643,0.778151250383644,"Noun",5,1,"Noun","5",2.0699853925281,3,3
"9162","cameras",915,581,880,567,17.9411764705882,2.96189547366785,6.92656175488794,2.76492298464989,"Noun",912,1,"Noun","912",4.25372961581231,3,3
"9181","campaigner",8,8,8,8,0.156862745098039,0.954242509439325,0.0953743443013829,0.954242509439325,"Noun",8,1,"Noun","8",2.24607665158378,3,3
"9194","campfire",64,55,59,50,1.25490196078431,1.81291335664286,0.655698617072008,1.7481880270062,"Noun",63,1,"Noun","63",3.10474749878732,3,3
"9195","campfires",16,15,12,11,0.313725490196078,1.23044892137827,0.178826895565093,1.20411998265592,"Noun",16,1,"Noun","16",2.52228306352273,NA,3
"9206","camps",192,133,190,131,3.76470588235294,2.28555730900777,1.58559847401049,2.12710479836481,"Noun",192,1,"Noun","192",3.57739145115223,1,1
"9210","campuses",6,6,6,6,0.117647058823529,0.845098040014257,0.0715307582260372,0.845098040014257,"Noun",6,1,"Noun","6",2.13693218215872,3,3
"9218","canaanite",2,2,0,0,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412,NA,3
"9264","candidate",434,277,406,263,8.50980392156863,2.63848925695464,3.30233667143538,2.44404479591808,"Noun",434,1,"Noun","434",3.9303233990991,3,3
"9265","candidates",197,145,190,140,3.86274509803922,2.29666519026153,1.72865999046257,2.16435285578444,"Noun",197,1,"Noun","197",3.58849933240599,3,3
"9292","canes",22,20,22,20,0.431372549019608,1.36172783601759,0.238435860753457,1.32221929473392,"Noun",22,1,"Noun","22",2.65356197816205,1,1
"9299","canister",73,35,73,35,1.43137254901961,1.86923171973098,0.41726275631855,1.55630250076729,"Noun",73,1,"Noun","73",3.16106586187544,3,3
"9300","canisters",91,28,91,28,1.7843137254902,1.96378782734556,0.33381020505484,1.46239799789896,"Noun",90,1,"Noun","90",3.25562196949002,3,3
"9304","cannabis",23,20,21,18,0.450980392156863,1.38021124171161,0.238435860753457,1.32221929473392,"Noun",23,1,"Noun","23",2.67204538385607,3,3
"9309","canneries",2,2,2,2,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412,NA,3
"9311","cannery",13,10,13,10,0.254901960784314,1.14612803567824,0.119217930376729,1.04139268515823,"Noun",13,1,"Noun","13",2.4379621778227,3,3
"9312","cannibal",56,44,42,32,1.09803921568627,1.75587485567249,0.524558893657606,1.65321251377534,"Noun",56,1,"Noun","56",3.04770899781695,3,3
"9319","cannibals",49,40,43,36,0.96078431372549,1.69897000433602,0.476871721506915,1.61278385671974,"Noun",49,1,"Noun","49",2.99080414648048,3,3
"9323","cannister",2,2,2,2,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412,NA,3
"9338","canoeing",9,6,9,6,0.176470588235294,1,0.0715307582260372,0.845098040014257,"Noun",10,1,"Noun","10",2.29183414214446,3,3
"9340","canola",1,1,0,0,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
"9353","canopy",86,50,83,49,1.68627450980392,1.93951925261862,0.596089651883643,1.70757017609794,"Noun",86,1,"Noun","86",3.23135339476308,3,3
"9388","canvases",24,17,24,17,0.470588235294118,1.39794000867204,0.202670481640439,1.25527250510331,"Noun",24,1,"Noun","24",2.6897741508165,3,3
"9392","canvasses",4,4,4,4,0.0784313725490196,0.698970004336019,0.0476871721506915,0.698970004336019,"Noun",4,1,"Noun","4",1.99080414648048,3,3
"9415","capes",16,16,14,14,0.313725490196078,1.23044892137827,0.190748688602766,1.23044892137827,"Noun",16,1,"Noun","16",2.52228306352273,1,1
"9434","capitals",27,23,26,23,0.529411764705882,1.44715803134222,0.274201239866476,1.38021124171161,"Noun",27,1,"Noun","27",2.73899217348668,3,3
"9466","caprices",2,2,2,2,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412,3,3
"9472","capsaicin",3,2,3,2,0.0588235294117647,0.602059991327962,0.0238435860753457,0.477121254719662,"Noun",3,1,"Noun","3",1.89389413347242,NA,3
"9532","caravan",74,45,68,42,1.45098039215686,1.8750612633917,0.536480686695279,1.66275783168157,"Noun",74,1,"Noun","74",3.16689540553616,3,3
"9534","caravans",10,7,9,6,0.196078431372549,1.04139268515823,0.0834525512637101,0.903089986991944,"Noun",10,1,"Noun","10",2.33322682730268,3,3
"9535","caravel",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
"9547","carbonate",10,7,10,7,0.196078431372549,1.04139268515823,0.0834525512637101,0.903089986991944,"Noun",10,1,"Noun","10",2.33322682730268,NA,3
"9571","carcasses",24,21,21,20,0.470588235294118,1.39794000867204,0.25035765379113,1.34242268082221,"Noun",24,1,"Noun","24",2.6897741508165,3,3
"9590","cardinals",31,19,6,5,0.607843137254902,1.50514997831991,0.226514067715784,1.30102999566398,"Noun",31,1,"Noun","31",2.79698412046437,3,3
"9610","cards",2449,1353,2381,1319,48.0196078431373,3.38916608436453,16.1301859799714,3.13161866434913,"Noun",2447,1,"Noun","2447",4.68100022650899,1,1
"9635","caresses",7,7,7,7,0.137254901960784,0.903089986991944,0.0834525512637101,0.903089986991944,"Noun",7,1,"Noun","7",2.1949241291364,3,3
"9637","caretaker",125,65,86,59,2.45098039215686,2.10037054511756,0.774916547448736,1.81954393554187,"Noun",127,1,"Noun","127",3.39220468726202,3,3
"9638","caretakers",7,5,7,5,0.137254901960784,0.903089986991944,0.0596089651883643,0.778151250383644,"Noun",8,1,"Noun","8",2.1949241291364,3,3
"9654","caribou",15,14,12,11,0.294117647058824,1.20411998265592,0.16690510252742,1.17609125905568,"Noun",15,1,"Noun","15",2.49595412480038,3,3
"9662","carillon",1,1,0,0,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,3,3
"9671","carjacker",5,4,5,4,0.0980392156862745,0.778151250383644,0.0476871721506915,0.698970004336019,"Noun",5,1,"Noun","5",2.0699853925281,NA,3
"9672","carjackers",3,3,2,2,0.0588235294117647,0.602059991327962,0.0357653791130186,0.602059991327962,"Noun",3,1,"Noun","3",1.89389413347242,NA,3
"9687","carmaker",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
"9688","carmakers",3,1,1,1,0.0588235294117647,0.602059991327962,0.0119217930376729,0.301029995663981,"Noun",3,1,"Noun","3",1.89389413347242,NA,3
"9701","carnation",43,30,37,27,0.843137254901961,1.64345267648619,0.357653791130186,1.49136169383427,"Noun",42,1,"Noun","42",2.93528681863065,3,3
"9702","carnations",22,17,18,13,0.431372549019608,1.36172783601759,0.202670481640439,1.25527250510331,"Noun",22,1,"Noun","22",2.65356197816205,3,3
"9703","carnauba",2,2,1,1,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412,NA,3
"9713","carnivals",19,16,18,16,0.372549019607843,1.30102999566398,0.190748688602766,1.23044892137827,"Noun",19,1,"Noun","19",2.59286413780844,NA,3
"9715","carnivore",19,19,18,18,0.372549019607843,1.30102999566398,0.226514067715784,1.30102999566398,"Noun",19,1,"Noun","19",2.59286413780844,3,3
"9716","carnivores",14,13,13,12,0.274509803921569,1.17609125905568,0.154983309489747,1.14612803567824,"Noun",14,1,"Noun","14",2.46792540120014,3,3
"9736","carotene",7,2,7,2,0.137254901960784,0.903089986991944,0.0238435860753457,0.477121254719662,"Noun",7,1,"Noun","7",2.1949241291364,NA,3
"9752","carpenters",35,30,28,24,0.686274509803922,1.55630250076729,0.357653791130186,1.49136169383427,"Noun",35,1,"Noun","35",2.84813664291175,3,3
"9753","carpentry",23,22,19,19,0.450980392156863,1.38021124171161,0.262279446828803,1.36172783601759,"Noun",22,1,"Noun","22",2.67204538385607,3,3
"9778","carriages",32,28,30,26,0.627450980392157,1.51851393987789,0.33381020505484,1.46239799789896,"Noun",32,1,"Noun","32",2.81034808202235,3,3
"9780","carrier",326,160,282,151,6.3921568627451,2.51454775266029,1.90748688602766,2.20682587603185,"Noun",326,1,"Noun","326",3.80638189480475,2,3
"9781","carriers",128,55,126,55,2.50980392156863,2.11058971029925,0.655698617072008,1.7481880270062,"Noun",128,1,"Noun","128",3.40242385244371,2,3
"9783","carrion",18,17,16,15,0.352941176470588,1.27875360095283,0.202670481640439,1.25527250510331,"Noun",18,1,"Noun","18",2.57058774309729,2,3
"9791","carrozza",3,2,3,2,0.0588235294117647,0.602059991327962,0.0238435860753457,0.477121254719662,"Noun",3,1,"Noun","3",1.89389413347242,NA,3
"9801","cars",2327,1318,2242,1283,45.6274509803922,3.36698297597785,15.7129232236528,3.12024479554637,"Noun",2328,1,"Noun","2328",4.65881711812231,1,1
"9815","cartilage",37,31,36,30,0.725490196078431,1.57978359661681,0.369575584167859,1.50514997831991,"Noun",37,1,"Noun","37",2.87161773876127,3,3
"9831","cartoonist",17,16,17,16,0.333333333333333,1.25527250510331,0.190748688602766,1.23044892137827,"Noun",17,1,"Noun","17",2.54710664724777,3,3
"9836","cartridges",51,40,45,36,1,1.7160033436348,0.476871721506915,1.61278385671974,"Noun",51,1,"Noun","51",3.00783748577926,3,3
"9837","carts",96,69,95,68,1.88235294117647,1.98677173426624,0.822603719599428,1.84509804001426,"Noun",97,1,"Noun","97",3.2786058764107,1,1
"9875","caseloads",3,3,3,3,0.0588235294117647,0.602059991327962,0.0357653791130186,0.602059991327962,"Noun",3,1,"Noun","3",1.89389413347242,NA,3
"9880","caseworker",14,10,14,10,0.274509803921569,1.17609125905568,0.119217930376729,1.04139268515823,"Noun",14,1,"Noun","14",2.46792540120014,3,3
"9899","casinos",155,95,148,92,3.03921568627451,2.19312459835446,1.13257033857892,1.98227123303957,"Noun",155,1,"Noun","155",3.48495874049892,3,3
"9902","cask",6,4,6,4,0.117647058823529,0.845098040014257,0.0476871721506915,0.698970004336019,"Noun",6,1,"Noun","6",2.13693218215872,1,1
"9905","casks",8,5,8,5,0.156862745098039,0.954242509439325,0.0596089651883643,0.778151250383644,"Noun",8,1,"Noun","8",2.24607665158378,NA,1
"9914","casserole",85,64,83,63,1.66666666666667,1.93449845124357,0.762994754411063,1.81291335664286,"Noun",85,1,"Noun","85",3.22633259338803,3,3
"9933","castaways",5,4,2,2,0.0980392156862745,0.778151250383644,0.0476871721506915,0.698970004336019,"Noun",5,1,"Noun","5",2.0699853925281,NA,3
"9934","caste",44,19,35,19,0.862745098039216,1.65321251377534,0.226514067715784,1.30102999566398,"Noun",44,1,"Noun","44",2.9450466559198,1,1
"9953","castration",24,17,17,14,0.470588235294118,1.39794000867204,0.202670481640439,1.25527250510331,"Noun",24,1,"Noun","24",2.6897741508165,3,3
"9960","casuals",4,3,2,2,0.0784313725490196,0.698970004336019,0.0357653791130186,0.602059991327962,"Noun",4,1,"Noun","4",1.99080414648048,NA,3
"9970","catacomb",5,4,3,3,0.0980392156862745,0.778151250383644,0.0476871721506915,0.698970004336019,"Noun",5,1,"Noun","5",2.0699853925281,NA,3
"9971","catacombs",24,18,23,17,0.470588235294118,1.39794000867204,0.214592274678112,1.27875360095283,"Noun",24,1,"Noun","24",2.6897741508165,NA,3
"9978","catalog",149,116,143,111,2.92156862745098,2.17609125905568,1.38292799237005,2.06818586174616,"Noun",149,1,"Noun","149",3.46792540120014,NA,3
"9982","catalogs",30,22,28,21,0.588235294117647,1.49136169383427,0.262279446828803,1.36172783601759,"Noun",30,1,"Noun","30",2.78319583597873,NA,3
"9986","catalogues",29,25,26,23,0.568627450980392,1.47712125471966,0.298044825941822,1.41497334797082,"Noun",29,1,"Noun","29",2.76895539686412,3,3
"9990","catalyst",40,31,40,31,0.784313725490196,1.61278385671974,0.369575584167859,1.50514997831991,"Noun",40,1,"Noun","40",2.9046179988642,3,3
"9991","catalysts",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
"9999","catamount",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
"10001","catapult",31,22,28,20,0.607843137254902,1.50514997831991,0.262279446828803,1.36172783601759,"Noun",31,1,"Noun","31",2.79698412046437,NA,3
"10004","catapults",14,13,12,12,0.274509803921569,1.17609125905568,0.154983309489747,1.14612803567824,"Noun",14,1,"Noun","14",2.46792540120014,NA,3
"10006","cataracts",20,15,17,14,0.392156862745098,1.32221929473392,0.178826895565093,1.20411998265592,"Noun",20,1,"Noun","20",2.61405343687838,3,3
"10052","caterer",106,79,103,79,2.07843137254902,2.02938377768521,0.941821649976156,1.90308998699194,"Noun",106,1,"Noun","106",3.32121791982967,3,3
"10053","caterers",60,50,54,44,1.17647058823529,1.78532983501077,0.596089651883643,1.70757017609794,"Noun",60,1,"Noun","60",3.07716397715523,NA,3
"10066","catharsis",17,12,16,11,0.333333333333333,1.25527250510331,0.143061516452074,1.11394335230684,"Noun",17,1,"Noun","17",2.54710664724777,3,3
"10070","cathedral",190,99,118,72,3.72549019607843,2.28103336724773,1.18025751072961,2,"Noun",190,1,"Noun","190",3.57286750939219,3,3
"10071","cathedrals",18,17,15,14,0.352941176470588,1.27875360095283,0.202670481640439,1.25527250510331,"Noun",18,1,"Noun","18",2.57058774309729,3,3
"10075","catheters",8,8,8,8,0.156862745098039,0.954242509439325,0.0953743443013829,0.954242509439325,"Noun",8,1,"Noun","8",2.24607665158378,NA,3
"10094","cats",1006,539,838,486,19.7254901960784,3.00302947055362,6.42584644730568,2.73239375982297,"Noun",1010,1,"Noun","1010",4.29486361269808,1,1
"10110","caucasians",8,7,0,0,0.156862745098039,0.954242509439325,0.0834525512637101,0.903089986991944,"Noun",8,1,"Noun","8",2.24607665158378,NA,3
"10118","caucuses",2,2,1,1,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412,3,3
"10137","causation",9,8,7,7,0.176470588235294,1,0.0953743443013829,0.954242509439325,"Noun",9,1,"Noun","9",2.29183414214446,3,3
"10168","cavalcade",4,4,2,2,0.0784313725490196,0.698970004336019,0.0476871721506915,0.698970004336019,"Noun",4,1,"Noun","4",1.99080414648048,3,3
"10177","cavalry",317,186,216,156,6.2156862745098,2.50242711998443,2.21745350500715,2.2718416065365,"Noun",317,1,"Noun","317",3.79426126212889,3,3
"10182","caveats",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
"10192","caves",202,116,192,111,3.96078431372549,2.30749603791321,1.38292799237005,2.06818586174616,"Noun",202,1,"Noun","202",3.59933018005767,1,1
"10202","cavities",41,36,38,35,0.803921568627451,1.6232492903979,0.429184549356223,1.56820172406699,"Noun",41,1,"Noun","41",2.91508343254236,3,3
"10203","cavity",152,123,147,120,2.98039215686275,2.1846914308176,1.46638054363376,2.09342168516224,"Noun",152,1,"Noun","152",3.47652557296206,3,3
"10231","ceasefire",15,11,12,8,0.294117647058824,1.20411998265592,0.131139723414402,1.07918124604762,"Noun",15,1,"Noun","15",2.49595412480038,NA,3
"10252","celebrant",3,3,3,3,0.0588235294117647,0.602059991327962,0.0357653791130186,0.602059991327962,"Noun",3,1,"Noun","3",1.89389413347242,NA,3
"10260","celebre",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
