"","Word","FREQcount","CDcount","FREQlow","Cdlow","SUBTLWF","Lg10WF","SUBTLCD","Lg10CD","Dom_PoS_SUBTLEX","Freq_dom_PoS_SUBTLEX","Percentage_dom_PoS","All_PoS_SUBTLEX","All_freqs_SUBTLEX","Zipfvalue","syllables","cmu_syllss"
"1061","affluence",7,6,6,5,0.137254901960784,0.903089986991944,0.0715307582260372,0.845098040014257,"Noun",7,1,"Noun","7",2.1949241291364,2,3
"1073","afghani",6,5,0,0,0.117647058823529,0.845098040014257,0.0596089651883643,0.778151250383644,"Noun",6,1,"Noun","6",2.13693218215872,NA,3
"1074","afghanis",1,1,0,0,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
"1096","africans",54,23,0,0,1.05882352941176,1.74036268949424,0.274201239866476,1.38021124171161,"Noun",54,1,"Noun","54",3.0321968316387,NA,3
"1097","afrikaans",3,1,0,0,0.0588235294117647,0.602059991327962,0.0119217930376729,0.301029995663981,"Noun",3,1,"Noun","3",1.89389413347242,NA,3
"1112","afterlife",81,62,79,61,1.58823529411765,1.91381385238372,0.739151168335718,1.79934054945358,"Noun",82,1,"Noun","82",3.20564799452818,3,3
"1115","aftermath",53,51,51,49,1.03921568627451,1.73239375982297,0.608011444921316,1.7160033436348,"Noun",53,1,"Noun","53",3.02422790196743,3,3
"1116","aftermaths",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
"1118","afternoon",4666,2597,4410,2505,91.4901960784314,3.66903780088516,30.9608965188364,3.41463914673701,"Noun",4660,1,"Noun","4660",4.96087194302962,3,3
"1119","afternoons",101,90,99,88,1.98039215686275,2.00860017176192,1.07296137339056,1.95904139232109,"Noun",101,1,"Noun","101",3.30043431390638,3,3
"1126","aftertaste",11,9,11,9,0.215686274509804,1.07918124604762,0.107296137339056,1,"Noun",11,1,"Noun","11",2.37101538819208,NA,3
"1155","agencies",164,134,161,132,3.2156862745098,2.21748394421391,1.59752026704816,2.13033376849501,"Noun",164,1,"Noun","164",3.50931808635837,3,3
"1156","agency",991,588,773,482,19.4313725490196,2.99651167215418,7.01001430615165,2.7701152947871,"Noun",988,1,"Noun","988",4.28834581429864,3,3
"1158","agendas",21,20,19,18,0.411764705882353,1.34242268082221,0.238435860753457,1.32221929473392,"Noun",21,1,"Noun","21",2.63425682296667,3,3
"1183","aggression",143,109,134,105,2.80392156862745,2.15836249209525,1.29947544110634,2.04139268515822,"Noun",143,1,"Noun","143",3.45019663423971,3,3
