Word|s	FREQcount|f	CDcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	syllables|f
bite	2080	1500	1829	1359	40.78	3.3183	17.88	3.1764	Verb	1210.0	0.58	Verb.Noun	1210.869	4.610106222	1
bit	549	379	504	358	10.76	2.7404	4.52	2.5798	Noun	548.0	1.0	Noun.Verb	548.2	4.032196832	1
bitter	568	456	533	435	11.14	2.7551	5.44	2.6599	Adjective	560.0	0.98	Adjective.Noun	560.9	4.046946409	2
blade	663	392	469	362	13.0	2.8222	4.67	2.5944	Noun	639.0	1.0	Noun.Name	639.2	4.114002222	1
blah	686	197	576	184	13.45	2.837	2.35	2.2967	Interjection	691.0	1.0	Interjection	691	4.128790879	1
blame	2998	2105	2883	2065	58.78	3.477	25.1	3.3235	Verb	2666.0	0.89	Verb.Noun.Name	2666.334.1	4.768810608	1
blanket	662	480	644	476	12.98	2.8215	5.72	2.6821	Noun	650.0	0.98	Noun.Verb	650.12	4.113347671	2
blast	825	598	661	513	16.18	2.917	7.13	2.7774	Noun	455.0	0.55	Noun.Verb	455.369	4.208814189	1
bleed	515	398	493	387	10.1	2.7126	4.74	2.601	Verb	514.0	1.0	Verb	514	4.004483844	1
bleeding	1516	1006	1461	986	29.73	3.181	11.99	3.003	Verb	777.0	0.51	Verb.Adjective.Adverb	777.591.149	4.472819723	2
bless	1788	1115	1207	813	35.06	3.2526	13.29	3.0477	Verb	1782.0	1.0	Verb	1782	4.544444483	1
blessed	704	477	471	382	13.8	2.8482	5.69	2.6794	Adjective	429.0	0.61	Adjective.Verb	429.275	4.140023259	1
blew	1610	1224	1550	1194	31.57	3.2071	14.59	3.0881	Verb	1611.0	1.0	Verb	1611	4.498929683	1
block	2067	1318	1808	1252	40.53	3.3156	15.71	3.1202	Noun	1651.0	0.8	Noun.Verb.Name	1651.382.30	4.607384677	1
block	765	608	755	600	15.0	2.8842	7.25	2.7846	Noun	721.0	0.95	Noun.Verb	721.38	4.176062912	1
blond	533	373	493	348	10.45	2.7275	4.45	2.5729	Adjective	500.0	0.94	Adjective.Noun.Name	500.32.1	4.019375399	1
blonde	710	451	620	411	13.92	2.8519	5.38	2.6551	Adjective	645.0	0.91	Adjective.Noun	645.63	4.143703743	1
bloody	1962	899	1577	781	38.47	3.2929	10.72	2.9542	Adjective	1428.0	0.73	Adjective.Adverb.Noun	1428.530.1	4.584754442	2
blowing	921	748	862	703	18.06	2.9647	8.92	2.8745	Verb	910.0	0.99	Verb.Noun	910.12	4.256565063	2
blown	811	677	785	660	15.9	2.9096	8.07	2.8312	Verb	772.0	0.95	Verb.Adjective	772.39	4.201390171	1
blue	523	320	431	281	10.25	2.7193	3.81	2.5065	Noun	520.0	0.99	Noun.Verb.Name	520.2.1	4.011165429	1
board	3272	1682	2920	1575	64.16	3.5149	20.05	3.2261	Noun	2372.0	0.73	Noun.Adverb.Verb.Preposition	2372.641.219.32	4.806780147	1
boarding	564	378	531	366	11.06	2.752	4.51	2.5786	Noun	344.0	0.61	Noun.Verb	344.220	4.04388259	2
boat	4885	1457	4750	1426	95.78	3.689	17.37	3.1638	Noun	4885.0	1.0	Noun.Verb	4885.4	4.980787605	1
boat	599	338	544	319	11.75	2.7782	4.03	2.5302	Noun	595.0	0.99	Noun.Name.Verb	595.4.1	4.069985393	1
body	1694	1103	1644	1077	33.22	3.2292	13.15	3.043	Noun	1688.0	1.0	Noun	1688	4.521003845	2
bone	1329	855	1221	819	26.06	3.1239	10.19	2.9325	Noun	1288.0	0.97	Noun.Verb.Name	1288.25.14	4.415685783	1
bone	1561	809	1135	755	30.61	3.1937	9.64	2.9085	Noun	1545.0	0.99	Noun.Name	1545.15	4.485515172	1
boo	596	302	162	99	11.69	2.776	3.6	2.4814	Interjection	476.0	0.8	Interjection.Noun.Verb	476.77.40	4.067808473	1
booked	531	428	508	414	10.41	2.7259	5.1	2.6325	Verb	483.0	0.91	Verb.Adjective	483.47	4.017745774	1
book	3456	1783	3280	1743	67.76	3.5387	21.26	3.2514	Noun	3444.0	1.0	Noun.Verb	3444.13	4.830533522	1
boot	568	374	484	350	11.14	2.7551	4.46	2.574	Noun	382.0	0.67	Noun.Verb.Name	382.163.24	4.046946409	1
booth	1039	419	567	355	20.37	3.017	5.0	2.6232	Noun	679.0	0.66	Noun.Name	679.357	4.308867481	1
boot	977	598	905	571	19.16	2.9903	7.13	2.7774	Noun	913.0	0.93	Noun.Name.Verb	913.62.2	4.282172997	1
booze	558	423	515	398	10.94	2.7474	5.04	2.6274	Noun	550.0	0.99	Noun.Verb.Name	550.7.1	4.03924595	1
border	876	462	842	450	17.18	2.943	5.51	2.6656	Noun	861.0	0.99	Noun.Verb	861.13	4.234833736	2
bored	1029	785	990	773	20.18	3.0128	9.36	2.8954	Adjective	838.0	0.81	Adjective.Verb.Noun	838.190.1	4.304671367	1
boring	1398	1012	1277	953	27.41	3.1458	12.06	3.0056	Adjective	1303.0	0.93	Adjective.Verb	1303.97	4.437651857	2
born	4268	2565	4014	2451	83.69	3.6303	30.58	3.4093	Verb	4079.0	0.96	Verb.Adjective	4079.182	4.922160297	1
borrow	1495	1145	1445	1120	29.31	3.1749	13.65	3.0592	Verb	1496.0	1.0	Verb	1496	4.466765736	2
borrowed	519	425	490	409	10.18	2.716	5.07	2.6294	Verb	487.0	0.94	Verb.Adjective	487.32	4.007837486	2
bother	3436	2383	3399	2370	67.37	3.5362	28.41	3.3773	Verb	3307.0	0.96	Verb.Noun	3307.126	4.828013674	2
bothered	531	473	523	471	10.41	2.7259	5.64	2.6758	Verb	502.0	0.95	Verb.Adjective	502.29	4.017745774	2
bottle	2588	1561	2510	1537	50.75	3.4131	18.61	3.1937	Noun	2519.0	0.97	Noun.Verb	2519.68	4.704966193	2
bottle	682	459	668	453	13.37	2.8344	5.47	2.6628	Noun	678.0	1.0	Noun.Verb	678.2	4.126254846	2
bottom	2546	1778	2329	1654	49.92	3.406	21.2	3.2502	Noun	1924.0	0.76	Noun.Adjective.Verb.Name	1924.579.40.2	4.697863087	2
bought	4362	2687	4270	2648	85.53	3.6398	32.03	3.4294	Verb	4357.0	1.0	Verb	4357	4.931619355	1
bound	940	738	891	705	18.43	2.9736	8.8	2.8686	Verb	897.0	0.95	Verb.Noun.Adjective	897.27.16	4.265423766	1
bout	974	596	930	575	19.1	2.989	7.11	2.776	Noun	967.0	1.0	Noun	967	4.280838758	1
bow	1034	609	857	552	20.27	3.0149	7.26	2.7853	Noun	598.0	0.58	Noun.Verb.Name	598.348.81	4.306774492	1
bowl	1094	682	817	563	21.45	3.0394	8.13	2.8344	Noun	977.0	0.89	Noun.Verb.Name	977.116.1	4.331248261	1
bowling	545	274	491	252	10.69	2.7372	3.27	2.4393	Noun	508.0	0.93	Noun.Verb	508.37	4.029026785	2
box	4577	2353	4355	2296	89.75	3.6607	28.05	3.3718	Noun	4388.0	0.96	Noun.Verb.Name	4388.181.6	4.95250993	1
box	800	557	774	545	15.69	2.9036	6.64	2.7466	Noun	783.0	0.98	Noun.Verb	783.16	4.195466658	2
boyfriend	3684	1829	3583	1810	72.24	3.5664	21.8	3.2625	Noun	3679.0	1.0	Noun.Name	3679.1	4.858271634	2
brain	3928	1994	3710	1950	77.02	3.5943	23.77	3.2999	Noun	3887.0	0.99	Noun.Verb.Name	3887.34.3	4.886116171	1
brain	1401	1028	1335	1003	27.47	3.1467	12.26	3.0124	Noun	1395.0	1.0	Noun.Verb.Name	1395.2.1	4.438582156	1
branch	514	374	435	340	10.08	2.7118	4.46	2.574	Noun	477.0	0.93	Noun.Verb.Name	477.24.13	4.003641371	1
brand	712	499	587	458	13.96	2.8531	5.95	2.699	Noun	357.0	0.5	Noun.Adjective.Verb.Name	357.253.51.51	4.144923672	1
brandy	567	287	383	237	11.12	2.7543	3.42	2.4594	Noun	563.0	1.0	Noun	563	4.046182478	2
brass	618	385	364	292	12.12	2.7917	4.59	2.5866	Noun	597.0	0.97	Noun.Name	597.19	4.083524791	1
brave	1617	1111	1511	1052	31.71	3.209	13.25	3.0461	Adjective	1497.0	0.93	Adjective.Verb.Noun	1497.84.33	4.500812659	1
bravo	970	527	81	68	19.02	2.9872	6.28	2.7226	Interjection	826.0	0.86	Interjection.Noun.Name	826.130.6	4.279053372	2
bread	1445	902	1341	863	28.33	3.1602	10.75	2.9557	Noun	1441.0	1.0	Noun.Verb	1441.3	4.452002435	1
breakfast	3381	1966	3025	1846	66.29	3.5292	23.44	3.2938	Noun	3190.0	0.95	Noun.Verb.Name	3190.183.1	4.821007745	2
breaking	2155	1608	2008	1521	42.25	3.3336	19.17	3.2066	Verb	2047.0	0.95	Verb.Noun.Name	2047.104.2	4.625482899	2
break	960	809	924	781	18.82	2.9827	9.64	2.9085	Verb	662.0	0.69	Verb.Noun	662.301	4.27455753	1
breath	2291	1603	2232	1574	44.92	3.3602	19.11	3.2052	Noun	2231.0	0.97	Noun.Verb	2231.59	4.652048755	1
