,Word,Unnamed,FREQcount,CDcount,FREQlow,Cdlow,SUBLTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Zipfvalue,CMUSylls
29,academies,300,7,7,7,7,0.137254901960784,0.9030899869919442,0.0834525512637101,0.9030899869919442,Noun,7,1.0,Noun,7,2.1949241291364,4
30,accelerant,310,28,13,25,13,0.549019607843137,1.4623979978989599,0.15498330948974698,1.14612803567824,Noun,28,1.0,Noun,28,2.75423214004342,4
31,accent,318,621,447,595,438,12.176470588235302,2.79379038469082,5.32904148783977,2.65127801399814,Noun,609,0.9806763285024149,Noun.Verb,609.12,4.08562452683528,2
32,acceptance,327,161,140,150,134,3.15686274509804,2.20951501454263,1.6690510252742,2.1492191126553797,Noun,162,1.0,Noun,162,3.50134915668709,3
33,access,333,1615,923,1483,879,31.6666666666667,3.20844135643857,11.0038149737721,2.96567197122011,Noun,1318,0.823235477826359,Noun.Verb,1318.283,4.50027549858303,2
34,accession,339,6,3,6,3,0.11764705882352902,0.8450980400142571,0.0357653791130186,0.6020599913279621,Noun,6,1.0,Noun,6,2.13693218215872,3
35,accessory,345,147,125,141,122,2.88235294117647,2.17026171539496,1.49022412970911,2.10037054511756,Noun,110,0.748299319727891,Noun.Adjective,110.37,3.46209585753942,4
36,acclaim,352,22,19,22,19,0.431372549019608,1.3617278360175902,0.226514067715784,1.30102999566398,Noun,21,0.954545454545455,Noun.Verb,21.1,2.65356197816205,2
37,accolades,364,9,9,9,9,0.17647058823529396,1.0,0.107296137339056,1.0,Noun,9,1.0,Noun,9,2.29183414214446,3
38,accompli,381,8,8,8,8,0.156862745098039,0.9542425094393249,0.0953743443013829,0.9542425094393249,Noun,8,1.0,Noun,8,2.24607665158378,3
39,accordion,396,67,46,63,44,1.31372549019608,1.8325089127062402,0.5484024797329521,1.6720978579357202,Noun,66,1.0,Noun,66,3.1243430548507,4
