"numid.f" "X.f" "Word.s" "Unnamed.f" "FREQcount.f" "Cdcount.f" "FREQlow.f" "Cdlow.f" "SUBLTLWF.f" "Lg10WF.f" "SUBTLCD.f" "Lg10CD.f" "Dom_PoS_SUBTLEX.s" "Freq_dom_PoS_SUBTLEX.f" "Percentage_dom_PoS.f" "Zipfvalue.f" "cmu_sylls.f" "BF_TP.f" "LEN_L.f" "N.f" "Zipfvalue_incl.f" "Zipfvalue_cat.s"
"306" 3331 3330 "clerk" 11897 658 405 558 367 12.90196078 2.818885415 4.82832618 2.608526034 "Noun" 651 0.992378049 4.110719557 1 26.25 5 0 1 "high"
"313" 3388 3387 "clothes" 12069 5158 2790 5060 2761 101.1372549 3.712565528 33.26180258 3.445759836 "Noun" 5141 0.996704149 5.00439967 1 139 7 2 1 "high"
"317" 3411 3410 "clue" 12132 898 694 879 683 17.60784314 2.953759692 8.273724368 2.841984805 "Noun" 880 0.982142857 4.245593834 1 11.33 4 4 1 "high"
"319" 3424 3423 "coach" 12175 2429 599 1399 513 47.62745098 3.385606274 7.14115403 2.77815125 "Noun" 1496 0.617671346 4.677440416 1 47 5 4 1 "high"
"320" 3431 3430 "coast" 12204 1361 795 771 526 26.68627451 3.134177108 9.477825465 2.900913068 "Noun" 1355 0.997056659 4.42601125 1 41.5 5 3 1 "high"
"323" 3475 3474 "code" 12330 2709 1311 2264 1142 53.11764706 3.432969291 15.62947067 3.117933835 "Noun" 2533 0.935722202 4.724803433 1 24.33 4 11 1 "high"
"330" 3569 3568 "coloring" 12644 92 76 88 73 1.803921569 1.968482949 0.906056271 1.886490725 "Noun" 70 0.760869565 3.260317091 3 307.57 8 0 1 "low"
"332" 3612 3611 "commandant" 12774 131 50 65 34 2.568627451 2.120573931 0.596089652 1.707570176 "Noun" 131 1 3.412408073 3 65.22 10 0 1 "low"
"348" 3697 3696 "con" 13162 644 387 521 331 12.62745098 2.809559715 4.613733906 2.588831726 "Noun" 413 0.651419558 4.101393857 1 10 3 19 1 "high"
"350" 3711 3710 "concierge" 13228 73 50 66 48 1.431372549 1.86923172 0.596089652 1.707570176 "Noun" 73 1 3.161065862 3 67.88 9 0 1 "low"
"358" 3756 3755 "confusion" 13459 363 314 346 299 7.117647059 2.561101384 3.743443014 2.498310554 "Noun" 362 0.997245179 3.852935526 3 102.88 9 0 1 "high"
"372" 3872 3871 "cop" 14171 4393 1467 4131 1408 86.1372549 3.642860053 17.48927039 3.166726056 "Noun" 3914 0.892791971 4.934694195 1 11 3 22 1 "high"
"373" 3892 3891 "cord" 14253 358 264 340 256 7.019607843 2.555094449 3.147353362 2.423245874 "Noun" 345 0.974576271 3.846928591 1 30.33 4 10 1 "high"
"374" 3899 3898 "core" 14278 501 287 461 277 9.823529412 2.700703717 3.421554602 2.459392488 "Noun" 501 1 3.992537859 1 38 4 21 1 "high"
"376" 3929 3928 "coroner" 14366 458 321 377 276 8.980392157 2.661812686 3.826895565 2.507855872 "Noun" 457 0.997816594 3.953646828 3 125.67 7 1 1 "high"
"377" 3936 3935 "corpse" 14379 515 375 499 368 10.09803922 2.712649702 4.470672389 2.575187845 "Noun" 517 1 4.004483844 1 50.6 6 0 1 "high"
"382" 3983 3982 "couch" 14555 1197 792 1171 776 23.47058824 3.078456818 9.442060086 2.899273187 "Noun" 1184 0.993288591 4.37029096 1 48 5 6 1 "high"
"384" 3990 3989 "councilman" 14586 72 35 44 26 1.411764706 1.86332286 0.417262756 1.556302501 "Noun" 53 0.736111111 3.155157002 3 46.44 10 0 1 "low"
"386" 4026 4025 "courier" 14718 168 98 138 85 3.294117647 2.227886705 1.168335718 1.995635195 "Noun" 155 0.922619048 3.519720847 3 147 7 0 1 "low"
"387" 4029 4028 "court" 14725 5137 1839 4464 1693 100.7254902 3.7107941 21.9241774 3.264817823 "Noun" 5089 0.990463215 5.002628242 1 38.5 5 1 1 "high"
"393" 4072 4071 "coworkers" 14818 73 64 70 62 1.431372549 1.86923172 0.762994754 1.812913357 "Noun" 73 1 3.161065862 3 75.88 9 0 1 "low"
"395" 4079 4078 "crack" 14873 1675 1192 1556 1147 32.84313725 3.224274014 14.2107773 3.076640444 "Noun" 881 0.526598924 4.516108156 1 52 5 6 1 "high"
"396" 4091 4090 "craft" 14903 289 206 279 198 5.666666667 2.462397998 2.455889366 2.315970345 "Noun" 279 0.965397924 3.75423214 1 37.75 5 3 1 "high"
"399" 4106 4105 "crap" 14959 3151 1996 2970 1934 61.78431373 3.498586209 23.7958989 3.300378065 "Noun" 3060 0.972972973 4.790420351 1 16.67 4 8 1 "high"
"402" 4122 4121 "cream" 15040 2484 1345 2262 1271 48.70588235 3.395326393 16.03481164 3.12904506 "Noun" 2434 0.982640291 4.687160535 1 37.5 5 3 1 "high"
"406" 4146 4145 "creek" 15099 454 241 192 136 8.901960784 2.658011397 2.873152122 2.383815366 "Noun" 448 0.991150442 3.949845539 1 35 5 5 1 "high"
"409" 4168 4167 "crew" 15166 2424 1036 2156 931 47.52941176 3.384711743 12.35097759 3.015778756 "Noun" 2175 0.925531915 4.676545885 1 12.67 4 5 1 "high"
"411" 4179 4178 "crime" 15190 3633 1782 3328 1720 71.23529412 3.560384923 21.24463519 3.251151343 "Noun" 3640 0.99972535 4.852219065 1 37.5 5 4 1 "high"
"416" 4239 4238 "crow" 15409 227 132 156 107 4.450980392 2.357934847 1.573676681 2.123851641 "Noun" 150 0.678733032 3.649768989 1 13 4 6 1 "low"
"417" 4241 4240 "crowd" 15414 1906 1230 1671 1146 37.37254902 3.280350693 14.66380544 3.090258053 "Noun" 1798 0.945320715 4.572184835 1 36.25 5 2 1 "high"
"421" 4268 4267 "crush" 15514 857 625 772 581 16.80392157 2.933487288 7.451120649 2.796574333 "Noun" 497 0.579254079 4.22532143 1 31.5 5 3 1 "high"
"435" 4432 4431 "dad" 16036 25870 4351 9451 2954 507.254902 4.412813216 51.87172151 3.638688887 "Noun" 25728 0.998874092 5.704647358 1 7.5 3 15 1 "high"
