orderID,run,list,numID,cond,file_num,Word,Zipfvalue,cmu_sylls,BF_TP,LEN_L,reason_for_change,cond_code,trigger_code,len,corr_resp,fix_code,word_code,delay_code,audioresp_code,jittered_ISI,total_time,OLD_file_num
1060,run2,6,18134,high3,list6_18134_tragedy_high3,tragedy,4.1516,3,47.67,7,negative connotation,2,20,1,2,21,22,23,24,3200,11200,list6_18134_tragedy_high3
1061,run2,6,5776,low3,list6_5776_encryption_low3,encryption,3.2161,3,107.22,10,,4,40,1,2,41,42,43,44,3350,11350,list6_5776_encryption_low3
1062,run2,6,6550,high3,list6_6550_fireplace_high3,fireplace,3.7068,3,36.63,9,,2,20,1,2,21,22,23,24,3450,11450,list6_6550_fireplace_high3
1063,run2,6,8183,high1,list6_8183_guide_high1,guide,4.251352519,1,20.5,5,inappropriate,1,10,1,2,11,12,13,14,3400,11400,list6_8183_heck_high1
1064,run2,6,1225,low3,list6_1225_baroness_low3,baroness,3.4222,3,104,8,,4,40,1,2,41,42,43,44,3300,11300,list6_1225_baroness_low3
1065,run2,6,19505,high1,list6_19505_yacht_high1,yacht,3.9151,1,12,5,,1,10,1,2,11,12,13,14,3300,11300,list6_19505_yacht_high1
1066,run2,6,686,high3,list6_686_argument_high3,argument,4.2304,3,40,8,,2,20,1,2,21,22,23,24,3250,11250,list6_686_argument_high3
1067,run2,6,9738,low1,list6_9738_latch_low1,latch,3.2875,1,42.25,5,,3,30,1,2,31,32,33,34,3200,11200,list6_9738_latch_low1
1068,run2,6,4172,high1,list6_4172_crib_high1,crib,3.7929,1,9.33,4,this is a practice word,1,10,1,2,11,12,13,14,3350,11350,list6_4172_crib_high1
1069,run2,6,4739,high3,list6_4739_departure_high3,departure,3.7327,3,50.63,9,,2,20,1,2,21,22,23,24,3400,11400,list6_4739_departure_high3
1070,run2,6,3786,low3,list6_3786_constable_low3,constable,3.4532,3,87.75,9,,4,40,1,2,41,42,43,44,3300,11300,list6_3786_constable_low3
1071,run2,6,17535,high1,list6_17535_task_high1,task,4.1047,1,23,4,,1,10,1,2,11,12,13,14,3400,11400,list6_17535_task_high1
1072,run2,6,18379,high1,list6_18379_tune_high1,tune,4.1933,1,24,4,,1,10,1,2,11,12,13,14,3500,11500,list6_18379_tune_high1
1073,run2,6,17018,low1,list6_17018_stripe_low1,stripe,3.1669,1,47.2,6,,3,30,1,2,31,32,33,34,3350,11350,list6_17018_stripe_low1
1074,run2,6,14294,high1,list6_14294_rate_high1,rate,4.3963,1,26.67,4,,1,10,1,2,11,12,13,14,3400,11400,list6_14294_rate_high1
1075,run2,6,17869,low1,list6_17869_tights_low1,tights,3.4254,1,48.6,6,,3,30,1,2,31,32,33,34,3250,11250,list6_17869_tights_low1
1076,run2,6,8209,low1,list6_8209_heist_low1,heist,3.4987,1,24.25,5,,3,30,1,2,31,32,33,34,3200,11200,list6_8209_heist_low1
1077,run2,6,9815,high3,list6_9815_leadership_high3,leadership,3.6898,3,32.33,10,,2,20,1,2,21,22,23,24,3450,11450,list6_9815_leadership_high3
1078,run2,6,5954,high3,list6_5954_estimate_high3,estimate,3.6792,3,44.57,8,,2,20,1,2,21,22,23,24,3200,11200,list6_5954_estimate_high3
1079,run2,6,19286,high1,list6_19286_wig_high1,wig,3.9223,1,5.5,3,,1,10,1,2,11,12,13,14,3500,11500,list6_19286_wig_high1
1080,run2,6,6732,low1,list6_6732_fluff_low1,fluff,3.1552,1,24.75,5,,3,30,1,2,31,32,33,34,3400,11400,list6_6732_fluff_low1
1081,run3,6,8455,high3,list6_8455_honesty_high3,honesty,3.8589,3,44,7,,2,20,1,2,21,22,23,24,3450,11450,list6_8455_honesty_high3
1082,run3,6,13724,high3,list6_13724_probation_high3,probation,3.769,3,122.38,9,negative connotation,2,20,1,2,21,22,23,24,3350,11350,list6_13724_probation_high3
1083,run3,6,10322,low1,list6_10322_lug_low1,lug,3.4157,1,5.5,3,,3,30,1,2,31,32,33,34,3350,11350,list6_10322_lug_low1
1084,run3,6,13754,high3,list6_13754_profession_high3,profession,3.9565,3,107.33,10,,2,20,1,2,21,22,23,24,3450,11450,list6_13754_profession_high3
1085,run3,6,1743,low3,list6_1743_blueberry_low3,blueberry,3.4124,3,33.25,9,,4,40,1,2,41,42,43,44,3200,11200,list6_1743_blueberry_low3
1086,run3,6,4144,low1,list6_4144_creed_low1,creed,3.4058,1,80.75,5,,3,30,1,2,31,32,33,34,3300,11300,list6_4144_creed_low1
1087,run3,6,8810,high3,list6_8810_importance_high3,importance,3.884,3,49.56,10,,2,20,1,2,21,22,23,24,3200,11200,list6_8810_importance_high3
1088,run3,6,15082,low1,list6_15082_rump_low1,rump,3.1552,1,16.33,4,,3,30,1,2,31,32,33,34,3500,11500,list6_15082_rump_low1
1089,run3,6,5364,high1,list6_5364_drift_high1,drift,3.8077,1,31.75,5,,1,10,1,2,11,12,13,14,3200,11200,list6_5364_drift_high1
1090,run3,6,4257,low1,list6_4257_crumb_low1,crumb,3.2603,1,25,5,,3,30,1,2,31,32,33,34,3300,11300,list6_4257_crumb_low1
1091,run3,6,6660,low1,list6_6660_flaw_low1,flaw,3.485,1,16,4,,3,30,1,2,31,32,33,34,3350,11350,list6_6660_flaw_low1
1092,run3,6,16681,low1,list6_16681_squid_low1,squid,3.4441,1,9.25,5,,3,30,1,2,31,32,33,34,3350,11350,list6_16681_squid_low1
1093,run3,6,17664,low3,list6_17664_tenderness_low3,tenderness,3.4058,3,57.89,10,,4,40,1,2,41,42,43,44,3350,11350,list6_17664_tenderness_low3
1094,run3,6,18859,low3,list6_18859_vinegar_low3,vinegar,3.2314,3,28.83,7,,4,40,1,2,41,42,43,44,3250,11250,list6_18859_vinegar_low3
1095,run3,6,11643,low3,list6_11643_catalogue_low3,catalogue,3.32926064,3,30.88,9,2 syllable word,4,40,1,2,41,42,43,44,3250,11250,list6_11643_nausea_low3
1096,run3,6,7089,high1,list6_7089_fuse_high1,fuse,3.688,1,18.67,4,,1,10,1,2,11,12,13,14,3250,11250,list6_7089_fuse_high1
1097,run3,6,4060,low3,list6_4060_cowardice_low3,cowardice,3.2556,3,59.63,9,,4,40,1,2,41,42,43,44,3200,11200,list6_4060_cowardice_low3
1098,run3,6,8344,high1,list6_8344_hint_high1,hint,3.9639,1,30.33,4,,1,10,1,2,11,12,13,14,3450,11450,list6_8344_hint_high1
1099,run3,6,3795,low3,list6_3795_consultant_low3,consultant,3.566,3,71.67,10,,4,40,1,2,41,42,43,44,3350,11350,list6_3795_consultant_low3
1100,run3,6,12133,high3,list6_12133_opinion_high3,opinion,4.6229,3,53,7,,2,20,1,2,21,22,23,24,3200,11200,list6_12133_opinion_high3
1101,run3,6,8913,high3,list6_8913_infection_high3,infection,3.9421,3,121.75,9,,2,20,1,2,21,22,23,24,3500,11500,list6_8913_infection_high3
1102,run3,6,4204,low3,list6_4204_crocodile_low3,crocodile,3.3563,3,46.75,9,,4,40,1,2,41,42,43,44,3400,11400,list6_4204_crocodile_low3
1103,run3,6,3502,high1,list6_3502_coin_high1,coin,3.9891,1,23,4,,1,10,1,2,11,12,13,14,3400,11400,list6_3502_coin_high1
1104,run3,6,10520,high3,list6_10520_manager_high3,manager,4.6013,3,107.83,7,,2,20,1,2,21,22,23,24,3450,11450,list6_10520_manager_high3
1105,run3,6,677,low3,list6_677_arena_low3,arena,3.5613,3,21.5,5,,4,40,1,2,41,42,43,44,3300,11300,list6_677_arena_low3
1106,run3,6,2283,low3,list6_2283_bulletin_low3,bulletin,3.5567,3,40.71,8,,4,40,1,2,41,42,43,44,3500,11500,list6_2283_bulletin_low3
1107,run3,6,15739,high1,list6_15739_shade_high1,shade,3.7761,1,35.25,5,,1,10,1,2,11,12,13,14,3450,11450,list6_15739_shade_high1
1108,run3,6,18723,low1,list6_18723_veil_low1,veil,3.4737,1,11.67,4,,3,30,1,2,31,32,33,34,3250,11250,list6_18723_veil_low1
1109,run3,6,2704,low3,list6_2704_caretaker_low3,caretaker,3.3922,3,60.25,9,possibly negative connotation,4,40,1,2,41,42,43,44,3500,11500,list6_2704_caretaker_low3
