word|s	KFfrequency|f	letters|f	phonemes|f	syllables|f	familiarity|f	concreteness|f	imagery|f	AoA|f	PoS|s
borer-N	1	5	4	2	0	0	0	0	N
bore-V	24	4	2	1	543	344	404	0	V
boring-J	5	6	5	2	590	0	390	0	J
boring-V	5	6	5	2	590	0	390	0	V
borne-J	8	5	3	1	380	324	346	0	J
borne-N	8	5	3	1	380	324	346	0	N
borne-V	8	5	3	1	380	324	346	0	V
born-J	113	4	3	1	566	336	435	0	J
born-V	113	4	3	1	566	336	435	0	V
boron-N	1	5	5	2	0	0	0	0	N
borough-N	5	7	4	2	0	0	0	0	N
borrowed-V	14	8	5	3	0	0	0	0	V
borrower-N	2	8	5	3	0	0	0	0	N
borrowing-V	8	9	6	3	0	0	0	0	V
borrow-N	9	6	4	2	0	0	0	0	N
borrow-V	9	6	4	2	0	0	0	0	V
bosom-J	8	5	5	2	425	552	593	489	J
bosom-N	8	5	5	2	425	552	593	489	N
bosom-V	8	5	5	2	425	552	593	489	V
bossed-V	1	6	4	2	0	0	0	0	V
boss-J	20	4	3	1	574	552	554	0	J
boss-N	20	4	3	1	574	552	554	0	N
boss-V	20	4	3	1	574	552	554	0	V
bostonian-J	1	9	9	3	0	0	0	0	J
botanical-J	1	9	9	4	0	0	0	0	J
botany-N	3	6	6	3	459	444	410	0	N
both-A	730	4	3	1	598	322	298	0	A
both-C	730	4	3	1	598	322	298	0	C
bother-N	22	6	4	2	583	267	369	322	N
bothersome-J	1	10	7	3	0	0	0	0	J
bother-V	22	6	4	2	583	267	369	322	V
both-J	730	4	3	1	598	322	298	0	J
both-N	730	4	3	1	598	322	298	0	N
both-U	730	4	3	1	598	322	298	0	U
bottled-V	3	7	5	2	0	0	0	0	V
bottle-J	76	6	4	1	591	591	619	0	J
bottle-N	76	6	4	2	591	591	619	0	N
bottleneck-N	2	10	7	3	0	0	0	0	N
bottle-V	76	6	4	2	591	591	619	0	V
bottom-N	88	6	5	2	587	0	436	0	N
bottom-V	88	6	5	2	587	0	436	0	V
bouffe-J	1	6	3	1	0	0	0	0	J
bough-N	2	5	2	1	0	0	0	0	N
bought-N	56	6	3	1	0	0	0	0	N
bought-V	56	6	3	1	0	0	0	0	V
bough-V	2	5	2	1	0	0	0	0	V
bougie-N	1	6	4	2	0	0	0	0	N
boulder-J	10	7	6	2	495	597	614	0	J
boulder-N	10	7	5	2	495	597	614	0	N
boulevard-N	11	9	5	2	0	0	0	0	N
bounce-A	8	6	4	1	0	0	0	0	A
bounce-N	8	6	4	1	0	0	0	0	N
bounce-V	8	6	4	1	0	0	0	0	V
bouncing-J	9	8	6	2	0	0	0	0	J
bouncing-V	9	8	6	2	0	0	0	0	V
boundary-N	16	8	7	3	481	411	435	472	N
bounded-J	9	7	6	2	0	0	0	0	J
bounded-V	9	7	6	2	0	0	0	0	V
bounding-V	2	8	6	2	0	0	0	0	V
bound-J	42	5	4	1	0	0	0	0	J
boundless-J	2	9	7	2	0	0	0	0	J
bound-N	42	5	4	1	0	0	0	0	N
bound-V	42	5	4	1	0	0	0	0	V
bounty-N	3	6	5	2	0	0	0	0	N
bouquet-N	4	7	4	2	473	566	599	0	N
bourbon-J	8	7	5	2	531	570	606	0	J
bourbon-N	8	7	5	2	531	570	606	0	N
bourgeois-J	3	9	5	2	0	0	0	0	J
bourgeois-J	3	9	5	2	0	0	0	0	J
bourgeois-N	3	9	5	2	0	0	0	0	N
bourgeois-N	3	9	5	2	0	0	0	0	N
bout-A	7	4	3	1	0	0	0	0	A
bout-J	7	4	3	1	0	0	0	0	J
bout-N	7	4	3	1	0	0	0	0	N
bout-R	7	4	3	1	0	0	0	0	R
bovine-J	2	6	5	2	0	0	0	0	J
bower-N	1	5	4	2	0	0	0	0	N
bower-V	1	5	4	2	0	0	0	0	V
bowing-N	3	6	4	2	0	0	0	0	N
bowing-V	3	6	4	2	0	0	0	0	V
bowing-V	3	6	4	2	0	0	0	0	V
bow-J	15	3	2	1	489	572	546	271	J
bowl-N	23	4	3	1	557	575	579	256	N
bowl-V	23	4	3	1	557	575	579	256	V
bowman-N	3	6	5	2	0	0	0	0	N
bow-N	15	3	2	1	489	572	546	271	N
bow-N	15	3	2	1	489	572	546	271	N
bowstring-N	1	9	7	2	0	0	0	0	N
bow-V	15	3	2	1	489	572	546	271	V
boxer-N	1	5	5	2	0	0	0	0	N
box-J	70	3	4	1	599	597	591	192	J
box-N	70	3	4	1	599	597	591	192	N
box-V	70	3	4	1	599	597	591	192	V
boxwood-N	1	7	7	2	0	0	0	0	N
boycott-N	8	7	5	2	0	0	0	0	N
boycott-V	8	7	5	2	0	0	0	0	V
boyhood-N	5	7	5	2	0	0	0	0	N
boyish-J	4	6	4	2	0	0	0	0	J
boy-N	242	3	2	1	606	609	618	0	N
boy-V	242	3	2	1	606	609	618	0	V
brace-J	14	5	4	1	0	0	0	0	J
bracelet-N	1	8	7	2	547	602	606	0	N
brace-N	14	5	4	1	0	0	0	0	N
braces-N	4	6	6	2	0	0	0	0	N
braces-V	4	6	6	2	0	0	0	0	V
brace-V	14	5	4	1	0	0	0	0	V
bracing-V	3	7	6	2	0	0	0	0	V
bracken-J	1	7	6	2	0	0	0	0	J
bracken-N	1	7	6	2	0	0	0	0	N
bracket-J	1	7	6	2	0	0	0	0	J
bracket-N	1	7	6	2	0	0	0	0	N
bracket-V	1	7	6	2	0	0	0	0	V
brackish-J	3	8	6	2	0	0	0	0	J
brad-N	1	4	4	1	0	0	0	0	N
brad-V	1	4	4	1	0	0	0	0	V
brae-N	1	4	3	1	0	0	0	0	N
brag-A	2	4	4	1	0	0	0	0	A
brag-J	2	4	4	1	0	0	0	0	J
brag-N	2	4	4	1	0	0	0	0	N
brag-V	2	4	4	1	0	0	0	0	V
braille-N	1	7	4	1	0	0	0	0	N
brain-N	45	5	4	1	580	556	572	347	N
brain-V	45	5	4	1	580	556	572	347	V
brainy-J	1	6	5	2	0	0	0	0	J
brake-J	2	5	4	1	551	526	511	0	J
brake-N	2	5	4	1	551	526	511	0	N
brake-V	2	5	4	1	551	526	511	0	V
branched-V	2	8	6	2	0	0	0	0	V
branching-V	1	9	7	2	0	0	0	0	V
branch-N	33	6	6	1	529	583	548	303	N
branch-V	33	6	6	1	529	583	548	303	V
branded-V	2	7	7	2	0	0	0	0	V
brand-N	17	5	5	1	0	0	0	0	N
brand-V	17	5	5	1	0	0	0	0	V
brandy-N	7	6	6	2	542	595	590	0	N
bran-N	1	4	4	1	0	0	0	0	N
bran-V	1	4	4	1	0	0	0	0	V
brash-J	1	5	4	1	0	0	0	0	J
brash-N	1	5	4	1	0	0	0	0	N
brash-V	1	5	4	1	0	0	0	0	V
brassiere-N	2	9	6	2	503	592	635	0	N
brass-N	19	5	4	1	469	577	524	414	N
brass-V	19	5	4	1	469	577	524	414	V
brassy-J	2	6	5	2	0	0	0	0	J
brassy-N	2	6	5	2	0	0	0	0	N
bravado-N	7	7	7	3	0	0	0	0	N
brave-J	24	5	4	1	544	283	427	0	J
brave-N	24	5	4	1	544	283	427	0	N
bravery-N	4	7	7	3	466	261	450	0	N
brave-V	24	5	4	1	544	283	427	0	V
bravo-N	1	5	5	2	0	0	0	0	N
bravura-N	1	7	7	3	0	0	0	0	N
brawl-N	1	5	4	1	418	456	485	494	N
brawl-V	1	5	4	1	418	456	485	494	V
brazen-J	1	6	5	2	0	0	0	0	J
brazen-V	1	6	5	2	0	0	0	0	V
brazier-N	1	7	6	2	0	0	0	0	N
brazilian-J	4	9	9	3	0	0	0	0	J
brazilian-N	4	9	9	3	0	0	0	0	N
breach-N	6	6	5	1	0	0	0	0	N
breach-V	6	6	5	1	0	0	0	0	V
bread-N	41	5	4	1	611	622	619	0	N
breadth-N	7	7	5	1	0	0	0	0	N
bread-V	41	5	4	1	611	622	619	0	V
breakage-N	1	8	6	2	0	0	0	0	N
breakdown-N	13	9	7	2	0	0	0	0	N
breaker-N	1	7	5	2	0	0	0	0	N
breakfast-N	53	9	8	2	657	576	586	233	N
breakfast-V	53	9	8	2	657	576	586	233	V
breaking-V	25	8	6	2	0	0	0	0	V
break-N	88	5	4	1	529	360	398	0	N
break-V	88	5	4	1	529	360	398	0	V
breakwater-N	2	10	8	3	0	0	0	0	N
breast-N	11	6	5	1	555	580	597	0	N
breast-V	11	6	5	1	555	580	597	0	V
breathed-V	9	8	5	2	0	0	0	0	V
breather-N	1	8	5	2	0	0	0	0	N
breathe-V	7	7	4	1	0	0	0	0	V
breathing-N	21	9	6	2	0	0	0	0	N
breathing-V	21	9	6	2	0	0	0	0	V
breath-J	53	6	4	1	572	479	480	331	J
breathless-J	5	10	7	2	0	0	0	0	J
breath-N	53	6	4	1	572	479	480	331	N
breathy-J	1	7	5	2	0	0	0	0	J
bred-N	1	4	4	1	423	308	387	0	N
bred-V	1	4	4	1	423	308	387	0	V
breeches-N	1	8	7	2	0	0	0	0	N
breeding-J	7	8	6	2	0	0	0	0	J
breeding-N	7	8	6	2	0	0	0	0	N
breeding-V	7	8	6	2	0	0	0	0	V
breed-N	17	5	4	1	0	0	0	0	N
breed-V	17	5	4	1	0	0	0	0	V
breeze-N	14	6	4	1	511	500	560	351	N
breeze-V	14	6	4	1	511	500	560	351	V
breezy-J	1	6	5	2	0	0	0	0	J
brethren-N	8	8	7	2	0	0	0	0	N
breve-N	1	5	4	1	0	0	0	0	N
brevet-N	1	6	6	2	0	0	0	0	N
brevet-V	1	6	6	2	0	0	0	0	V
brevity-N	3	7	7	3	0	0	0	0	N
brewery-N	2	7	5	2	0	0	0	0	N
brewing-J	1	7	5	2	0	0	0	0	J
brewing-V	1	7	5	2	0	0	0	0	V
brew-N	4	4	3	1	0	0	0	0	N
brew-V	4	4	3	1	0	0	0	0	V
briar-N	1	5	4	2	0	0	0	0	N
bribe-N	1	5	4	1	531	367	425	0	N
bribe-V	1	5	4	1	531	367	425	0	V
brick-J	18	5	4	1	529	610	574	261	J
brick-N	18	5	4	1	529	610	574	261	N
brick-V	18	5	4	1	529	610	574	261	V
bridal-J	2	6	5	2	0	0	0	0	J
bridal-N	2	6	5	2	0	0	0	0	N
bridegroom-N	3	10	8	2	0	0	0	0	N
bride-N	33	5	4	1	0	0	0	0	N
bride-V	33	5	4	1	0	0	0	0	V
bridgehead-N	2	10	7	2	0	0	0	0	N
bridge-N	98	6	4	1	561	623	608	289	N
bridge-V	98	6	4	1	561	623	608	289	V
bridle-N	1	6	5	2	0	0	0	0	N
bridle-V	1	6	5	2	0	0	0	0	V
brief-J	73	5	4	1	523	361	344	0	J
brief-N	73	5	4	1	523	361	344	0	N
brief-V	73	5	4	1	523	361	344	0	V
brigade-N	3	7	6	2	0	0	0	0	N
brigade-V	3	7	6	2	0	0	0	0	V
brigadier-N	7	9	7	3	0	0	0	0	N
brigantine-N	1	10	9	3	0	0	0	0	N
bright-A	87	6	4	1	589	473	489	0	A
bright-J	87	6	4	1	589	473	489	0	J
bright-N	87	6	4	1	589	473	489	0	N
brightness-N	18	10	7	2	0	0	0	0	N
bright-V	87	6	4	1	589	473	489	0	V
brig-N	2	4	4	1	0	0	0	0	N
brilliance-N	4	10	8	2	0	0	0	0	N
brilliant-J	50	9	8	2	493	350	482	0	J
brilliant-N	50	9	8	2	493	350	482	0	N
brilliant-V	50	9	8	2	493	350	482	0	V
brimmed-V	1	7	5	2	0	0	0	0	V
brim-N	4	4	4	1	430	509	510	394	N
brim-V	4	4	4	1	430	509	510	394	V
brindle-J	1	7	6	2	0	0	0	0	J
bring-V	158	5	4	1	0	0	0	0	V
brink-N	3	5	5	1	0	0	0	0	N
brisk-J	7	5	5	1	0	0	0	0	J
brisk-V	7	5	5	1	0	0	0	0	V
bristle-N	3	7	5	2	461	558	562	383	N
bristle-V	3	7	5	2	461	558	562	383	V
britannic-J	1	9	8	3	0	0	0	0	J
brittle-J	3	7	5	2	0	0	0	0	J
broach-J	1	6	4	1	0	0	0	0	J
broach-N	1	6	4	1	0	0	0	0	N
broach-V	1	6	5	1	0	0	0	0	V
broad-A	84	5	4	1	523	399	463	0	A
broadcast-A	16	9	8	2	0	0	0	0	A
broadcast-J	16	9	8	2	0	0	0	0	J
broadcast-N	16	9	8	2	0	0	0	0	N
broadcast-V	16	9	8	2	0	0	0	0	V
broaden-V	8	7	5	2	0	0	0	0	V
broad-J	84	5	4	1	523	399	463	0	J
broadly-A	7	7	6	2	0	0	0	0	A
broad-N	84	5	4	1	523	399	463	0	N
broadside-A	3	9	7	2	0	0	0	0	A
broadside-J	3	9	7	2	0	0	0	0	J
broadside-N	3	9	7	2	0	0	0	0	N
brocaded-J	1	8	8	3	0	0	0	0	J
brocaded-V	1	8	8	3	0	0	0	0	V
brocade-J	3	7	6	2	298	540	416	592	J
brocade-N	3	7	6	2	298	540	416	592	N
brocade-V	3	7	6	2	298	540	416	592	V
broccoli-N	1	8	7	3	0	0	0	0	N
brochure-N	2	8	6	2	0	0	0	0	N
broiler-N	2	7	6	2	0	0	0	0	N
broil-N	2	5	4	1	502	448	515	0	N
broil-V	2	5	4	1	502	448	515	0	V
broke-J	72	5	4	1	528	394	485	0	J
broke-N	72	5	4	1	528	394	485	0	N
broken-V	63	6	6	2	576	383	469	0	V
brokerage-N	2	9	8	3	0	0	0	0	N
broker-N	1	6	5	2	0	0	0	0	N
broke-V	72	5	4	1	528	394	485	0	V
bronchial-J	29	9	8	2	0	0	0	0	J
bronchi-N	3	7	6	2	0	0	0	0	N
bronchus-N	4	8	7	2	0	0	0	0	N
bronzed-V	1	7	6	2	0	0	0	0	V
bronze-J	11	6	5	1	398	568	588	0	J
bronze-N	11	6	5	1	398	568	588	0	N
bronze-V	11	6	5	1	398	568	588	0	V
brood-N	9	5	4	1	0	0	0	0	N
brood-V	9	5	4	1	0	0	0	0	V
broody-J	2	6	5	2	0	0	0	0	J
brook-N	3	5	4	1	384	611	597	375	N
brook-V	3	5	4	1	384	611	597	375	V
broom-N	2	5	4	1	547	613	608	0	N
broom-N	2	5	4	1	547	613	608	0	N
broom-V	2	5	4	1	547	613	608	0	V
brothel-J	1	7	5	2	0	0	0	0	J
brothel-N	1	7	5	2	0	0	0	0	N
brotherly-A	2	9	7	3	0	0	0	0	A
brotherly-J	2	9	7	3	0	0	0	0	J
brother-N	73	7	5	2	598	585	589	219	N
brother-V	73	7	6	2	598	585	589	219	V
broth-N	3	5	4	1	0	0	0	0	N
brought-V	253	7	4	1	0	0	0	0	V
browbeaten-V	1	10	7	3	0	0	0	0	V
brow-N	6	4	3	1	0	0	0	0	N
browning-N	7	8	6	2	0	0	0	0	N
browning-V	7	8	6	2	0	0	0	0	V
brownish-J	1	8	6	2	0	0	0	0	J
brown-J	176	5	4	1	0	0	0	0	J
brown-N	176	5	4	1	0	0	0	0	N
brown-V	176	5	4	1	0	0	0	0	V
browsing-V	1	8	6	2	0	0	0	0	V
brow-V	6	4	3	1	0	0	0	0	V
bruise-N	3	6	4	1	0	0	0	0	N
bruise-V	3	6	4	1	0	0	0	0	V
brunt-N	1	5	5	1	0	0	0	0	N
brunt-V	1	5	5	1	0	0	0	0	V
brush-J	44	5	4	1	579	589	570	214	J
brush-N	44	5	4	1	579	589	570	214	N
brush-V	44	5	4	1	579	589	570	214	V
brutality-N	13	9	9	4	454	344	489	0	N
brutal-J	7	6	5	2	446	402	427	0	J
brute-J	6	5	4	1	430	462	481	0	J
brute-N	6	5	4	1	430	462	481	0	N
bubble-N	12	6	4	2	508	563	604	272	N
bubble-V	12	6	4	2	508	563	604	272	V
bubbly-J	1	6	5	3	0	0	0	0	J
bubbly-N	1	6	5	3	0	0	0	0	N
buckboard-N	2	9	6	2	0	0	0	0	N
bucket-N	7	6	5	2	506	594	586	0	N
bucket-V	7	6	5	2	506	594	586	0	V
bucking-V	4	7	5	2	0	0	0	0	V
buck-J	20	4	3	1	0	0	0	0	J
buckle-N	5	6	4	2	474	568	587	0	N
buckle-V	5	6	4	2	474	568	587	0	V
buck-N	20	4	3	1	0	0	0	0	N
buckshot-N	1	8	6	2	0	0	0	0	N
buckskin-N	7	8	7	2	0	0	0	0	N
buck-V	20	4	3	1	0	0	0	0	V
buckwheat-N	1	9	6	2	0	0	0	0	N
bucolic-J	1	7	8	3	0	0	0	0	J
bucolic-N	1	7	8	3	0	0	0	0	N
buddhism-N	9	8	7	3	0	0	0	0	N
buddhist-N	4	8	6	2	0	0	0	0	N
buddy-J	13	5	4	2	0	0	0	0	J
buddy-N	13	5	4	2	0	0	0	0	N
budge-J	3	5	3	1	0	0	0	0	J
budge-N	3	5	3	1	0	0	0	0	N
budget-N	59	6	5	2	517	366	394	497	N
budget-V	59	6	5	2	517	366	394	497	V
budge-V	3	5	3	1	0	0	0	0	V
bud-N	9	3	3	1	465	549	508	331	N
bud-V	9	3	3	1	465	549	508	331	V
buffalo-N	16	7	6	3	0	0	0	0	N
buffer-J	16	6	5	2	402	509	459	553	J
buffer-N	16	6	4	2	402	509	459	553	N
buffet-N	6	6	4	2	0	0	0	0	N
buffet-N	6	6	5	2	0	0	0	0	N
buffet-V	6	6	5	2	0	0	0	0	V
buff-J	5	4	3	1	0	0	0	0	J
buff-N	5	4	3	1	0	0	0	0	N
buffoon-N	1	7	5	2	262	418	393	0	N
buff-V	5	4	3	1	0	0	0	0	V
buggy-J	6	5	4	2	0	0	0	0	J
buggy-N	6	5	4	2	0	0	0	0	N
bugle-J	2	5	5	1	0	0	0	0	J
bugle-N	2	5	5	2	0	0	0	0	N
bugler-N	1	6	6	2	0	0	0	0	N
bugle-V	2	5	5	1	0	0	0	0	V
bug-N	4	3	3	1	0	0	0	0	N
bug-V	4	3	3	1	0	0	0	0	V
builder-N	29	7	5	2	554	532	551	0	N
building-N	160	8	6	2	607	589	578	300	N
building-V	160	8	6	2	607	589	578	300	V
build-N	86	5	4	1	554	402	399	0	N
build-V	86	5	4	1	554	402	399	0	V
built-N	103	5	4	1	0	0	0	0	N
built-V	103	5	4	1	0	0	0	0	V
bulb-N	7	4	4	1	0	0	0	0	N
bulb-V	7	4	4	1	0	0	0	0	V
bulge-N	5	5	4	1	0	0	0	0	N
bulge-V	5	5	4	1	0	0	0	0	V
bulkhead-N	1	8	7	2	0	0	0	0	N
bulk-N	16	4	4	1	0	0	0	0	N
bulk-V	16	4	4	1	0	0	0	0	V
bulky-J	9	5	5	2	471	0	458	0	J
bulletin-N	18	8	7	3	0	0	0	0	N
bulletin-V	18	8	7	3	0	0	0	0	V
bullet-J	28	6	5	2	517	595	611	0	J
bullet-N	28	6	5	2	517	595	611	0	N
bullfinch-N	1	9	8	2	0	0	0	0	N
bullish-J	1	7	5	2	0	0	0	0	J
bull-J	14	4	3	1	0	0	0	0	J
bull-N	14	4	3	1	0	0	0	0	N
bull-V	14	4	3	1	0	0	0	0	V
bully-J	4	5	4	2	0	0	0	0	J
bully-N	4	5	4	2	0	0	0	0	N
bully-V	4	5	4	2	0	0	0	0	V
bulwark-N	5	7	6	2	0	0	0	0	N
bulwark-V	5	7	6	2	0	0	0	0	V
bum-J	7	3	3	1	0	0	0	0	J
bum-N	7	3	3	1	0	0	0	0	N
bump-A	5	4	4	1	541	525	476	0	A
bumper-J	2	6	6	2	0	0	0	0	J
bumper-N	2	6	5	2	0	0	0	0	N
bumper-V	2	6	6	2	0	0	0	0	V
bump-N	5	4	4	1	541	525	476	0	N
bumptious-J	1	9	7	2	0	0	0	0	J
bump-V	5	4	4	1	541	525	476	0	V
bum-V	7	3	3	1	0	0	0	0	V
bunched-V	5	7	5	2	0	0	0	0	V
bunch-N	17	5	5	1	503	452	486	317	N
bunch-V	17	5	5	1	503	452	486	317	V
bundle-N	20	6	5	2	0	0	0	0	N
bundle-V	20	6	5	2	0	0	0	0	V
bungalow-N	1	8	7	3	421	564	543	0	N
bunker-N	3	6	5	2	0	0	0	0	N
bunker-V	3	6	5	2	0	0	0	0	V
bunk-N	18	4	4	1	0	0	0	0	N
bunk-V	18	4	4	1	0	0	0	0	V
bun-N	1	3	3	1	0	0	0	0	N
bunny-N	1	5	4	2	471	0	585	0	N
bunt-N	3	4	4	1	0	0	0	0	N
buoyancy-N	1	8	6	3	0	0	0	0	N
buoyant-J	2	7	5	2	321	0	426	0	J
burdened-V	4	8	5	3	0	0	0	0	V
burden-N	44	6	4	2	446	391	499	474	N
burdensome-J	1	10	7	3	0	0	0	0	J
burden-V	44	6	4	2	446	391	499	474	V
bureaucrat-N	1	10	9	3	0	0	0	0	N
bureau-N	43	6	5	2	395	547	497	461	N
burgess-J	2	7	5	2	0	0	0	0	J
burgess-N	2	7	5	2	0	0	0	0	N
burgher-N	1	7	4	2	133	0	317	0	N
burglar-N	1	7	5	2	0	0	0	0	N
burglar-V	1	7	6	2	0	0	0	0	V
burglary-N	4	8	7	3	0	0	0	0	N
burgundy-N	6	8	7	3	0	0	0	0	N
burial-N	11	6	6	2	400	477	544	446	N
burke-V	7	5	3	1	0	0	0	0	V
burlesque-J	2	9	6	3	0	0	0	0	J
burlesque-N	2	9	6	2	0	0	0	0	N
burlesque-V	2	9	6	2	0	0	0	0	V
burly-A	3	5	4	2	0	0	0	0	A
burly-J	3	5	4	2	0	0	0	0	J
burly-V	3	5	4	2	0	0	0	0	V
burman-J	2	6	5	2	0	0	0	0	J
burman-N	2	6	5	2	0	0	0	0	N
burmese-J	4	7	5	2	0	0	0	0	J
burmese-N	4	7	5	2	0	0	0	0	N
burnet-N	2	6	5	2	0	0	0	0	N
burning-J	50	7	5	2	0	0	0	0	J
burning-V	50	7	5	2	0	0	0	0	V
burn-J	15	4	3	1	548	490	541	217	J
burn-N	15	4	3	1	548	490	541	217	N
burnt-V	6	5	4	1	0	0	0	0	V
burn-V	15	4	3	1	548	490	541	217	V
burr-J	7	4	3	1	0	0	0	0	J
burr-N	7	4	2	1	0	0	0	0	N
burrow-N	4	6	4	2	421	426	444	0	N
burrow-V	4	6	4	2	421	426	444	0	V
burr-V	7	4	3	1	0	0	0	0	V
burst-N	33	5	4	1	0	0	0	0	N
burst-V	33	5	4	1	0	0	0	0	V
burton-N	15	6	4	2	0	0	0	0	N
bury-N	6	4	4	2	479	372	401	0	N
bury-V	6	4	4	2	479	372	401	0	V
bushel-N	1	6	4	2	0	0	0	0	N
bushel-V	1	6	4	2	0	0	0	0	V
bush-N	14	4	3	1	532	585	549	256	N
bush-V	14	4	3	1	532	585	549	256	V
busied-J	1	6	5	2	0	0	0	0	J
busied-V	1	6	5	2	0	0	0	0	V
busily-A	8	6	6	3	0	0	0	0	A
business-N	392	8	7	3	563	389	441	436	N
bus-N	34	3	3	1	0	0	0	0	N
buss-N	1	4	3	1	0	0	0	0	N
buss-V	1	4	3	1	0	0	0	0	V
bustard-N	1	7	6	2	0	0	0	0	N
buster-N	3	6	5	2	0	0	0	0	N
bust-J	7	4	4	1	0	0	0	0	J
bustle-N	2	6	4	2	0	0	0	0	N
bustle-V	2	6	4	2	0	0	0	0	V
bust-N	7	4	4	1	0	0	0	0	N
bust-N	7	4	4	1	0	0	0	0	N
bust-V	7	4	4	1	0	0	0	0	V
bus-V	34	3	3	1	0	0	0	0	V
busy-J	58	4	4	2	600	329	403	0	J
busy-N	58	4	4	2	600	329	403	0	N
busyness-N	1	8	7	3	0	0	0	0	N
busy-V	58	4	4	2	600	329	403	0	V
but-A	4381	3	3	1	603	227	206	0	A
butane-N	1	6	6	2	0	0	0	0	N
but-C	4381	3	3	1	603	227	206	0	C
butcher-J	8	7	5	2	473	556	596	0	J
butcher-N	8	7	5	2	473	556	596	0	N
butcher-V	8	7	5	2	473	556	596	0	V
butchery-J	5	8	6	3	0	0	0	0	J
butchery-N	5	8	7	3	0	0	0	0	N
but-J	4381	3	3	1	603	227	206	0	J
butler-N	4	6	5	2	425	0	543	0	N
but-N	4381	3	3	1	603	227	206	0	N
but-R	4381	3	3	1	603	227	206	0	R
butterfly-J	2	9	7	3	481	593	624	0	J
butterfly-N	2	9	7	3	481	593	624	0	N
butter-N	27	6	4	2	615	618	603	206	N
butternut-N	1	9	7	3	0	0	0	0	N
butter-V	27	6	5	2	615	618	603	206	V
buttery-J	1	7	6	3	0	0	0	0	J
buttery-N	1	7	6	3	0	0	0	0	N
butting-V	1	7	5	2	0	0	0	0	V
butt-N	12	4	3	1	0	0	0	0	N
buttoned-V	1	8	5	3	0	0	0	0	V
button-N	10	6	4	2	573	613	580	192	N
buttons-N	10	7	5	2	0	0	0	0	N
buttons-V	10	7	5	2	0	0	0	0	V
button-V	10	6	4	2	573	613	580	192	V
butt-V	12	4	3	1	0	0	0	0	V
but-U	4381	3	3	1	603	227	206	0	U
but-V	4381	3	3	1	603	227	206	0	V
buxom-J	1	5	6	2	0	0	0	0	J
buyer-N	2	5	3	2	487	0	463	0	N
buy-N	70	3	2	1	575	370	397	0	N
buy-V	70	3	2	1	575	370	397	0	V
buzz-A	13	4	3	1	0	0	0	0	A
buzz-J	13	4	3	1	0	0	0	0	J
buzz-N	13	4	3	1	0	0	0	0	N
buzz-V	13	4	3	1	0	0	0	0	V
bye-N	2	3	2	1	0	0	0	0	N
bye-V	2	3	2	1	0	0	0	0	V
bygone-J	2	6	5	2	0	0	0	0	J
bygone-N	2	6	5	2	0	0	0	0	N
byronic-J	1	7	7	3	0	0	0	0	J
bystander-N	1	9	8	3	0	0	0	0	N
byword-N	1	6	5	2	0	0	0	0	N
byzantine-J	5	9	8	3	0	0	0	0	J
byzantine-N	5	9	8	3	0	0	0	0	N
cabaret-N	1	7	6	3	0	0	0	0	N
cabbage-N	4	7	5	2	504	611	573	0	N
cabbage-V	4	7	5	2	504	611	573	0	V
cabinet-J	17	7	7	3	472	593	524	383	J
cabinet-N	17	7	7	3	472	593	524	383	N
cabinet-V	17	7	7	3	472	593	524	383	V
cabin-N	23	5	5	2	523	596	582	0	N
cabin-V	23	5	5	2	523	596	582	0	V
cable-N	7	5	4	2	492	544	469	0	N
cable-V	7	5	4	2	492	544	469	0	V
cab-N	12	3	3	1	0	0	0	0	N
cabot-N	2	5	4	2	0	0	0	0	N
cab-V	12	3	3	1	0	0	0	0	V
cacao-N	1	5	5	3	0	0	0	0	N
cache-N	1	5	3	1	259	459	303	614	N
cache-V	1	5	3	1	259	459	303	614	V
cacophony-N	1	9	8	4	0	0	0	0	N
cadaver-N	1	7	6	3	0	0	0	0	N
cadaverous-J	1	10	9	4	0	0	0	0	J
caddy-N	1	5	4	2	0	0	0	0	N
caddy-V	1	5	4	2	0	0	0	0	V
cadence-N	2	7	6	2	0	0	0	0	N
cadence-V	2	7	6	2	0	0	0	0	V
cadenza-N	3	7	7	3	0	0	0	0	N
cadet-N	4	5	5	2	0	0	0	0	N
cadmium-N	2	7	7	2	0	0	0	0	N
cadre-N	3	5	5	1	0	0	0	0	N
cafe-N	20	4	4	2	531	568	625	0	N
cafeteria-N	15	9	9	4	0	0	0	0	N
cage-N	9	4	3	1	487	593	585	300	N
cage-V	9	4	3	1	487	593	585	300	V
cake-N	13	4	3	1	594	624	624	214	N
cake-V	13	4	3	1	594	624	624	214	V
calamitous-J	2	10	9	4	0	0	0	0	J
calamity-N	4	8	8	4	0	0	0	0	N
calcium-J	11	7	6	2	0	0	0	0	J
calcium-N	11	7	7	2	0	0	0	0	N
calculable-J	1	10	10	4	0	0	0	0	J
calculated-V	35	10	11	4	0	0	0	0	V
calculate-V	4	9	9	3	0	0	0	0	V
calculi-N	1	7	8	3	0	0	0	0	N
calendar-N	28	8	7	3	0	0	0	0	N
calendar-V	28	8	8	3	0	0	0	0	V
calf-N	11	4	3	1	511	592	565	0	N
calibre-N	2	7	6	3	0	0	0	0	N
calibre-V	2	7	7	2	0	0	0	0	V
calico-J	2	6	6	3	0	0	0	0	J
calico-N	2	6	6	3	0	0	0	0	N
calif-N	19	5	5	2	0	0	0	0	N
