ITEM   	 BF_TP 	 LEN_L 	   N   	
customer	  60.00	   8	   0	
customers	  67.38	   9	   0	
cutaway	  30.83	   7	   0	
cuticle	  51.33	   7	   1	
cutlery	  97.50	   7	   0	
cuttlefish	  24.56	  10	   0	
cyanide	  38.83	   7	   0	
cybersex	  37.29	   8	   0	
cyberspace	  29.56	  10	   0	
cyclist	  60.00	   7	   0	
cyclists	  47.86	   8	   0	
cyclotron	  34.63	   9	   0	
cylinder	  64.86	   8	   0	
cylinders	  58.88	   9	   0	
cyst	  12.33	   4	   2	
cysts	  42.75	   5	   2	
czar	   8.33	   4	   1	
czars	  27.00	   5	   0	
czechs	  10.20	   6	   0	
dab	   4.50	   3	   7	
dace	  20.00	   4	  11	
dad	   7.50	   3	  15	
dads	  18.67	   4	   8	
daedalus	  21.71	   8	   0	
daffodil	  11.29	   8	   0	
daffodils	  25.50	   9	   0	
dain	  25.67	   4	  11	
daiquiri	  15.86	   8	   0	
dais	  20.00	   4	   4	
dal	   3.00	   3	   6	
dales	  80.00	   5	  10	
dalliance	  55.38	   9	   0	
dalmatian	  78.75	   9	   0	
dalmatians	  38.22	  10	   0	
dam	   6.00	   3	  11	
damages	 109.67	   7	   1	
dame	  20.67	   4	  17	
dames	  71.50	   5	   7	
damnation	 102.00	   9	   0	
dams	  21.00	   4	  11	
dane	  33.33	   4	  18	
danes	  89.25	   5	  13	
dangler	 136.00	   7	   1	
daredevil	  32.25	   9	   0	
daredevils	  22.56	  10	   0	
dart	  33.00	   4	  12	
darts	  59.50	   5	   5	
dase	  25.00	   4	  12	
dash	  27.00	   4	  10	
dashiki	  27.83	   7	   0	
database	  33.14	   8	   0	
date	  24.67	   4	  13	
dates	  87.75	   5	  11	
datura	  29.00	   6	   0	
dau	   2.00	   3	   4	
daub	  10.33	   4	   0	
dawn	  16.33	   4	   8	
daws	  17.00	   4	  11	
day	   8.50	   3	  16	
days	  15.33	   4	  11	
daze	  12.67	   4	  10	
dea	   3.50	   3	   7	
deaconess	  88.75	   9	   0	
deadliness	  63.22	  10	   0	
deal	  33.33	   4	  16	
dealership	  44.11	  10	   0	
deals	  58.25	   5	   8	
deans	  57.50	   5	   6	
dearth	  60.40	   6	   1	
death	  47.25	   5	   2	
deaths	  57.60	   6	   2	
debacle	  47.33	   7	   0	
debacles	 116.29	   8	   0	
debasement	  49.33	  10	   0	
debater	 128.33	   7	   2	
debaters	 103.14	   8	   0	
debenture	  50.25	   9	   0	
debentures	  71.78	  10	   0	
debriefing	 131.22	  10	   0	
debt	   7.67	   4	   2	
debts	  42.25	   5	   1	
debussy	  29.33	   7	   0	
debutante	  56.50	   9	   0	
debutantes	  91.22	  10	   0	
decadence	  64.13	   9	   0	
decathlete	  39.11	  10	   0	
decathlon	  55.25	   9	   0	
decedent	  69.00	   8	   1	
decedents	  68.75	   9	   0	
decency	  49.67	   7	   0	
deception	 114.88	   9	   1	
deceptions	  66.89	  10	   1	
decibel	  42.50	   7	   0	
decibels	  53.86	   8	   0	
decimals	  53.29	   8	   0	
decision	  82.86	   8	   1	
decisions	  73.63	   9	   0	
deck	  24.33	   4	   8	
decks	  42.75	   5	   5	
declarant	  74.38	   9	   0	
decoder	 101.17	   7	   1	
decoders	  99.14	   8	   0	
decorum	  42.33	   7	   0	
deduction	 112.75	   9	   2	
deductions	  64.00	  10	   2	
deed	  32.67	   4	  13	
deeds	  40.00	   5	   6	
deer	  27.33	   4	  10	
defaulters	  49.11	  10	   0	
defeatist	 106.63	   9	   1	
defection	 119.50	   9	   2	
defections	  67.22	  10	   0	
defector	  47.86	   8	   1	
defectors	  78.13	   9	   1	
defendant	  71.88	   9	   1	
defendants	  56.56	  10	   1	
defender	  87.57	   8	   1	
defenders	  85.25	   9	   0	
defenses	 120.29	   8	   1	
deference	  84.63	   9	   1	
deferment	  88.63	   9	   0	
defiance	  55.29	   8	   1	
deficit	  39.17	   7	   0	
deficits	  85.71	   8	   0	
deflation	 123.75	   9	   1	
deities	 165.17	   7	   0	
deity	  33.25	   5	   0	
delegate	  64.71	   8	   1	
delegates	 126.50	   9	   1	
deletion	 103.57	   8	   0	
delft	  21.75	   5	   0	
delinquent	  53.11	  10	   0	
delusion	  72.43	   8	   0	
delusions	  66.75	   9	   0	
demagogue	  29.75	   9	   0	
demagogues	  55.89	  10	   0	
demeanor	  52.29	   8	   0	
demeanors	  69.25	   9	   0	
demerit	  48.50	   7	   0	
demerits	 118.57	   8	   0	
democrat	  37.29	   8	   0	
democrats	  61.63	   9	   0	
demotion	  99.14	   8	   1	
demurring	 226.00	   9	   0	
den	   6.50	   3	  14	
denial	  58.60	   6	   3	
denials	  61.50	   7	   0	
denizen	  51.50	   7	   0	
denizens	  59.57	   8	   0	
denouement	  58.78	  10	   0	
dens	  27.00	   4	   9	
densities	 139.25	   9	   0	
density	  75.00	   7	   1	
dent	  24.00	   4	  14	
dentistry	  65.38	   9	   0	
dentition	 130.00	   9	   0	
dents	  55.00	   5	   6	
department	  56.44	  10	   1	
departure	  50.63	   9	   0	
departures	  71.78	  10	   0	
dependence	  64.33	  10	   1	
dependents	  67.56	  10	   1	
depiction	 117.63	   9	   0	
depictions	  69.44	  10	   0	
depletion	 117.75	   9	   0	
deployment	  56.33	  10	   0	
deportees	  89.88	   9	   0	
deportment	  59.00	  10	   1	
deposit	  34.67	   7	   0	
deposits	  85.14	   8	   0	
depressant	  64.67	  10	   0	
depression	 106.78	  10	   1	
depressive	  71.78	  10	   1	
depth	  20.50	   5	   1	
depths	  34.60	   6	   1	
deputies	 150.71	   8	   0	
deputy	  38.00	   6	   0	
derailment	  58.89	  10	   0	
derelicts	  70.88	   9	   0	
derision	  91.14	   8	   1	
derringer	  78.00	   9	   0	
descendant	  58.44	  10	   0	
descendent	  65.11	  10	   1	
deserter	 122.00	   8	   1	
deserters	 104.88	   9	   0	
desertion	 140.88	   9	   0	
desertions	  82.22	  10	   0	
desiccate	  69.13	   9	   0	
designee	  60.00	   8	   2	
designer	  82.14	   8	   1	
designers	  87.63	   9	   0	
desire	  45.00	   6	   0	
desires	 134.67	   7	   1	
desk	  15.67	   4	   3	
desks	  36.75	   5	   1	
destinies	 134.38	   9	   0	
destiny	 212.83	   7	   0	
destroyer	  63.00	   9	   1	
destroyers	  58.11	  10	   0	
detachment	  53.22	  10	   0	
detailer	  85.57	   8	   2	
detainee	  73.14	   8	   1	
detainees	 100.25	   9	   0	
detection	 126.13	   9	   3	
detective	 102.75	   9	   1	
detectives	  82.00	  10	   0	
detector	  52.57	   8	   1	
detectors	  84.75	   9	   1	
detention	 131.50	   9	   2	
detentions	  77.56	  10	   0	
detergent	  89.38	   9	   1	
detergents	  75.11	  10	   1	
deterrence	  71.56	  10	   0	
deterrent	  94.13	   9	   1	
deterrents	  74.78	  10	   1	
detractors	  63.78	  10	   0	
detriment	  79.00	   9	   0	
detritus	  50.00	   8	   0	
deuce	  20.50	   5	   0	
deuterons	  80.63	   9	   0	
deviance	  59.29	   8	   2	
deviants	  76.00	   8	   0	
deviates	 145.57	   8	   0	
devices	 123.17	   7	   0	
devotee	  74.83	   7	   1	
devotees	 111.14	   8	   0	
devotion	  98.29	   8	   1	
dew	   4.50	   3	   7	
dewberry	  53.57	   8	   0	
dews	  14.67	   4	   6	
dey	   3.00	   3	   8	
dhole	  21.50	   5	   1	
dhows	  19.75	   5	   1	
diadem	  44.00	   6	   0	
diagram	  23.83	   7	   0	
diagrams	  36.43	   8	   0	
dialect	  44.17	   7	   0	
dialects	  58.14	   8	   0	
dialog	  20.20	   6	   0	
dialogue	  32.86	   8	   0	
dialogues	  74.88	   9	   0	
diapers	 127.00	   7	   0	
diaphragm	  32.63	   9	   0	
diaries	 150.50	   7	   0	
diary	  34.75	   5	   0	
diatoms	  36.17	   7	   0	
diatribe	  55.29	   8	   0	
diatribes	  79.88	   9	   0	
dibs	  15.00	   4	   7	
dice	  17.67	   4	  11	
dichromate	  37.56	  10	   0	
dicier	 107.40	   6	   0	
dick	  27.67	   4	  16	
dicks	  42.25	   5	  11	
dictaphone	  34.44	  10	   0	
dictation	 123.50	   9	   0	
dictator	  50.14	   8	   0	
dictators	  82.13	   9	   0	
diel	  14.33	   4	   6	
dieters	 136.00	   7	   0	
diff	  11.67	   4	   1	
difference	  58.33	  10	   0	
diffusion	  76.50	   9	   0	
digestion	 119.38	   9	   0	
dignity	  56.17	   7	   1	
digression	 103.33	  10	   0	
digs	  21.00	   4	   8	
dike	  15.33	   4	  11	
dikes	  74.00	   5	   8	
dilation	 103.43	   8	   1	
dilemma	  27.50	   7	   0	
dilemmas	  37.14	   8	   0	
diligence	  64.38	   9	   0	
dills	  52.25	   5	  11	
dilution	  93.43	   8	   1	
dime	  15.67	   4	   9	
dimension	  89.13	   9	   0	
dimensions	  59.56	  10	   0	
dimes	  75.25	   5	   7	
din	   8.50	   3	  18	
dings	  39.75	   5	   8	
dinnertime	  79.67	  10	   0	
dinnerware	  36.56	  10	   0	
dinosaur	  36.43	   8	   0	
dinosaurs	  50.13	   9	   0	
dint	  32.33	   4	   9	
diocese	  52.33	   7	   0	
dioceses	  99.57	   8	   0	
dioxide	  25.00	   7	   0	
dioxin	  16.20	   6	   0	
dioxins	 161.17	   7	   0	
diploma	  31.67	   7	   0	
diplomas	  34.00	   8	   1	
diplomat	  33.86	   8	   1	
diplomats	  59.13	   9	   0	
direction	 121.25	   9	   0	
directions	  70.11	  10	   0	
directive	  97.88	   9	   0	
directives	  77.33	  10	   0	
directness	  57.00	  10	   0	
director	  50.14	   8	   0	
directors	  79.88	   9	   1	
dirge	  27.75	   5	   0	
dirt	  19.33	   4	   5	
disarray	  43.43	   8	   0	
disaster	 100.14	   8	   0	
disasters	  87.38	   9	   0	
disbarment	  62.44	  10	   0	
disbelief	  73.75	   9	   0	
disc	  13.00	   4	   2	
discharges	  73.67	  10	   1	
disciple	  47.43	   8	   0	
disciples	  91.13	   9	   0	
discipline	 105.89	  10	   0	
disclaimer	  48.89	  10	   1	
disclosure	  36.78	  10	   0	
discomfort	  40.56	  10	   0	
discontent	  70.56	  10	   0	
discourses	  76.33	  10	   0	
discretion	 131.44	  10	   0	
discs	  14.75	   5	   1	
discussion	 101.89	  10	   0	
diseases	 117.43	   8	   1	
disfavor	  35.00	   8	   0	
disguises	  91.00	   9	   1	
dish	  20.67	   4	   5	
dishonor	  43.00	   8	   0	
dishwasher	  46.33	  10	   0	
disinvite	  71.25	   9	   0	
disk	  16.67	   4	   7	
disks	  38.25	   5	   4	
dismissal	  60.50	   9	   0	
disorder	  81.43	   8	   0	
disorders	  82.50	   9	   0	
dispatcher	  52.33	  10	   2	
dispatches	  78.11	  10	   1	
dispenser	  80.25	   9	   1	
dispensers	  67.44	  10	   0	
dispersal	  74.25	   9	   0	
dispersion	 109.44	  10	   0	
disposal	  56.71	   8	   0	
disposals	  54.38	   9	   0	
disposer	  74.86	   8	   2	
disrepair	  43.88	   9	   0	
disrepute	  57.00	   9	   0	
disrespect	  46.11	  10	   0	
disruption	 124.33	  10	   0	
dissection	 142.22	  10	   0	
dissension	 104.44	  10	   1	
dissenter	 107.63	   9	   0	
dissenters	  75.00	  10	   0	
disservice	  57.44	  10	   0	
dissident	  74.50	   9	   0	
dissidents	  68.33	  10	   0	
dissonance	  64.56	  10	   0	
dissonant	  73.13	   9	   0	
distances	 107.13	   9	   1	
distemper	  75.50	   9	   0	
distillate	  65.89	  10	   0	
distiller	  86.88	   9	   1	
distillers	  72.44	  10	   0	
distortion	 138.78	  10	   0	
distresses	  94.33	  10	   2	
divergence	  63.78	  10	   0	
diversion	 105.50	   9	   0	
diversions	  70.00	  10	   0	
dividend	  48.29	   8	   0	
dividends	  47.38	   9	   0	
divider	  91.83	   7	   2	
division	  72.14	   8	   0	
divisions	  67.00	   9	   0	
divorcee	  43.71	   8	   2	
divorces	 105.14	   8	   2	
dizziness	  78.75	   9	   0	
doberman	  43.29	   8	   0	
doc	   3.50	   3	   5	
dock	  26.33	   4	  11	
docks	  42.75	   5	   9	
dockworker	  18.11	  10	   0	
doctorate	  55.38	   9	   0	
doctorates	  92.89	  10	   0	
document	  45.00	   8	   0	
documents	  48.13	   9	   0	
doer	  15.33	   4	   4	
dog	   7.00	   3	  14	
doge	  14.33	   4	   8	
doggerel	  63.43	   8	   0	
dogs	  22.67	   4	  12	
doke	  17.00	   4	  13	
dol	   4.50	   3	   9	
dole	  30.00	   4	  15	
doll	  35.00	   4	  11	
dollhouses	  55.33	  10	   0	
dolls	  52.25	   5	   4	
dolomite	  60.86	   8	   0	
dome	  18.67	   4	  12	
domes	  77.00	   5	   8	
domestics	  81.25	   9	   0	
dominance	  54.38	   9	   0	
domineer	  75.14	   8	   0	
dominion	  71.57	   8	   0	
domino	  65.60	   6	   0	
dominoes	  97.43	   8	   0	
dominos	  30.83	   7	   0	
donation	 103.00	   8	   0	
donations	  69.38	   9	   0	
donnybrook	  24.22	  10	   0	
dons	  29.00	   4	  10	
doom	  28.00	   4	   6	
dooms	  33.75	   5	   5	
doomsayer	  26.75	   9	   0	
doomsayers	  27.89	  10	   0	
door	  26.67	   4	   5	
doorkeeper	  18.67	  10	   0	
doors	  40.25	   5	   2	
dopamine	 146.14	   8	   0	
dope	  18.67	   4	  14	
dorm	  23.33	   4	   5	
dormancy	  46.43	   8	   0	
dorms	  34.50	   5	   3	
dos	   4.50	   3	   7	
dosages	 107.17	   7	   0	
dose	  21.33	   4	  12	
dosh	  23.33	   4	   8	
doss	  21.33	   4	  10	
dot	   8.00	   3	  14	
dots	  28.00	   4	   9	
doubletree	  22.78	  10	   0	
doubts	  49.40	   6	   0	
douche	  28.00	   6	   1	
dough	  27.00	   5	   4	
dove	  17.33	   4	  13	
doves	  83.00	   5	   6	
dowager	  79.67	   7	   0	
dower	  54.25	   5	   6	
downriver	  33.25	   9	   0	
downs	  33.00	   5	   4	
drabs	  36.75	   5	   4	
draft	  33.75	   5	   3	
drafts	  59.80	   6	   2	
drain	  41.50	   5	   4	
drains	  94.00	   6	   3	
drake	  38.00	   5	   2	
dram	  18.33	   4	   9	
dramamine	 124.00	   9	   0	
dramatics	  83.88	   9	   0	
dramatist	  96.25	   9	   0	
drams	  44.50	   5	   7	
drape	  37.00	   5	   2	
draperies	 124.63	   9	   0	
drapery	 105.67	   7	   0	
drapes	 117.40	   6	   3	
draught	  36.00	   7	   2	
draughts	  51.14	   8	   2	
drawer	 113.00	   6	   1	
drawers	 134.00	   7	   0	
dray	  16.67	   4	   9	
dread	  35.00	   5	   3	
dreads	  48.20	   6	   3	
dream	  33.50	   5	   3	
dreams	  39.60	   6	   4	
dregs	  29.50	   5	   3	
dress	  30.00	   5	   5	
dressier	  88.43	   8	   0	
dressmaker	  26.89	  10	   0	
dribs	  33.50	   5	   2	
drift	  31.75	   5	   1	
drifts	  57.20	   6	   1	
drill	  44.00	   5	   5	
drills	  58.20	   6	   3	
drink	  51.75	   5	   3	
drinks	  53.60	   6	   1	
drip	  13.33	   4	   3	
drogue	  29.80	   6	   0	
drone	  41.00	   5	   3	
drones	 113.20	   6	   2	
dross	  36.00	   5	   4	
drought	  41.00	   7	   3	
droughts	  58.57	   8	   1	
droves	 110.00	   6	   4	
drowsiness	  54.00	  10	   0	
drudge	  28.00	   6	   3	
drudgery	  58.86	   8	   0	
drug	   7.00	   4	   2	
drugs	  27.00	   5	   3	
drum	   7.67	   4	   2	
drums	  29.75	   5	   1	
drunks	  36.60	   6	   2	
druze	  19.50	   5	   0	
dubs	  18.00	   4	   8	
duc	   2.50	   3	   6	
duck	  26.00	   4	  13	
ducks	  40.00	   5	   9	
duct	  13.00	   4	   3	
ducts	  42.25	   5	   3	
dud	   4.50	   3	   9	
dude	  16.00	   4	   5	
dudes	  74.75	   5	   4	
duds	  16.33	   4	   7	
duelist	  64.67	   7	   0	
dues	  20.00	   4	   9	
duh	   3.00	   3	   6	
dui	   2.50	   3	   5	
duke	  15.00	   4	   4	
dukes	  70.75	   5	   3	
dulcimer	  42.29	   8	   0	
dumps	  31.75	   5	   7	
dun	   7.00	   3	  15	
dune	  27.33	   4	   8	
dunes	  80.50	   5	   6	
dung	  26.00	   4	   7	
dunst	  23.00	   5	   0	
dupe	  14.00	   4	   4	
dupes	  72.75	   5	   4	
duplicates	  98.00	  10	   1	
duration	  95.86	   8	   0	
durn	  22.00	   4	   3	
dusk	  20.00	   4	   8	
dust	  28.33	   4	  11	
dwarf	  21.50	   5	   0	
dwarfism	  36.00	   8	   1	
dwarfs	  19.00	   6	   0	
dwarves	 106.00	   7	   0	
dweeb	  13.50	   5	   0	
dye	   3.50	   3	   8	
dyes	  12.33	   4	   5	
dyke	   8.00	   4	   1	
dykes	  66.00	   5	   2	
dynamics	  24.29	   8	   0	
dynamite	  47.86	   8	   0	
dynamo	   8.40	   6	   0	
dynasties	 113.25	   9	   0	
dynasty	  23.33	   7	   0	
dysplasia	  18.13	   9	   0	
dystrophy	  21.88	   9	   0	
eagerness	  77.88	   9	   0	
ear	   6.00	   3	  11	
earl	  24.00	   4	   2	
earls	  42.25	   5	   2	
earpieces	  68.88	   9	   0	
ears	  27.33	   4	  10	
earth	  35.00	   5	   0	
earths	  48.20	   6	   1	
ease	  20.33	   4	   6	
east	  26.67	   4	  10	
eateries	 143.29	   8	   0	
eatery	  55.80	   6	   2	
eau	   1.00	   3	   2	
eaves	  79.25	   5	   6	
ebb	   1.00	   3	   0	
ebbs	   9.00	   4	   0	
ebony	  18.25	   5	   0	
eccentrics	  38.44	  10	   0	
echelon	  21.17	   7	   0	
echelons	  41.86	   8	   0	
eclipses	  87.29	   8	   1	
ecstasy	  33.67	   7	   0	
eczema	   4.60	   6	   0	
edelweiss	  31.13	   9	   0	
edema	   5.50	   5	   1	
edge	   5.00	   4	   1	
edginess	  75.86	   8	   0	
edibles	 135.50	   7	   0	
edifice	  24.33	   7	   0	
editing	 288.33	   7	   1	
edition	  62.17	   7	   0	
editions	  48.14	   8	   0	
editor	  23.40	   6	   0	
editors	  77.33	   7	   0	
eel	   1.50	   3	   1	
eels	  11.67	   4	   1	
effigy	  10.80	   6	   0	
effluent	  35.71	   8	   1	
egg	   1.50	   3	   1	
eggs	  12.33	   4	   1	
egotist	  70.17	   7	   1	
egyptians	  34.50	   9	   0	
ejection	  76.00	   8	   2	
elation	  82.17	   7	   0	
election	  84.86	   8	   3	
elections	  58.63	   9	   2	
electives	  71.25	   9	   0	
electors	  61.57	   8	   0	
electrics	  51.13	   9	   0	
electrode	  27.75	   9	   0	
electrodes	  50.56	  10	   0	
electron	  37.29	   8	   1	
electrons	  44.50	   9	   1	
elegance	  34.14	   8	   0	
elegy	  14.75	   5	   0	
element	  44.33	   7	   1	
elements	  63.71	   8	   0	
elephant	  41.00	   8	   0	
elephants	  40.00	   9	   0	
elf	   2.00	   3	   3	
elixir	  13.80	   6	   0	
elm	   2.00	   3	   2	
elms	   8.00	   4	   1	
eloquence	  40.88	   9	   0	
elves	  73.50	   5	   1	
embalming	 189.88	   9	   0	
embankment	  36.89	  10	   0	
embargo	  15.33	   7	   0	
embargoes	  57.75	   9	   0	
embassies	  84.38	   9	   0	
embassy	  12.00	   7	   0	
embolden	  37.14	   8	   0	
embryo	   6.60	   6	   0	
embryos	  10.17	   7	   0	
emergence	  47.25	   9	   1	
emery	  20.00	   5	   1	
emetic	  19.20	   6	   0	
emigres	 107.17	   7	   0	
eminence	  48.86	   8	   0	
emirates	 127.14	   8	   0	
emission	  51.71	   8	   1	
emissions	  48.75	   9	   1	
emitter	 114.67	   7	   1	
emotion	  65.50	   7	   0	
emotions	  51.71	   8	   0	
empathy	  27.67	   7	   0	
emperor	  34.67	   7	   0	
emperors	  81.29	   8	   0	
emphasis	  19.71	   8	   1	
empire	  24.60	   6	   2	
empires	 112.83	   7	   2	
employee	  25.43	   8	   2	
employees	  64.63	   9	   1	
employer	  47.57	   8	   2	
employers	  58.25	   9	   1	
employment	  45.00	  10	   0	
empt	   2.33	   4	   1	
emptiness	  82.63	   9	   0	
emulsion	  46.14	   8	   0	
enactment	  54.88	   9	   0	
enactments	  46.44	  10	   0	
enamel	  37.60	   6	   0	
encampment	  43.67	  10	   0	
enchanter	  81.38	   9	   1	
enclosure	  34.63	   9	   0	
enclosures	  58.00	  10	   0	
encounter	  79.88	   9	   0	
encounters	  49.11	  10	   0	
encryption	 107.22	  10	   0	
end	   1.50	   3	   1	
ende	   8.33	   4	   1	
endearment	  55.11	  10	   0	
endeavor	  30.86	   8	   0	
endeavors	  54.63	   9	   0	
endeavour	  37.50	   9	   0	
endorphin	  25.38	   9	   0	
endowment	  50.75	   9	   0	
endowments	  46.78	  10	   0	
endurance	  55.88	   9	   0	
enema	   9.75	   5	   1	
enemas	  20.00	   6	   0	
enemies	 124.00	   7	   0	
enemy	  12.00	   5	   1	
energies	 111.14	   8	   0	
energy	  16.40	   6	   0	
enforcer	  58.14	   8	   1	
enforcers	  59.75	   9	   0	
engagement	  43.22	  10	   0	
engineer	  66.14	   8	   0	
engineers	  55.88	   9	   0	
englishman	  19.11	  10	   0	
englishmen	  19.89	  10	   0	
engraver	  54.00	   8	   1	
engraving	 194.50	   9	   0	
engravings	  24.44	  10	   0	
enhancer	  56.29	   8	   2	
enigma	  16.20	   6	   0	
enjoyment	  45.75	   9	   0	
enjoyments	  40.67	  10	   0	
enlarger	  55.57	   8	   2	
enlistment	  50.89	  10	   0	
enmity	  34.20	   6	   1	
ennui	   6.50	   5	   0	
enquirer	  67.57	   8	   0	
enrichment	  47.44	  10	   0	
enrollees	  75.38	   9	   0	
enrollment	  42.78	  10	   0	
ensemble	  48.00	   8	   0	
ensembles	  75.75	   9	   0	
entendre	  48.86	   8	   0	
enterprise	  63.00	  10	   0	
enticement	  54.89	  10	   0	
entities	 155.71	   8	   2	
entity	  43.20	   6	   1	
entombment	  47.11	  10	   0	
entourage	  43.88	   9	   1	
entrances	  88.38	   9	   1	
entrapment	  52.67	  10	   0	
entreaties	 138.67	  10	   0	
entreaty	  50.43	   8	   0	
entropy	  22.33	   7	   0	
entryway	  26.57	   8	   0	
envelope	  34.57	   8	   0	
envelopes	  70.88	   9	   1	
environs	  51.57	   8	   0	
ephedrine	 129.13	   9	   0	
epicure	  30.83	   7	   0	
epigram	  14.33	   7	   0	
epilogue	  17.71	   8	   0	
episode	  23.17	   7	   0	
episodes	  89.71	   8	   0	
epistle	  47.00	   7	   0	
epitaph	  21.17	   7	   0	
epitaphs	  18.29	   8	   0	
epithet	  51.33	   7	   0	
epithets	  55.43	   8	   0	
epsilon	  24.00	   7	   0	
equation	  83.43	   8	   0	
equations	  54.13	   9	   0	
equator	  26.00	   7	   0	
equinox	  19.17	   7	   0	
equipment	  42.25	   9	   0	
equipments	  37.56	  10	   0	
equities	 137.71	   8	   0	
equity	  28.80	   6	   0	
eraser	 132.00	   6	   1	
erasers	 139.50	   7	   0	
erection	  97.00	   8	   2	
erections	  64.00	   9	   1	
erector	  31.17	   7	   1	
erosion	  62.83	   7	   0	
eruption	  74.43	   8	   0	
eruptions	  50.25	   9	   0	
escapade	  19.29	   8	   0	
escapades	  58.75	   9	   0	
escapee	  26.33	   7	   2	
escapees	  80.14	   8	   0	
escarpment	  38.11	  10	   0	
escudos	  10.00	   7	   0	
eskimos	   6.33	   7	   0	
espanol	  14.17	   7	   0	
esplanade	  30.50	   9	   0	
espresso	  12.14	   8	   0	
ess	   0.50	   3	   1	
esse	   6.00	   4	   2	
essentials	  32.44	  10	   0	
esthetic	  35.43	   8	   0	
estimate	  44.57	   8	   0	
estimates	 106.63	   9	   1	
estrogen	  30.00	   8	   0	
estrogens	  44.75	   9	   0	
ethanol	  12.50	   7	   0	
ethernet	  46.43	   8	   0	
ethylene	  31.86	   8	   0	
etiquette	  25.13	   9	   0	
eucharist	  60.38	   9	   0	
eugenics	  38.14	   8	   0	
eulogies	  96.14	   8	   0	
eulogy	  14.40	   6	   0	
euphony	  19.83	   7	   0	
evader	 112.20	   6	   2	
evasion	  47.67	   7	   0	
evasions	  41.43	   8	   0	
everglades	  54.11	  10	   0	
evergreens	  33.56	  10	   0	
everyman	  33.14	   8	   0	
everyplace	  22.00	  10	   0	
eviction	  76.71	   8	   0	
evictions	  51.63	   9	   0	
evidence	  38.57	   8	   0	
ewe	   2.00	   3	   5	
ewes	  12.67	   4	   3	
exaction	  88.57	   8	   0	
exactions	  63.75	   9	   0	
example	  39.17	   7	   0	
examples	 107.43	   8	   0	
excellence	  45.44	  10	   1	
excellency	  40.11	  10	   1	
exception	 101.50	   9	   0	
exceptions	  57.33	  10	   0	
excesses	 102.57	   8	   0	
exchanger	  49.50	   9	   2	
exchanges	  76.63	   9	   1	
exchequer	  36.63	   9	   0	
excision	  63.71	   8	   0	
excitement	  56.67	  10	   0	
exclusion	  73.75	   9	   0	
exclusions	  47.44	  10	   0	
exclusives	  54.67	  10	   0	
excrement	  65.00	   9	   0	
excretion	 109.88	   9	   0	
excursion	  75.25	   9	   0	
excursions	  51.00	  10	   0	
excuses	 109.67	   7	   1	
exemplars	  49.00	   9	   1	
exemption	  96.13	   9	   0	
exemptions	  54.33	  10	   0	
exercise	  54.86	   8	   1	
exertion	  93.29	   8	   0	
exertions	  69.13	   9	   0	
exhaustion	 110.78	  10	   0	
exhibit	  16.50	   7	   0	
exhibits	  57.00	   8	   0	
existence	  57.38	   9	   0	
exodus	  16.80	   6	   0	
exorcist	  55.00	   8	   2	
exotics	  57.17	   7	   0	
expansion	  78.50	   9	   0	
expansions	  50.11	  10	   0	
expenses	 109.57	   8	   1	
expertise	 103.25	   9	   0	
expiry	  28.20	   6	   1	
expletives	  68.44	  10	   0	
explorer	  83.43	   8	   2	
explorers	  74.75	   9	   0	
explosion	  80.50	   9	   0	
explosions	  53.89	  10	   0	
explosives	  61.11	  10	   0	
exponent	  63.14	   8	   0	
exponents	  55.00	   9	   0	
exporter	  89.29	   8	   1	
exposure	  29.71	   8	   0	
exposures	  78.13	   9	   0	
expression	  98.67	  10	   0	
expresso	  21.43	   8	   1	
expressway	  39.00	  10	   0	
expulsion	  73.50	   9	   0	
extender	  76.57	   8	   1	
extenders	  80.50	   9	   0	
extension	  89.38	   9	   0	
extensions	  59.44	  10	   0	
extinction	 122.00	  10	   0	
extortion	 108.38	   9	   0	
extraction	 123.11	  10	   0	
extremists	  46.44	  10	   0	
extrovert	  49.50	   9	   0	
extrusion	  78.38	   9	   0	
eye	   3.50	   3	   8	
eyedropper	  15.56	  10	   0	
eyeglasses	  52.89	  10	   0	
eyelashes	  62.13	   9	   0	
eyeliner	  74.29	   8	   0	
eyes	  12.33	   4	   3	
eyewitness	  34.67	  10	   0	
fac	   4.50	   3	   9	
face	  19.00	   4	  11	
fact	  16.00	   4	   5	
factories	 106.38	   9	   0	
factory	  53.50	   7	   1	
facts	  48.25	   5	   3	
faculties	 114.00	   9	   0	
faculty	  34.83	   7	   0	
fad	   8.50	   3	  16	
fads	  17.67	   4	   8	
fag	   9.00	   3	  19	
fags	  24.33	   4	  13	
faire	  33.75	   5	   2	
fairs	  36.50	   5	   4	
fairyland	  25.50	   9	   0	
fait	  24.00	   4	   9	
faith	  36.00	   5	   1	
faiths	  34.40	   6	   0	
fajitas	  21.50	   7	   0	
fakes	  78.75	   5	  12	
falafel	  33.50	   7	   0	
falconer	  63.57	   8	   0	
falconry	  33.71	   8	   0	
fallacies	  89.00	   9	   0	
fallacy	  56.50	   7	   0	
falsetto	  25.86	   8	   0	
falsity	  58.67	   7	   1	
fame	  19.67	   4	  13	
families	 136.57	   8	   0	
family	  58.40	   6	   0	
fan	   7.50	   3	  16	
fanatic	  57.33	   7	   0	
fanatics	  83.14	   8	   0	
fandango	  50.86	   8	   0	
fang	  31.00	   4	   9	
fangs	  40.75	   5	   4	
