ITEM   	 BF_TP 	 LEN_L 	   N   	
andiron	  30.50	   7	   0	
ands	  10.00	   4	   5	
anecdote	  30.43	   8	   0	
anecdotes	  87.50	   9	   0	
anemone	  34.83	   7	   0	
angelfish	  33.00	   9	   0	
angina	  57.20	   6	   0	
anglophile	  27.22	  10	   0	
angora	  19.80	   6	   0	
angst	  13.00	   5	   0	
anhydride	  40.50	   9	   0	
aniline	 177.83	   7	   0	
animal	  31.80	   6	   0	
animals	  36.67	   7	   0	
animists	  49.57	   8	   0	
animus	  19.00	   6	   0	
anisette	  38.43	   8	   0	
ankh	   2.67	   4	   0	
anklebone	  31.25	   9	   0	
announcer	  41.63	   9	   2	
announcers	  36.11	  10	   0	
annoyance	  38.63	   9	   0	
annuals	  29.50	   7	   0	
annulment	  47.50	   9	   0	
ant	   2.00	   3	   6	
antacid	  19.33	   7	   0	
antacids	  39.43	   8	   0	
antares	 115.33	   7	   0	
anteater	  96.00	   8	   0	
antelope	  34.71	   8	   0	
antenna	  27.00	   7	   0	
antennae	  39.43	   8	   1	
antennas	  40.43	   8	   1	
anthracite	  46.33	  10	   0	
anticline	 142.25	   9	   0	
antidote	  44.00	   8	   0	
antifreeze	  20.11	  10	   0	
antigen	  41.17	   7	   0	
antigens	  52.29	   8	   0	
antitrust	  38.63	   9	   0	
antiwar	  24.17	   7	   0	
ants	  18.33	   4	   4	
anytime	  45.17	   7	   0	
anyways	  13.67	   7	   0	
aorta	  23.00	   5	   0	
apaches	 134.50	   7	   0	
apartheid	  22.25	   9	   0	
apartment	  52.63	   9	   0	
apartments	  45.00	  10	   0	
apathy	  22.40	   6	   0	
apatite	  69.17	   7	   0	
ape	   1.50	   3	   9	
aperture	  38.57	   8	   0	
apes	  13.33	   4	   5	
aphasia	  10.83	   7	   0	
aplenty	  31.00	   7	   0	
apnea	  14.50	   5	   0	
apogee	  31.40	   6	   0	
apostate	  50.86	   8	   0	
apostle	  45.50	   7	   0	
apostles	 108.14	   8	   0	
app	   1.00	   3	   3	
apparel	  34.33	   7	   0	
appearance	  46.33	  10	   0	
appendage	  35.75	   9	   0	
appendix	  34.14	   8	   0	
appetite	  87.29	   8	   0	
appetites	 102.50	   9	   0	
applesauce	  30.11	  10	   0	
appliance	  48.13	   9	   0	
applicant	  53.13	   9	   0	
applicants	  52.89	  10	   0	
appointee	  62.75	   9	   1	
appointees	  59.78	  10	   0	
appraisal	  37.88	   9	   0	
appraisals	  25.89	  10	   0	
appraiser	  52.25	   9	   1	
appraisers	  44.56	  10	   0	
apprentice	  88.44	  10	   0	
approval	  35.86	   8	   0	
approvals	  30.75	   9	   0	
apps	  10.00	   4	   3	
apricot	  24.17	   7	   0	
apricots	  53.14	   8	   0	
aptitude	  35.71	   8	   2	
aptitudes	  68.25	   9	   2	
aqualung	 129.14	   8	   0	
aqueduct	  14.29	   8	   0	
aqueducts	  22.13	   9	   0	
aquifer	  60.67	   7	   0	
arabic	  40.80	   6	   0	
arachnids	  43.63	   9	   0	
arb	   3.00	   3	   6	
arbiter	 106.17	   7	   0	
arbiters	  88.43	   8	   0	
arbitrage	  27.25	   9	   0	
arbs	  11.67	   4	   4	
arcana	  21.60	   6	   1	
arcanum	  23.00	   7	   0	
arch	   7.33	   4	   1	
archangel	  26.00	   9	   0	
archbishop	  15.56	  10	   0	
archery	  80.00	   7	   1	
archetype	  17.75	   9	   0	
archetypes	  45.44	  10	   0	
architect	  24.13	   9	   0	
architects	  26.33	  10	   0	
architrave	  24.33	  10	   0	
archivist	  34.13	   9	   0	
archivists	  27.56	  10	   0	
arcs	   5.67	   4	   3	
arcturus	  31.71	   8	   0	
area	   9.67	   4	   1	
areas	  30.00	   5	   2	
arena	  21.50	   5	   0	
arenas	  33.80	   6	   0	
argentines	  70.56	  10	   0	
argonaut	  16.71	   8	   0	
argonauts	  26.00	   9	   0	
argument	  40.00	   8	   0	
arguments	  44.25	   9	   0	
aria	   9.33	   4	   2	
arias	  26.50	   5	   3	
ark	   3.00	   3	   5	
arm	   3.00	   3	   5	
armada	  16.20	   6	   0	
armament	  43.29	   8	   0	
armaments	  44.63	   9	   0	
armistice	  77.38	   9	   0	
armory	  31.40	   6	   0	
arms	  10.67	   4	   5	
arn	   3.00	   3	   6	
aroma	  24.50	   5	   0	
aromas	  36.00	   6	   0	
arousal	  53.17	   7	   0	
arranger	  61.71	   8	   2	
arrival	  35.17	   7	   0	
arrivals	  33.57	   8	   0	
arrogance	  38.88	   9	   0	
arrowheads	  12.78	  10	   0	
arrowroot	  18.75	   9	   0	
arroyo	  18.00	   6	   0	
arsenal	  37.17	   7	   0	
arsenals	  43.57	   8	   0	
arsenic	  30.83	   7	   0	
arsonist	  55.00	   8	   0	
arsonists	  34.63	   9	   0	
art	   3.00	   3	   8	
arteries	 138.71	   8	   0	
artery	  48.60	   6	   0	
