"","X","Word","Unnamed","FREQcount","CDcount","FREQlow","Cdlow","SUBLTLWF","Lg10WF","SUBTLCD","Lg10CD","Dom_PoS_SUBTLEX","Freq_dom_PoS_SUBTLEX","Percentage_dom_PoS","All_PoS_SUBTLEX","All_freqs_SUBTLEX","Zipfvalue","CMUSylls"
"218",217,"aisle",1378,379,284,343,263,7.43137254901961,2.57978359661681,3.38578922269909,2.45484486000851,"Noun",379,1,"Noun","379",3.87161773876127,1
"219",218,"aisles",1379,37,32,37,32,0.725490196078431,1.57978359661681,0.381497377205532,1.51851393987789,"Noun",37,1,"Noun","37",2.87161773876127,1
"222",221,"akimbo",1396,4,4,4,4,0.0784313725490196,0.698970004336019,0.0476871721506915,0.698970004336019,"Noun",4,1,"Noun","4",1.99080414648048,3
"227",226,"alamo",1414,73,39,0,0,1.43137254901961,1.86923171973098,0.464949928469242,1.60205999132796,"Noun",71,0.972602739726027,"Noun.Name","71.2",3.16106586187544,3
"229",228,"alarmist",1422,17,17,16,16,0.333333333333333,1.25527250510331,0.202670481640439,1.25527250510331,"Noun",17,1,"Noun","17",2.54710664724777,3
"231",230,"alaskans",1429,2,2,0,0,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412,3
"232",231,"albacore",1434,8,5,4,4,0.156862745098039,0.954242509439325,0.0596089651883643,0.778151250383644,"Noun",6,0.75,"Noun.Verb.Name","6.1.1",2.24607665158378,3
"234",233,"albatross",1440,40,19,22,13,0.784313725490196,1.61278385671974,0.226514067715784,1.30102999566398,"Noun",34,0.790697674418605,"Noun.Verb.Name","34.6.3",2.9046179988642,3
"235",234,"albino",1449,59,40,51,35,1.15686274509804,1.77815125038364,0.476871721506915,1.61278385671974,"Noun",38,0.644067796610169,"Noun.Adjective.Name","38.20.1",3.0699853925281,3
"237",236,"albumin",1454,4,4,2,2,0.0784313725490196,0.698970004336019,0.0476871721506915,0.698970004336019,"Noun",4,1,"Noun","4",1.99080414648048,3
"239",238,"alchemist",1464,14,10,12,8,0.274509803921569,1.17609125905568,0.119217930376729,1.04139268515823,"Noun",14,1,"Noun","14",2.46792540120014,3
"240",239,"alchemy",1467,11,9,8,7,0.215686274509804,1.07918124604762,0.107296137339056,1,"Noun",11,1,"Noun","11",2.37101538819208,3
"241",240,"alcohol",1470,845,588,762,541,16.5686274509804,2.92737036303902,7.01001430615165,2.7701152947871,"Noun",844,1,"Noun","844",4.21920450518348,3
"248",247,"alderman",1481,41,14,12,7,0.803921568627451,1.6232492903979,0.16690510252742,1.17609125905568,"Noun",30,0.731707317073171,"Noun.Name","30.11",2.91508343254236,3
"249",248,"aldermen",1482,1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,3
"250",249,"ale",1486,202,123,183,115,3.96078431372549,2.30749603791321,1.46638054363376,2.09342168516224,"Noun",202,1,"Noun","202",3.59933018005767,1
"254",253,"alertness",1500,4,4,4,4,0.0784313725490196,0.698970004336019,0.0476871721506915,0.698970004336019,"Noun",4,1,"Noun","4",1.99080414648048,3
"256",255,"ales",1502,5,5,5,5,0.0980392156862745,0.778151250383644,0.0596089651883643,0.778151250383644,"Noun",5,1,"Noun","5",2.0699853925281,1
