numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBLTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f	list|f	list_name|s	file_num|s	jittered_ISI|f	total_time|f
9977	9976	library	37121	1170	687	1061	647	22.9412	3.0686	8.1903	2.8376	Noun	1169	1	4.3604	3	42	7	0	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_9977_library_high3	3400	11400
6126	6125	exposure	23033	291	240	281	237	5.7059	2.4654	2.8612	2.382	Noun	290	1	3.7572	3	29.71	8	0	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_6126_exposure_high3	3250	11250
7397	7396	glare	27423	82	72	80	71	1.6078	1.9191	0.85837	1.8633	Noun	62	0.7561	3.2109	1	44.75	5	4	1	low	low1	3	30	1	2	31	32	33	34	1	list1	list1_7397_glare_low1	3200	11200
12796	12795	pelican	47033	89	38	26	15	1.7451	1.9542	0.45303	1.5911	Noun	88	0.98876	3.2461	3	44.17	7	0	1	low	low3	4	40	1	2	41	42	43	44	1	list1	list1_12796_pelican_low3	3500	11500
13319	13318	poetry	48851	682	389	616	361	13.3725	2.8344	4.6376	2.5911	Noun	679	1	4.1263	3	28.4	6	0	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_13319_poetry_high3	3250	11250
14360	14359	reasoning	52617	93	79	92	78	1.8235	1.9731	0.94182	1.9031	Noun	84	0.90323	3.265	3	234.13	9	1	1	low	low3	4	40	1	2	41	42	43	44	1	list1	list1_14360_reasoning_low3	3500	11500
1241	1240	barrier	4946	173	117	155	108	3.3922	2.2405	1.3948	2.0719	Noun	172	1	3.5324	3	147.17	7	2	1	low	low3	4	40	1	2	41	42	43	44	1	list1	list1_1241_barrier_low3	3200	11200
904	903	audition	3835	705	307	696	305	13.8235	2.8488	3.66	2.4886	Noun	502	0.71307	4.1406	3	85.71	8	1	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_904_audition_high3	3450	11450
2023	2022	brain	7600	3928	1994	3710	1950	77.0196	3.5943	23.7721	3.2999	Noun	3887	0.99057	4.8861	1	42	5	5	1	high	high1	1	10	1	2	11	12	13	14	1	list1	list1_2023_brain_high1	3350	11350
4627	4626	deed	16749	475	273	444	267	9.3137	2.6776	3.2546	2.4378	Noun	448	1	3.9694	1	32.67	4	13	1	high	high1	1	10	1	2	11	12	13	14	1	list1	list1_4627_deed_high1	3400	11400
13562	13561	prank	49630	204	152	199	151	4	2.3118	1.8121	2.1847	Noun	205	1	3.6036	1	45.75	5	4	1	low	low1	3	30	1	2	31	32	33	34	1	list1	list1_13562_prank_low1	3450	11450
18936	18935	void	71602	209	160	200	157	4.098	2.3222	1.9075	2.2068	Noun	169	0.80861	3.6141	1	9	4	0	1	low	low1	3	30	1	2	31	32	33	34	1	list1	list1_18936_void_low1	3450	11450
8785	8784	immigrant	32213	79	61	79	61	1.549	1.9031	0.72723	1.7924	Noun	60	0.75949	3.1949	3	51.75	9	0	1	low	low3	4	40	1	2	41	42	43	44	1	list1	list1_8785_immigrant_low3	3300	11300
12533	12532	paradise	46227	676	420	460	339	13.2549	2.8306	5.0072	2.6243	Noun	653	0.98939	4.1224	3	80.14	8	0	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_12533_paradise_high3	3400	11400
16518	16517	specialist	61182	264	220	240	203	5.1765	2.4232	2.6228	2.3444	Noun	260	0.98485	3.7151	3	41.11	10	1	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_16518_specialist_high3	3350	11350
9240	9239	jealousy	34708	293	229	238	194	5.7451	2.4683	2.7301	2.3617	Noun	292	0.99659	3.7602	3	32.57	8	0	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_9240_jealousy_high3	3350	11350
89	88	adjustment	762	158	129	152	125	3.098	2.2014	1.5379	2.1139	Noun	157	1	3.4932	3	43.33	10	0	1	low	low3	4	40	1	2	41	42	43	44	1	list1	list1_89_adjustment_low3	3350	11350
15062	15061	rug	55846	531	354	495	346	10.4118	2.7259	4.2203	2.5502	Noun	531	1	4.0177	1	8	3	16	1	high	high1	1	10	1	2	11	12	13	14	1	list1	list1_15062_rug_high1	3500	11500
7458	7457	goal	27660	854	540	783	520	16.7451	2.932	6.4378	2.7332	Noun	854	1	4.2238	1	20	4	4	1	high	high1	1	10	1	2	11	12	13	14	1	list1	list1_7458_goal_high1	3350	11350
3469	3468	coconut	12316	234	140	170	116	4.5882	2.3711	1.6691	2.1492	Noun	234	1	3.6629	3	46.67	7	0	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_3469_coconut_high3	3400	11400
3845	3844	conviction	14065	303	237	295	233	5.9412	2.4829	2.8255	2.3766	Noun	302	1	3.7747	3	157.33	10	1	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_3845_conviction_high3	3300	11300
10807	10806	medium	39791	362	280	294	235	7.098	2.5599	3.3381	2.4487	Noun	202	0.56111	3.8517	3	27.2	6	1	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_10807_medium_high3	3400	11400
3545	3544	collision	12581	137	100	118	90	2.6863	2.1399	1.1922	2.0043	Noun	136	1	3.4317	3	112.75	9	1	1	low	low3	4	40	1	2	41	42	43	44	1	list1	list1_3545_collision_low3	3500	11500
9321	9320	journalist	35038	311	185	287	176	6.098	2.4942	2.2055	2.2695	Noun	310	0.99678	3.786	3	41	10	1	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_9321_journalist_high3	3400	11400
16675	16674	squat	61808	160	133	146	125	3.1373	2.2068	1.5856	2.1271	Noun	74	0.4625	3.4987	1	7.25	5	2	1	low	low1	3	30	1	2	31	32	33	34	1	list1	list1_16675_squat_low1	3400	11400
1898	1897	boost	7245	230	194	207	181	4.5098	2.3636	2.3128	2.29	Noun	120	0.52402	3.6554	1	40	5	2	1	high	high1	1	10	1	2	11	12	13	14	1	list1	list1_1898_boost_high1	3400	11400
6777	6776	folk	25188	365	267	317	248	7.1569	2.5635	3.1831	2.4281	Noun	356	0.97534	3.8553	1	22.33	4	3	1	high	high1	1	10	1	2	11	12	13	14	1	list1	list1_6777_folk_high1	3250	11250
